1.000000e-03 1.000000e-03 2.689046e-04
5.000000e-04 5.000000e-04 1.344523e-04 1.213936e-04
5.740035e-04 6.544748e-04 1.344523e-04 4.989269e-05
5.741161e-04 8.319542e-04 1.344523e-04 1.275867e-04
7.427206e-04 8.829048e-04 1.344523e-04 4.854801e-05
8.369728e-04 9.180678e-04 1.344523e-04 5.204978e-05
9.886989e-04 9.477584e-04 1.344523e-04 1.025540e-04
9.165647e-04 7.837693e-04 1.344523e-04 7.659890e-05
9.419817e-04 5.925906e-04 1.344523e-04 1.162620e-04
7.679378e-04 6.566440e-04 1.344523e-04 6.919455e-05
6.803330e-04 5.552823e-04 1.344523e-04 6.477858e-05
7.737319e-04 4.679864e-04 1.344523e-04 6.306480e-05
9.058016e-04 3.716860e-04 1.344523e-04 1.003860e-04
7.657548e-04 3.297178e-04 1.344523e-04 4.581399e-05
7.815257e-04 2.292053e-04 1.344523e-04 5.592821e-05
6.216394e-04 2.116614e-04 1.344523e-04 1.049177e-04
4.195370e-04 8.339354e-05 1.344523e-04 1.344523e-04
1.846009e-04 1.347456e-04 1.344523e-04 1.060305e-04
2.948399e-05 2.843554e-04 1.344523e-04 1.094790e-04
2.041577e-04 4.514930e-04 1.344523e-04 1.322768e-04
3.262541e-04 3.108952e-04 1.344523e-04 5.393615e-05
4.256023e-04 2.890821e-04 1.344523e-04 4.777858e-05
9.926886e-06 5.435418e-04 1.344523e-04 8.266176e-05
1.140492e-04 6.617776e-04 1.344523e-04 7.488553e-05
2.356607e-04 6.952577e-04 1.344523e-04 5.125038e-05
2.489023e-04 8.572211e-04 1.344523e-04 1.112534e-04
3.067394e-05 9.466440e-04 1.344523e-04 1.245858e-04
3.664594e-04 7.016044e-04 1.344523e-04 7.970227e-05
3.969373e-04 9.266101e-04 1.344523e-04 5.223727e-05
6.721572e-04 3.895155e-05 1.344523e-04 7.502874e-05
8.702521e-04 1.930900e-05 1.344523e-04 1.240376e-04
7.374855e-05 7.762635e-04 1.344523e-04 4.648654e-05
9.454907e-04 1.786975e-04 1.344523e-04 5.221657e-05
3.580416e-05 7.392017e-05 1.344523e-04 5.471836e-05
5.140727e-04 3.175066e-04 1.344523e-04 4.514586e-05
6.378382e-04 3.673854e-04 1.344523e-04 5.164655e-05
