timestamp,inputs_dir,metadata_dir,grains_dat,env_file,preview_png,mode,Lx,Ly,Lz,phi_target,phi_achieved,seed
2025-09-10T15:03:09.503004-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=7/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=7/preview.png,nonoverlap_poly,0.001,0.001,0.00019765625000000002,0.24,0.2374744415283203,7
2025-09-10T15:03:12.490208-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=21/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=21/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=21/preview.png,nonoverlap_poly,0.001,0.001,0.00019765625000000002,0.24,0.2385692596435547,21
2025-09-10T15:03:20.288281-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=22/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=22/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1__Lymm=1__seed=22/preview.png,nonoverlap_poly,0.001,0.001,0.00019765625000000002,0.24,0.23860836029052734,22
2025-09-10T15:03:45.741600-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=7/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=7/preview.png,nonoverlap_poly,0.0015,0.0015,0.00019638273045507587,0.24,0.23980289986098424,7
2025-09-10T15:04:00.617894-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=21/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=21/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=21/preview.png,nonoverlap_poly,0.0015,0.0015,0.00019638273045507587,0.24,0.23891515952775477,21
2025-09-10T15:04:27.339843-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=22/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=22/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=1.5__Lymm=1.5__seed=22/preview.png,nonoverlap_poly,0.0015,0.0015,0.00019638273045507587,0.24,0.2392664432792474,22
2025-09-10T15:05:17.412829-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=7/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=7/preview.png,nonoverlap_poly,0.002,0.002,0.00019765625000000002,0.24,0.2392597198486328,7
2025-09-10T15:06:00.936642-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=21,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=21/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=21/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=21/preview.png,nonoverlap_poly,0.002,0.002,0.00019765625000000002,0.24,0.23975372314453125,21
2025-09-10T15:06:54.003205-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=22,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=22/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=22/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.24__Lxmm=2__Lymm=2__seed=22/preview.png,nonoverlap_poly,0.002,0.002,0.00019765625000000002,0.24,0.23997783660888672,22
2025-09-12T13:54:19.326678-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.26__Lxmm=3__Lymm=3__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.26__Lxmm=3__Lymm=3__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.26__Lxmm=3__Lymm=3__seed=7/grains.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.26__Lxmm=3__Lymm=3__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/dry_snow_metamorphism/inputs/grains__phi=0.26__Lxmm=3__Lymm=3__seed=7/preview.png,nonoverlap_poly,0.003,0.003,0.0001998046875,0.26,0.25974082946777344,7
