time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,9.40608e-05,5.16318e-05,-4582.07,-4.65811e-06,1.91626e-15,4.65811e-06,6.46638e-12
0,9.40267e-05,5.14933e-05,-4589.76,-4.66592e-06,1.91626e-15,4.66592e-06,6.47723e-12
0,0.00019104,2.72399e-05,3043.72,3.09423e-06,1.91626e-15,-3.09423e-06,-4.29541e-12
0,0.000191092,2.74475e-05,3032.69,3.08302e-06,1.91626e-15,-3.08302e-06,-4.27984e-12
0,9.41294e-05,5.19089e-05,-4566.6,-4.64239e-06,1.91626e-15,4.64239e-06,6.44455e-12
0,0.000191197,2.78625e-05,3010.23,3.06018e-06,1.91626e-15,-3.06018e-06,-4.24814e-12
0,9.41989e-05,5.21859e-05,-4908.24,-4.98969e-06,1.91626e-15,4.98969e-06,6.92669e-12
0,0.000191212,2.79204e-05,3045.22,3.09575e-06,1.91626e-15,-3.09575e-06,-4.29752e-12
0,0.000191303,2.82777e-05,3275.85,3.33021e-06,1.91626e-15,-3.33021e-06,-4.62299e-12
0,9.42424e-05,5.23569e-05,-4906.53,-4.98795e-06,1.91626e-15,4.98795e-06,6.92426e-12
0,9.42695e-05,5.24628e-05,-4907.77,-4.98922e-06,1.91626e-15,4.98922e-06,6.92602e-12
0,0.000191405,2.86941e-05,3277.65,3.33204e-06,1.91626e-15,-3.33204e-06,-4.62553e-12
0,9.43386e-05,5.27404e-05,-4910.65,-4.99214e-06,1.91626e-15,4.99214e-06,6.93008e-12
0,0.000191505,2.91114e-05,3278.32,3.33272e-06,1.91626e-15,-3.33272e-06,-4.62648e-12
0,9.44061e-05,5.30185e-05,-4912.72,-4.99424e-06,1.91626e-15,4.99424e-06,6.933e-12
0,0.000191604,2.95291e-05,3277.93,3.33233e-06,1.91626e-15,-3.33233e-06,-4.62593e-12
0,9.44723e-05,5.32972e-05,-4914.03,-4.99558e-06,1.91626e-15,4.99558e-06,6.93485e-12
0,0.000191704,2.99469e-05,3276.54,3.33091e-06,1.91626e-15,-3.33091e-06,-4.62397e-12
0,9.45377e-05,5.35762e-05,-4914.61,-4.99617e-06,1.91626e-15,4.99617e-06,6.93568e-12
0,0.000191806,3.03645e-05,3274.21,3.32855e-06,1.91626e-15,-3.32855e-06,-4.62069e-12
0,9.46027e-05,5.38556e-05,-4914.49,-4.99604e-06,1.91626e-15,4.99604e-06,6.9355e-12
0,0.000191818,3.04146e-05,3273.92,3.32825e-06,1.91626e-15,-3.32825e-06,-4.62028e-12
0,0.000191908,3.07824e-05,3276.36,3.33073e-06,1.91626e-15,-3.33073e-06,-4.62372e-12
0,9.46677e-05,5.41351e-05,-4913.67,-4.99521e-06,1.91626e-15,4.99521e-06,6.93435e-12
0,0.000192007,3.12014e-05,3278.11,3.33251e-06,1.91626e-15,-3.33251e-06,-4.62619e-12
0,9.47331e-05,5.44148e-05,-4912.19,-4.9937e-06,1.91626e-15,4.9937e-06,6.93225e-12
0,0.000192104,3.16212e-05,3278.81,3.33322e-06,1.91626e-15,-3.33322e-06,-4.62718e-12
0,9.47992e-05,5.46944e-05,-4910.05,-4.99153e-06,1.91626e-15,4.99153e-06,6.92923e-12
0,0.0001922,3.20414e-05,3278.53,3.33294e-06,1.91626e-15,-3.33294e-06,-4.62678e-12
0,9.48485e-05,5.48995e-05,-4908.13,-4.98958e-06,1.91626e-15,4.98958e-06,6.92652e-12
0,9.48665e-05,5.4974e-05,-4908.94,-4.99041e-06,1.91626e-15,4.99041e-06,6.92768e-12
0,0.000192296,3.24619e-05,3277.32,3.3317e-06,1.91626e-15,-3.3317e-06,-4.62507e-12
0,9.49326e-05,5.52541e-05,-4911.73,-4.99324e-06,1.91626e-15,4.99324e-06,6.93161e-12
0,0.000192394,3.28822e-05,3275.22,3.32957e-06,1.91626e-15,-3.32957e-06,-4.62211e-12
0,9.49971e-05,5.55348e-05,-4913.81,-4.99535e-06,1.91626e-15,4.99535e-06,6.93454e-12
0,0.000192424,3.30073e-05,3274.52,3.32886e-06,1.91626e-15,-3.32886e-06,-4.62112e-12
0,0.000192494,3.33025e-05,3276.41,3.33078e-06,1.91626e-15,-3.33078e-06,-4.62378e-12
0,9.50603e-05,5.58159e-05,-4915.2,-4.99677e-06,1.91626e-15,4.99677e-06,6.93651e-12
0,0.00019259,3.37239e-05,3278.3,3.33271e-06,1.91626e-15,-3.33271e-06,-4.62646e-12
0,9.51226e-05,5.60974e-05,-4915.95,-4.99753e-06,1.91626e-15,4.99753e-06,6.93756e-12
0,0.000192684,3.41461e-05,3279.22,3.33364e-06,1.91626e-15,-3.33364e-06,-4.62775e-12
0,9.51844e-05,5.63793e-05,-4916.07,-4.99765e-06,1.91626e-15,4.99765e-06,6.93773e-12
0,0.000192777,3.45689e-05,3279.22,3.33364e-06,1.91626e-15,-3.33364e-06,-4.62775e-12
0,9.5246e-05,5.66613e-05,-4915.57,-4.99714e-06,1.91626e-15,4.99714e-06,6.93702e-12
0,0.000192869,3.49919e-05,3278.35,3.33275e-06,1.91626e-15,-3.33275e-06,-4.62652e-12
0,9.53078e-05,5.69435e-05,-4914.47,-4.99603e-06,1.91626e-15,4.99603e-06,6.93548e-12
0,0.000192963,3.54149e-05,3276.64,3.33101e-06,1.91626e-15,-3.33101e-06,-4.62411e-12
0,9.537e-05,5.72258e-05,-4912.79,-4.99432e-06,1.91626e-15,4.99432e-06,6.9331e-12
0,0.00019303,3.571e-05,3275.06,3.32941e-06,1.91626e-15,-3.32941e-06,-4.62188e-12
0,0.000193059,3.58377e-05,3275.85,3.33022e-06,1.91626e-15,-3.33022e-06,-4.623e-12
