# 2D packing, generated 2026-08-07T23:51:48.153601+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = none
# porosity_achieved = 0.325025  (target 0.325000)
# 93 distinct grains; 93 rows including 0 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
9.493019078541e-04 -8.645928121835e-05 1.708982188653e-04
6.507423286026e-04 4.093812538423e-05 1.537060349144e-04
8.328780049548e-04 1.409777760006e-04 5.409515924897e-05
3.980367427086e-04 2.636182062774e-05 9.752555398364e-05
4.720209612787e-04 1.920674654106e-04 8.034824202770e-05
3.141656292362e-04 2.655656039833e-04 9.377895925887e-05
1.821375000252e-03 -5.106872466002e-05 1.574662515780e-04
1.862059408720e-04 3.175582497476e-04 4.434025395870e-05
7.571816638601e-04 2.232182579046e-04 5.737541571946e-05
9.511128027958e-04 1.516821400382e-04 6.462320845351e-05
1.335878670428e-03 -1.011330216680e-05 1.494690126998e-04
9.010328967519e-04 3.388007916137e-04 1.271577772381e-04
1.559816050949e-03 9.916835516667e-05 9.971050295918e-05
5.263687748217e-05 5.233300971443e-05 9.585957523736e-05
1.125230728016e-03 1.259616514561e-04 1.013076780947e-04
7.009742590157e-04 3.415119704511e-04 7.291923049534e-05
4.551693535959e-04 3.347632793782e-04 6.328907874807e-05
3.627524273831e-05 3.264017331253e-04 1.058510288813e-04
1.286929494828e-03 2.071907358184e-04 7.327987442788e-05
1.871610434584e-03 3.737263290117e-04 6.547940163284e-05
1.729980212871e-03 1.768692593478e-04 8.735438555136e-05
5.897055855851e-04 3.650074682329e-04 4.080304569990e-05
1.137918483114e-03 3.534293780826e-04 1.101790647574e-04
1.446546200744e-03 2.578707513550e-04 9.418939673028e-05
1.018439522163e-03 5.082266865425e-04 7.897191388562e-05
7.512248172175e-04 5.026553775637e-04 9.485750608870e-05
8.943053272629e-04 5.388666201345e-04 4.888778998503e-05
1.564555191840e-03 3.456818785443e-04 5.290552513217e-05
1.955262722776e-03 5.903222529673e-04 1.667090984999e-04
1.702351690336e-03 4.332363376479e-04 1.103539563893e-04
1.355316563889e-03 4.562233231630e-04 1.241373981977e-04
2.113600323260e-04 6.526153695687e-04 9.685543692654e-05
9.307271505756e-05 8.689592859465e-04 1.441448706239e-04
1.531378513671e-03 4.451235851372e-04 5.192455158438e-05
1.176939008556e-03 5.477983693214e-04 7.637330307678e-05
4.959088810341e-04 6.236875795605e-04 1.876934117816e-04
8.451324586850e-04 7.920594131658e-04 2.000000000000e-04
