# 2D packing, generated 2026-08-07T23:54:54.534787+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = none
# porosity_achieved = 0.325163  (target 0.325000)
# 328 distinct grains; 328 rows including 0 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
2.110827348612e-05 -1.049236840357e-06 3.975372430402e-06
8.939604943271e-05 -1.800285651218e-06 4.348464530552e-06
1.476419500582e-05 1.999449001106e-06 3.063222395565e-06
9.528827306376e-05 3.197802777556e-07 1.903534151655e-06
7.069914037298e-06 -9.987908917422e-07 2.732117912252e-06
8.627410943138e-06 5.115231217560e-06 3.577165958738e-06
4.253864927321e-07 3.691428780181e-06 4.241215477585e-06
4.302686061119e-06 8.674392679553e-06 2.023804994382e-06
1.346310642745e-05 6.430468839672e-06 1.434201201993e-06
7.939353287426e-05 3.784661498535e-07 1.961296320101e-06
4.161388612261e-05 -1.092224707549e-06 3.674694522703e-06
1.233215180246e-05 1.271503667055e-05 4.877545612803e-06
4.929936407366e-06 1.538272727184e-05 2.990704885214e-06
3.504111452685e-05 2.235667295217e-06 3.692543197912e-06
7.390539644667e-05 2.707748604000e-06 4.000683065898e-06
8.882133538614e-06 1.862848844453e-05 1.968733515602e-06
5.865535932649e-05 -2.612911504254e-07 4.832419212157e-06
9.295411081521e-05 3.019312850879e-06 1.642222452013e-06
8.357970038921e-05 2.463138942231e-06 2.715225797295e-06
5.230341067919e-05 7.750226799726e-07 1.603511021537e-06
6.841806140705e-05 4.639694781411e-06 1.816813119694e-06
4.912140749490e-05 1.421414098529e-06 1.643482377103e-06
4.039645663374e-05 4.731303530908e-06 2.215746681798e-06
2.756179662132e-05 -1.559132821279e-06 2.478150704797e-06
2.845109055799e-05 4.009448940304e-06 3.132023985041e-06
4.575769498585e-05 2.791904788856e-06 1.988707950489e-06
9.443417134684e-05 7.271221998327e-06 2.738009293767e-06
5.140403543041e-05 4.350273250020e-06 2.069818879358e-06
7.963796455963e-05 6.025786474528e-06 2.597940752849e-06
7.063819263753e-05 7.403742918833e-06 1.720067176453e-06
7.635364275571e-05 8.037329082310e-06 1.253432167888e-06
2.285664055660e-05 5.466859508534e-06 2.649145133954e-06
9.853583067334e-05 9.160556620796e-06 1.545128837404e-06
5.618655002731e-05 8.692558977801e-06 4.389894056311e-06
5.756720512267e-06 1.972643117215e-05 1.343921736369e-06
4.446917728116e-05 7.379947270175e-06 2.642480065638e-06
8.496338383945e-05 8.157635530768e-06 3.138335992959e-06
2.096300966709e-05 1.383270421222e-05 3.825378505742e-06
6.678230519530e-05 9.797555970089e-06 2.818457792247e-06
3.289473315671e-05 8.569710090637e-06 2.995285382451e-06
8.008838821096e-06 2.389081625967e-05 3.365564722939e-06
3.741688907936e-05 7.095407875159e-06 1.587779598070e-06
3.688673898625e-05 9.825684294781e-06 1.189637764345e-06
6.321443130397e-05 1.145906839879e-05 1.117320104834e-06
8.741706825517e-05 3.197479667021e-06 1.026851709190e-06
1.677137008079e-05 2.124028979517e-05 4.685917904921e-06
4.898412747237e-05 1.083068785923e-05 3.040158920083e-06
9.031624111385e-05 1.099586146072e-05 2.814493612904e-06
2.252381148250e-05 2.386307717418e-05 1.636233288747e-06
7.359198477178e-05 7.860914018498e-06 1.162004283451e-06
7.899808485308e-05 1.370410416803e-05 5.000000000000e-06
9.567100635996e-05 1.283370244435e-05 2.846881690151e-06
9.991123811435e-05 1.517918013752e-05 1.998820626352e-06
7.103706540743e-05 1.464516965692e-05 3.016447771198e-06
8.616969340282e-05 1.257069759618e-05 1.436628439240e-06
7.389023760970e-05 1.893075626663e-05 2.132032024348e-06
8.672719201853e-05 1.775194459541e-05 3.724913162926e-06
2.641645741311e-05 8.744702867407e-06 2.021844638467e-06
4.007179590572e-05 8.354364909619e-06 1.350502735421e-06
2.964302891736e-06 2.456931595275e-05 1.724396433701e-06
8.101938080143e-05 2.201705573583e-05 3.400413631692e-06
5.294226199447e-05 1.470639527907e-05 2.443233477881e-06
6.444939013059e-05 1.630863094930e-05 3.778003569738e-06
9.488096552604e-05 2.085679359155e-05 5.000000000000e-06
4.059926271631e-05 1.477833845266e-05 5.000000000000e-06
7.567697723202e-05 2.272469001839e-05 1.988651424167e-06
8.695404668517e-05 2.473326769835e-05 3.126305802825e-06
1.290009693971e-05 2.719904388119e-05 2.419960365251e-06
9.921692310841e-05 2.755836587839e-05 2.981954602222e-06
8.650389583548e-06 3.015359416174e-05 2.755885456773e-06
3.736014478772e-06 2.813398754425e-05 1.573649322162e-06
7.723214467015e-05 2.892906786757e-05 4.407663941417e-06
1.443956024206e-05 3.330559165857e-05 3.835744473176e-06
5.760155685333e-05 1.814786917519e-05 3.312526582849e-06
2.078443208457e-05 3.432132173405e-05 2.589915515038e-06
1.784504671499e-05 3.921428573299e-05 2.984079848779e-06
3.517782838835e-05 1.196124361047e-05 1.093115705127e-06
2.877365498766e-05 1.330062859008e-05 3.107759595389e-06
6.203941579037e-05 2.211318134222e-05 2.506961154470e-06
2.403734450767e-06 3.215947587225e-05 2.615007047397e-06
3.314119980504e-05 1.313949943436e-05 1.259785221994e-06
2.302673992712e-05 4.187797710022e-05 2.842170767568e-06
6.600363251384e-05 2.296961803770e-05 1.548713640684e-06
9.515866426739e-05 3.450410598590e-05 5.000000000000e-06
3.472630527641e-05 1.757133047260e-05 1.503263297327e-06
5.223873265588e-05 2.051699128201e-05 2.550290396192e-06
1.328066208341e-05 3.943127224782e-05 1.585459538580e-06
3.259306254748e-05 1.757133047427e-05 6.299794316034e-07
9.421254418629e-06 3.415053659889e-05 1.253196997274e-06
6.171511020125e-06 3.376342153811e-05 1.479963279191e-06
6.433587223094e-05 2.593378619169e-05 1.852421053256e-06
4.116166694531e-06 3.576778862723e-05 1.379031651368e-06
4.728499738894e-05 1.533688860018e-05 1.709025740009e-06
5.933587956508e-05 2.739390558850e-05 3.356405619958e-06
4.572205608955e-05 2.263781288166e-05 4.302808007280e-06
8.368791957411e-05 2.874662072993e-05 2.048110962543e-06
3.648114381653e-05 2.162565773360e-05 2.914544738479e-06
9.035550682834e-05 2.697454869237e-05 9.471781605319e-07
1.615639941209e-06 4.114371330542e-05 4.261583029358e-06
3.975845150920e-05 2.568468728735e-05 2.302395612973e-06
5.125722808788e-05 3.011471784088e-05 5.000000000000e-06
4.255145130710e-05 3.141833986142e-05 3.802839299292e-06
7.072007027045e-05 2.892906786757e-05 2.104410458280e-06
4.655861009315e-05 3.526460906384e-05 1.751538101832e-06
7.566255867596e-06 4.315789320756e-05 2.020673777045e-06
3.618271044089e-05 2.589250534539e-05 1.279379440375e-06
4.373478763281e-05 3.651351903657e-05 1.336138922643e-06
8.806974067483e-05 3.761161683897e-05 2.740120244741e-06
9.615211864356e-05 4.045883371183e-05 1.037030220852e-06
2.796752895990e-05 4.240767628662e-05 2.126931514990e-06
2.569791290276e-05 4.498495748027e-05 1.255205484109e-06
1.455789786739e-05 4.300826296737e-05 2.035841545159e-06
9.142807702047e-05 3.923016087320e-05 9.878963594543e-07
1.858340861369e-05 4.489230080509e-05 2.408743400872e-06
7.208881490607e-05 3.269920334980e-05 1.906497597493e-06
1.541579533495e-05 4.690613292822e-05 1.344827392890e-06
7.501517409020e-05 3.401132756407e-05 1.137092335912e-06
5.033149603228e-05 3.805884544129e-05 2.943398025816e-06
3.760405248836e-05 3.265405739784e-05 1.296548203298e-06
3.249584648262e-05 4.240767629072e-05 2.401386007727e-06
8.343672428864e-05 3.882383340513e-05 2.048857708644e-06
5.827653454957e-05 3.349854750378e-05 2.792365904567e-06
9.797442681443e-06 4.985417432996e-05 5.000000000000e-06
5.510545599290e-05 3.554571142994e-05 9.821035088880e-07
4.559014938848e-05 3.985848312999e-05 2.127998606986e-06
7.960916669854e-05 3.882383340513e-05 1.778699881456e-06
6.637012260159e-05 2.956541939767e-05 2.291836576603e-06
8.591086931898e-05 4.139649986111e-05 1.520456836881e-06
3.799390797571e-05 4.350856404672e-05 3.205808837573e-06
1.666846741300e-05 5.132712878508e-05 2.027131398269e-06
2.226313316026e-05 4.615503896441e-05 1.481613960304e-06
9.404611648505e-05 4.121027448946e-05 1.199017259394e-06
2.994578994809e-05 4.730632245494e-05 3.121251276353e-06
8.128588379385e-05 4.329723825988e-05 2.914756481493e-06
3.508226607526e-05 4.767128106590e-05 1.874139148211e-06
1.455521223399e-05 5.420870281819e-05 1.449673594061e-06
9.592696934771e-05 4.424317297957e-05 2.216659278009e-06
4.406270234843e-05 4.480519695300e-05 2.999956387763e-06
8.685808316638e-05 4.631857476300e-05 3.423845896976e-06
7.356089735923e-05 3.925347384941e-05 4.284810068415e-06
3.797401926491e-05 4.777783720690e-05 1.019576580922e-06
9.216716503905e-05 4.442744640694e-05 1.547658075173e-06
6.343623123521e-05 3.317284494598e-05 2.358027683386e-06
8.260881138373e-05 4.685417193156e-05 8.590474019253e-07
2.416675653935e-05 5.136989692789e-05 3.943440127846e-06
4.199941055857e-06 4.632471797243e-05 1.528185671616e-06
9.348353918692e-05 4.801892952226e-05 2.277468310295e-06
3.915048897941e-06 5.234516159474e-05 1.388080633291e-06
9.858713184943e-05 5.161074588685e-05 3.963349173159e-06
5.682588788594e-05 3.885267866155e-05 2.745619411280e-06
8.257533759860e-05 4.993414832313e-05 2.180998593912e-06
4.809204412562e-05 4.689586574284e-05 1.539480928274e-06
6.894375611922e-05 3.152626127030e-05 9.436680722159e-07
1.937532227010e-05 5.892153774057e-05 5.000000000000e-06
4.063544473108e-05 4.642487643931e-05 7.289839652501e-07
9.296353620644e-05 5.381129069823e-05 2.075460761155e-06
6.651509405019e-05 3.521576581261e-05 1.336958365405e-06
8.648388294750e-05 5.200763419175e-05 2.243486731155e-06
8.828470868202e-05 5.911890013934e-05 5.000000000000e-06
9.552350521620e-05 5.564368796125e-05 1.072732539843e-06
5.326855781961e-05 4.276442696246e-05 2.541759142450e-06
9.807580269571e-05 5.802433526371e-05 2.417497252399e-06
4.155287134573e-05 4.793171289489e-05 1.009327039108e-06
6.242324614889e-05 3.826479752397e-05 2.833708041938e-06
3.729468160040e-05 5.025911767456e-05 1.530516600759e-06
5.087170222572e-05 4.584828499830e-05 1.364018260729e-06
9.495196407929e-05 6.121786728024e-05 1.989846750177e-06
2.691706947815e-05 6.247599766782e-05 3.337393856869e-06
8.103039323032e-05 5.911890014604e-05 2.254315451696e-06
1.214283185517e-05 5.599441198617e-05 1.551715471805e-06
2.188831216997e-05 6.700809369931e-05 3.432265994502e-06
5.073350610970e-05 4.917406535175e-05 1.948715578714e-06
9.254699880151e-05 6.375636449852e-05 1.298665949656e-06
4.419979340035e-05 5.061066984261e-05 2.756706244193e-06
4.005522700184e-05 5.025911767456e-05 1.230028800687e-06
8.808600788588e-06 5.664565461961e-05 1.845520724427e-06
7.400954777878e-05 6.094450191486e-05 5.000000000000e-06
3.085305004064e-06 5.614387396938e-05 2.422793006722e-06
5.999837597553e-06 5.987428623744e-05 2.311177412303e-06
5.868599845082e-05 4.448259559747e-05 3.141617182502e-06
5.500642145486e-05 4.917406535510e-05 2.324199766450e-06
4.822131536387e-05 5.205454113557e-05 1.516162021237e-06
3.891431932933e-05 5.241600592450e-05 1.166777097692e-06
8.247213028171e-05 6.329166431793e-05 2.155279767411e-06
6.762897526397e-05 6.126478955348e-05 1.388606247712e-06
4.617485024011e-05 5.525537775076e-05 2.282966107677e-06
8.973589528623e-05 6.691878847247e-05 2.932554721099e-06
1.509505091023e-05 6.905443399443e-05 3.662514280210e-06
6.460601646850e-05 4.448259559747e-05 2.778400835180e-06
2.795000257629e-05 6.858739457064e-05 2.831780766518e-06
1.123612383315e-06 6.410381517464e-05 4.143780943150e-06
9.309893112792e-06 7.006784252334e-05 2.210734189570e-06
5.261003102531e-05 5.216397266640e-05 1.507540415375e-06
3.477929048980e-05 5.465878116978e-05 3.537317321491e-06
9.525153036711e-05 6.520321851085e-05 1.768560406897e-06
6.857074061207e-05 6.334156019113e-05 8.917222927208e-07
4.615652094022e-06 6.973645237904e-05 2.483506829200e-06
2.473668028045e-05 7.010920588231e-05 7.236868321681e-07
8.270650907007e-05 7.059481266000e-05 5.000000000000e-06
9.309480232638e-05 6.885983252007e-05 9.468664340637e-07
7.398804344046e-05 7.059481266670e-05 3.718465629611e-06
9.615439518271e-05 6.900451567375e-05 2.116145427064e-06
2.279620532320e-05 7.462418151145e-05 4.190623698455e-06
6.863158781027e-06 7.318559358410e-05 1.633271202293e-06
9.334512204409e-05 7.118855909743e-05 1.395275199814e-06
5.684199892884e-05 5.481499561911e-05 3.486203173584e-06
9.673236977239e-05 7.450206074078e-05 3.343157063437e-06
8.873483821731e-05 7.075729454155e-05 1.030518441174e-06
7.725339373445e-05 7.576122624239e-05 2.393354212107e-06
7.306321018935e-05 7.610922830976e-05 1.811255589114e-06
8.178456792299e-05 7.872380701090e-05 3.020371338456e-06
6.272758428563e-05 5.485243680574e-05 2.399501273161e-06
8.683501856937e-05 7.955667389970e-05 2.098292450661e-06
4.098098395336e-05 6.052604503225e-05 5.000000000000e-06
5.180957228274e-05 5.521279881319e-05 1.561921758467e-06
1.452736425148e-05 7.760307585991e-05 4.598434510970e-06
2.033811039418e-05 8.020236721727e-05 1.767182999956e-06
4.959208768948e-05 5.657476289599e-05 1.040420279816e-06
8.445440427148e-05 8.392681793402e-05 2.827649591212e-06
8.984344920719e-05 8.464946809288e-05 2.609631767261e-06
7.767421871309e-05 7.980223292466e-05 1.229096049203e-06
6.293514656076e-05 6.126478955348e-05 3.305222455490e-06
6.886012521345e-05 7.610922830976e-05 2.391829386790e-06
3.556903195076e-05 6.866090991305e-05 4.770632073073e-06
8.652082234639e-05 8.957230099391e-05 3.184135720970e-06
4.946120719868e-05 6.141752384919e-05 3.526952607557e-06
7.894193289230e-05 8.137533822044e-05 7.912404355895e-07
5.647022001269e-05 6.148100269927e-05 3.163318600756e-06
7.321557010306e-05 8.142716027287e-05 3.508858498712e-06
9.480646495874e-05 8.464946809288e-05 2.353383984290e-06
9.336119573032e-05 9.085202315334e-05 3.774915711293e-06
4.171336557835e-06 7.327531843159e-05 1.060045977232e-06
1.775264227079e-05 8.569271437385e-05 4.110450009340e-06
4.581232176124e-05 6.400057860529e-05 9.436778634778e-07
4.525497752274e-05 6.994454127915e-05 5.000000000000e-06
3.992446648349e-05 7.318491684702e-05 1.238139286713e-06
2.117568813332e-06 7.606672822627e-05 2.264743885283e-06
5.453874284891e-05 7.116924744921e-05 4.364197981376e-06
5.980197139788e-05 6.588986676321e-05 2.281200890205e-06
7.909501843498e-05 8.494692452735e-05 2.627956150240e-06
3.026661277331e-05 7.221420661962e-05 1.471758293790e-06
3.267722350623e-05 7.607746362292e-05 3.081899442495e-06
6.558521461127e-05 7.777391645925e-05 1.281891627018e-06
2.517217033139e-05 8.761417017919e-05 3.553843112263e-06
6.042246132376e-05 7.275330738673e-05 1.729026860778e-06
4.945354781153e-05 7.628519116571e-05 2.604724416698e-06
2.802179597806e-05 7.792065609006e-05 1.925132007478e-06
1.050685604874e-05 8.637388717140e-05 3.167284140501e-06
8.116908516903e-05 9.037210433522e-05 2.227035704922e-06
4.504898011704e-05 7.826222346961e-05 2.223201981452e-06
7.447628071096e-05 8.733018798843e-05 2.527293209748e-06
3.764906048130e-05 7.461416778010e-05 1.448909411115e-06
4.797637472714e-05 7.979508034715e-05 1.081232828053e-06
2.098854602298e-05 8.981291926097e-05 1.128553846863e-06
7.047196091695e-05 8.733018798843e-05 1.477026584256e-06
5.437339590483e-05 7.843896819474e-05 2.765905039147e-06
2.270173401769e-05 9.198183523784e-05 1.464080127939e-06
3.688936000721e-05 7.719709151529e-05 1.243420403772e-06
5.919525692398e-05 7.658946673955e-05 2.298646067737e-06
6.325162123259e-05 7.777391645925e-05 1.051701751660e-06
