# 2D packing, generated 2026-08-07T23:55:16.881236+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = x
# porosity_achieved = 0.325137  (target 0.325000)
# 355 distinct grains; 370 rows including 15 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
5.975405884982e-05 -2.861635585857e-06 4.638364414143e-06
6.790483773549e-05 -2.855646594750e-06 2.911402493471e-06
1.136308655264e-05 -1.396245747711e-06 1.547419736917e-06
7.100867186085e-05 -7.492068429438e-07 7.701992211833e-07
1.483735923094e-05 2.837306632314e-07 2.311711173593e-06
1.889998256387e-05 1.502745095828e-06 1.929857466916e-06
5.399393766054e-05 8.701736859514e-08 1.832613128771e-06
6.979528124178e-05 1.378271366054e-06 1.678980299431e-06
1.598920071991e-05 6.110086412803e-06 3.519935644225e-06
2.296327328238e-05 1.502745099178e-06 2.133433251596e-06
9.144792254844e-05 -1.361495860221e-06 2.761481584665e-06
-4.254745522498e-07 -1.281423822031e-07 1.723852783601e-06
9.957452544775e-05 -1.281423822031e-07 1.723852783601e-06
4.232738516769e-05 4.181712279219e-07 5.000000000000e-06
5.034661941405e-05 -2.183562353852e-07 1.814705117725e-06
1.089628583168e-05 9.176396245709e-06 2.424813135165e-06
5.643356781277e-05 1.776049764308e-06 1.065475181625e-06
1.530515820260e-05 1.336330321002e-05 3.655346855394e-06
3.253579662127e-05 -1.147621063804e-06 1.915724398408e-06
3.428099295036e-05 4.736185880254e-06 4.131794908613e-06
1.064895300959e-05 1.601091685215e-05 1.700967623554e-06
4.851737749305e-05 3.072337964546e-06 1.735028289014e-06
7.268255794981e-05 1.378271366054e-06 1.208296408596e-06
3.825781665186e-06 2.403256429772e-06 3.223991127796e-06
2.072840043295e-05 1.469031992247e-05 1.927889629316e-06
5.896929801306e-05 4.190179924340e-06 2.435660645256e-06
1.861874103384e-05 1.803223020803e-05 2.024201859630e-06
6.619593400971e-05 1.804620442927e-06 1.945529878841e-06
9.564606627149e-05 1.058966992679e-06 2.084449816175e-06
4.616547129928e-05 6.377142751360e-06 2.088035466235e-06
9.838568288337e-05 2.277646753741e-06 9.139963714497e-07
8.401573423578e-05 -2.033625475499e-06 3.428175406666e-06
5.006254726113e-05 6.377142751360e-06 1.809040495623e-06
6.841543104610e-05 3.773869082733e-06 1.021641720497e-06
3.905991848588e-05 7.505457674519e-06 1.391518910522e-06
5.289607820915e-05 3.745877832424e-06 1.987407194315e-06
9.238041884666e-05 3.101110558506e-06 1.767147702620e-06
7.478097233556e-06 9.176396248077e-06 9.933754629634e-07
2.779235635032e-05 2.038615266356e-06 2.725290872404e-06
3.717704107021e-05 9.680979307484e-06 1.485653614366e-06
8.771864596937e-05 2.473320797818e-06 2.404844395920e-06
2.458567921360e-05 4.873714888242e-06 1.554962405753e-06
2.172432258287e-05 1.803223020803e-05 1.081379689402e-06
4.095894722588e-05 1.149572371051e-05 2.709118300610e-06
2.768808902381e-05 8.722346226862e-06 3.388407882936e-06
2.540505108215e-05 1.425777466278e-05 2.599348809873e-06
9.020833043765e-05 8.454811852339e-06 4.010402435640e-06
-8.454804763364e-07 9.528614855466e-06 5.000000000000e-06
9.915451952366e-05 9.528614855466e-06 5.000000000000e-06
3.147716846511e-05 1.450936728625e-05 3.477978592909e-06
7.832365267138e-05 4.137217456007e-06 4.967007439532e-06
7.076060940268e-05 8.089413620913e-06 3.566425516207e-06
