# 2D packing, generated 2026-08-07T23:51:57.124994+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = x
# porosity_achieved = 0.325232  (target 0.325000)
# 97 distinct grains; 105 rows including 8 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.142818644783e-03 -1.138828879287e-04 1.855345765657e-04
1.427009021648e-03 -1.173496444252e-05 1.164560997388e-04
9.013707789450e-04 -4.285250865937e-05 6.614455784337e-05
2.258460957896e-04 -2.462387243608e-05 6.189678947670e-05
1.300830359297e-03 7.653021084357e-05 3.753025030834e-05
1.548688611188e-03 7.121552311359e-05 3.080796884733e-05
3.709846025331e-04 2.794455987278e-05 9.246844694373e-05
2.267334689804e-04 1.172589356484e-04 7.719429867665e-05
9.678270838451e-04 1.219988560509e-04 1.081697705972e-04
1.205336877581e-03 1.372926505802e-04 7.330452515084e-05
1.367750601046e-03 1.620552029561e-04 6.715921197724e-05
7.158673710204e-04 -9.303077225801e-07 1.163519321596e-04
3.873838926136e-04 2.646082936832e-04 1.407974257690e-04
8.090507063241e-04 1.609667326863e-04 5.531855763500e-05
1.502038700824e-03 1.502684065410e-04 6.098294854205e-05
1.856573215097e-03 -8.443066593931e-05 1.282925136664e-04
5.959100520830e-04 3.520941131770e-04 8.533733006384e-05
1.552933940557e-05 9.371354977005e-05 1.104592633866e-04
2.015529339406e-03 9.371354977005e-05 1.104592633866e-04
1.845762159825e-03 1.600529321298e-04 7.180924435577e-05
-5.528220070480e-05 2.601633897498e-04 6.895411134405e-05
1.944717799295e-03 2.601633897498e-04 6.895411134405e-05
8.728324852720e-04 4.208789801513e-04 2.000000000000e-04
1.144094754478e-03 4.477324836822e-04 7.258820470902e-05
1.638243037965e-04 3.456340372962e-04 9.699252540658e-05
1.248977466818e-03 4.954013240599e-04 4.261900726499e-05
3.080551228106e-04 5.414574875359e-04 1.462138742157e-04
6.121370938560e-04 5.134073715890e-04 7.662897593630e-05
3.404945052069e-06 3.860351167296e-04 6.843606305187e-05
2.003404945052e-03 3.860351167296e-04 6.843606305187e-05
7.018984796626e-04 7.436870515049e-04 1.652717963445e-04
1.329962924155e-04 6.649830864073e-04 6.803870494217e-05
1.090127874401e-03 5.801262204714e-04 6.940113156055e-05
1.447357209867e-03 2.457270303169e-04 4.833185634383e-05
1.814231588915e-03 4.424133654558e-04 1.289596451118e-04
4.625894169285e-04 7.026877556997e-04 7.711558517262e-05
1.246838912937e-03 6.373370961790e-04 9.742642581024e-05
3.198918307168e-04 7.707160021019e-04 8.096807438519e-05
1.335188385928e-03 3.034569821452e-04 7.782119515363e-05
1.633166810689e-03 4.424133654558e-04 5.210513311464e-05
5.338417523237e-07 5.442894813853e-04 8.337799264699e-05
2.000533841752e-03 5.442894813853e-04 8.337799264699e-05
4.832412027357e-04 8.640232003508e-04 8.431144322122e-05
9.506916946565e-04 7.436870517193e-04 8.352141864942e-05
1.891158732351e-03 5.935050552175e-04 3.655985485799e-05
1.627800451156e-03 6.322700014664e-04 1.371270162666e-04
1.092567051977e-03 8.082695932399e-04 7.236161982492e-05
1.385131007567e-03 6.373370961790e-04 4.086566881986e-05
6.054266014347e-04 9.424441132226e-04 5.566075642088e-05
9.778648351985e-04 9.077895689537e-04 7.949628777261e-05
1.830433833449e-03 6.819026814685e-04 7.068590810481e-05
1.989506665638e-04 7.502192055076e-04 3.973501851853e-05
4.894147402393e-04 1.059312605658e-03 1.090116348961e-04
8.332664692830e-04 9.259824599945e-04 5.942614457465e-05
1.748588908373e-03 8.318914948757e-04 9.619377583679e-05
6.433653153608e-04 1.134226752653e-03 6.219849623011e-05
3.417725570583e-04 1.096554664829e-03 4.325518757610e-05
8.139285436153e-04 1.092655261917e-03 1.083647320244e-04
5.322334368087e-04 1.300082743295e-03 1.355363153174e-04
3.186402578002e-04 1.408448430764e-03 1.039739523949e-04
-1.519604518856e-05 9.321465640326e-04 1.604160974256e-04
1.984803954811e-03 9.321465640326e-04 1.604160974256e-04
1.681874954018e-03 1.127425297545e-03 2.000000000000e-04
7.753423587814e-04 1.427886003168e-03 1.391191437164e-04
1.329162982908e-03 1.313275358387e-03 1.986802975813e-04
1.630467134417e-03 1.473671658531e-03 1.426570206483e-04
4.739864842011e-04 1.515021361113e-03 8.441458106770e-05
6.214256871549e-04 1.527424190316e-03 4.417895366952e-05
6.925221872060e-04 1.637473293259e-03 8.623837887227e-05
3.507700771594e-04 1.551608956547e-03 4.274776186176e-05
1.413923325998e-03 1.623453430015e-03 1.206409095249e-04
1.070667836831e-03 1.313275358601e-03 5.981484849553e-05
2.208331851210e-04 9.769139017303e-04 7.982110220235e-05
1.002227321186e-03 1.446006579153e-03 8.848828463172e-05
8.996579233354e-04 1.657572542934e-03 1.218702298381e-04
7.467937269213e-04 1.809560484282e-03 9.369367451651e-05
1.145348631198e-03 1.502114754865e-03 6.484965054053e-05
1.166703218037e-03 1.837259090660e-03 2.000000000000e-04
-1.367492238276e-05 1.209982229232e-03 1.154449630743e-04
1.986325077617e-03 1.209982229232e-03 1.154449630743e-04
1.529357168578e-04 1.408448430764e-03 6.173058854744e-05
1.418267223480e-03 1.853020620882e-03 5.205728449988e-05
8.833507608314e-04 1.979731619704e-03 1.171545940649e-04
1.745748488792e-04 1.623622660951e-03 1.475959590508e-04
-1.590299108252e-04 1.739448954070e-03 1.963843703147e-04
1.840970089175e-03 1.739448954070e-03 1.963843703147e-04
1.567656390082e-03 1.749254649084e-03 7.710517202010e-05
1.410270187443e-03 1.996636518453e-03 9.107736613413e-05
1.622732548238e-03 1.869502579521e-03 5.515573668580e-05
5.516316302029e-04 1.629375734851e-03 5.380875810011e-05
9.447156319213e-05 1.817934149903e-03 6.257894695995e-05
3.327114979881e-04 1.710277104564e-03 3.272650873710e-05
2.048772712036e-04 1.834265095554e-03 4.902804272861e-05
1.570282402958e-03 2.020408510323e-03 7.069103841751e-05
1.463061486783e-04 1.993715804412e-03 1.206859277823e-04
1.757765983824e-03 2.046776567804e-03 1.186376903845e-04
4.692336761748e-04 1.789310035761e-03 1.250217380058e-04
