# 2D packing, generated 2026-08-07T23:55:06.264019+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = x
# porosity_achieved = 0.324858  (target 0.325000)
# 327 distinct grains; 342 rows including 15 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
9.060378546474e-05 -2.127376678389e-06 2.602595639621e-06
3.946667869896e-05 9.194015041357e-07 2.250498586381e-06
-1.198777568201e-06 8.348260646328e-07 4.213622120979e-06
9.880122243180e-05 8.348260646328e-07 4.213622120979e-06
9.245948328578e-05 2.896958413850e-06 2.454964327580e-06
8.588526615477e-05 6.412091731366e-06 5.000000000000e-06
5.002478158034e-05 -1.540675279467e-06 3.073516722029e-06
7.946715734469e-05 9.952483174301e-06 2.329835759912e-06
2.341875520172e-05 -1.054885588461e-06 1.567806331121e-06
5.415711069451e-05 1.082033527487e-07 1.375634281435e-06
7.482319519796e-05 9.952483174301e-06 2.314126386813e-06
8.270639207108e-05 1.237125893041e-05 1.712826453413e-06
7.734138854711e-05 1.532164119380e-05 3.444828803428e-06
8.223662127400e-05 1.570599161686e-05 1.465469425607e-06
9.124716350541e-05 9.702443004640e-06 1.290974066099e-06
4.533665435405e-05 8.395061384002e-07 2.184220478685e-06
4.678185382157e-06 2.467002667578e-06 1.885778995777e-06
7.136790762475e-05 1.532164119380e-05 2.528652118930e-06
9.580077143645e-05 7.641883649284e-06 3.225379098021e-06
4.886528065497e-05 3.928549963279e-06 2.505491167415e-06
4.247628845749e-05 3.779386468598e-06 1.901279935602e-06
2.449067749336e-06 7.304590193153e-06 3.213666976624e-06
1.024490677493e-04 7.304590193153e-06 3.213666976624e-06
9.338372722210e-05 1.393800909377e-05 3.452961495311e-06
8.940132335411e-05 1.133754397393e-05 1.051672332734e-06
2.570779798318e-05 1.368034154150e-06 1.765398873259e-06
7.777707643096e-06 2.467002669947e-06 1.213743265162e-06
1.510889815623e-05 -1.606875089055e-06 3.099290581371e-06
3.342589462208e-05 -1.420444843488e-06 2.205085610107e-06
1.998722584558e-05 1.689735050739e-06 2.788469557973e-06
-4.771934600932e-07 1.222148390252e-05 2.508120193047e-06
9.952280653991e-05 1.222148390252e-05 2.508120193047e-06
3.909900129211e-05 5.606167821008e-06 1.938407383302e-06
7.344518280554e-05 1.961734711368e-05 2.242947353658e-06
4.499831485250e-05 7.514645683859e-06 2.605690060116e-06
6.239363685822e-05 -8.460692414125e-07 3.395710882243e-06
3.429176030701e-05 3.796159307820e-06 3.082889640949e-06
1.525827700437e-05 4.419511150746e-06 2.671808337785e-06
2.353884861833e-05 3.139002134238e-06 1.034720576656e-06
7.749561527144e-06 7.304590197256e-06 2.086826801183e-06
7.779898743163e-05 2.114549861079e-05 2.371254822268e-06
1.264204551076e-05 9.874665026552e-06 3.378263648308e-06
4.059827873929e-05 9.499860763785e-06 2.221461968889e-06
4.978775413046e-05 9.999749665097e-06 2.790092588843e-06
8.669120932582e-05 1.659958703402e-05 3.077862774552e-06
3.650072635086e-05 7.264754802550e-06 1.029370770178e-06
3.567790726765e-05 1.125731928805e-05 3.003355337333e-06
2.222285962084e-05 5.157566443772e-06 1.337534919438e-06
2.846088949649e-05 5.389404730214e-06 2.961734862273e-06
5.728487155214e-05 -8.460692414125e-07 1.713054423840e-06
7.403408459398e-05 2.480420204616e-05 2.878564622723e-06
7.930286212152e-05 2.604827697496e-05 2.535097637078e-06
9.103731457854e-05 1.823874790180e-05 1.446222782587e-06
5.337977989772e-05 1.210173105256e-05 1.371754941510e-06
4.599082221785e-05 1.140284474913e-05 1.257791767681e-06
1.957980433194e-05 1.375553811349e-05 4.571181198841e-06
7.613453991989e-05 2.949634395675e-05 2.147575903144e-06
7.976029512832e-05 3.102583532502e-05 1.787579071836e-06
1.266995384797e-05 1.611006931677e-05 2.728808588687e-06
3.974705500816e-05 1.285059615846e-05 1.235705878585e-06
8.259893092810e-05 1.895178074522e-05 1.642259865747e-06
3.817016241799e-05 1.497056820775e-05 1.406428056449e-06
8.681552497537e-05 2.604827697969e-05 4.977565216774e-06
-1.678752330548e-06 1.706244138446e-05 2.390084397643e-06
9.832124766945e-05 1.706244138446e-05 2.390084397643e-06
6.664141989592e-05 1.557299592275e-05 2.204514416343e-06
3.071452331881e-05 1.125731928805e-05 1.960028611507e-06
9.427008551903e-05 2.604827697969e-05 2.476995326887e-06
3.523734612056e-06 1.873428084621e-05 3.074429997419e-06
3.468628893909e-05 1.662302945450e-05 2.449476842404e-06
3.881905685985e-05 1.845605653446e-05 2.071558322548e-06
5.099832162808e-05 1.497417347786e-05 2.329513444372e-06
4.639246571740e-05 1.607789488178e-05 2.406741363745e-06
2.743624352483e-05 1.542240558039e-05 3.340448935873e-06
4.345251664940e-05 1.143542118645e-05 1.227170832281e-06
9.302859804977e-05 3.288817755752e-05 4.262917289156e-06
3.093312504201e-05 1.996395561021e-05 2.391379482578e-06
8.434305049837e-05 3.610732347502e-05 5.000000000000e-06
7.809492428580e-05 3.610732347502e-05 1.248126212572e-06
3.550529485049e-05 2.131388547310e-05 2.304307865671e-06
-8.902770924509e-07 2.197302906329e-05 2.400329297850e-06
9.910972290755e-05 2.197302906329e-05 2.400329297850e-06
4.114410731608e-05 2.429318907065e-05 4.073188190657e-06
1.546186206673e-05 1.786477721762e-05 5.687285709694e-07
5.610504842322e-05 1.577802387807e-06 9.827082308605e-07
7.796064627020e-05 3.985171583122e-05 2.399699848572e-06
9.035382701647e-05 3.797845683629e-05 1.295281916337e-06
5.943690547957e-05 1.557299592275e-05 5.000000000000e-06
8.158449792718e-05 4.338036573431e-05 2.658330496374e-06
8.758086861507e-06 1.919767662287e-05 2.180394368548e-06
5.212454977624e-05 2.239424610639e-05 5.000000000000e-06
5.826863435288e-05 2.554016926995e-05 1.902652232006e-06
3.008159429796e-06 2.337618197481e-05 1.596015790325e-06
6.877367346625e-05 1.880131935291e-05 1.664410170404e-06
1.688779787731e-05 1.895918735838e-05 1.228777059640e-06
1.417973665285e-05 2.069792575032e-05 1.989422249140e-06
1.783882505305e-05 2.287759620279e-05 2.269672866243e-06
2.567204212442e-05 2.190173469487e-05 3.215222094741e-06
6.629431929822e-06 2.388289029365e-05 2.060535568513e-06
2.141178795933e-05 2.459727057441e-05 1.695594321988e-06
4.669693989155e-05 2.844405156878e-05 2.859604110399e-06
-1.266228226076e-06 3.382999076015e-05 1.519471432765e-06
9.873377177392e-05 3.382999076015e-05 1.519471432765e-06
6.502536075080e-05 2.103343571300e-05 2.698179846744e-06
9.725338269002e-05 3.568519899744e-05 8.038503384233e-07
1.121869109879e-05 2.408833251017e-05 2.511982950396e-06
8.291338479653e-06 2.904299486889e-05 3.242847407294e-06
2.958007765864e-05 2.407476432249e-05 1.256332388798e-06
2.773559407697e-05 2.678002837612e-05 2.017896265849e-06
7.036084430652e-05 2.601307226765e-05 9.884835308211e-07
6.180353983881e-05 2.554016926995e-05 1.632253253922e-06
4.169057665892e-05 3.150104675411e-05 3.006305229185e-06
1.545914588212e-05 2.712088961576e-05 2.595346346991e-06
7.291531709338e-07 2.633823847599e-05 2.141315910784e-06
1.007291531709e-04 2.633823847599e-05 2.141315910784e-06
2.406817809832e-05 2.640733946389e-05 1.518866434535e-06
4.632400362874e-05 3.303280395721e-05 1.744277940487e-06
3.293269711992e-05 2.523959187533e-05 2.292876041271e-06
8.590925349043e-05 4.502187936980e-05 1.967475130476e-06
1.348267571769e-05 3.252432445012e-05 3.007723604393e-06
7.424328480397e-05 3.985171583457e-05 1.317661617654e-06
9.912950705276e-06 3.459107635033e-05 1.117127917937e-06
3.623178804706e-05 2.821018956156e-05 2.146544141471e-06
4.010385987289e-06 3.083074125051e-05 1.396397290594e-06
6.554733383313e-05 2.752718592654e-05 2.606169644452e-06
1.179926245019e-05 4.041010392935e-05 5.000000000000e-06
5.374571631681e-06 4.158753853352e-05 1.531692304487e-06
6.112078040102e-05 2.930147471359e-05 2.162737566555e-06
7.644872396691e-05 4.579905101521e-05 3.018483104495e-06
9.325899030618e-05 3.893007530119e-05 1.761767550484e-06
7.045403506924e-05 2.982776043046e-05 2.813088613698e-06
2.869937623623e-06 3.487609724942e-05 2.746932992874e-06
9.650217565400e-05 3.794160976855e-05 1.574321560104e-06
9.594365741545e-05 4.152340002888e-05 1.970895122575e-06
7.045145343045e-05 4.869192725874e-05 3.640044273828e-06
2.067486602604e-05 2.978631314469e-05 3.261975499064e-06
5.558852116251e-05 2.906461654492e-05 2.516178520505e-06
5.114946712972e-05 3.247420360925e-05 3.081185560494e-06
5.846723641956e-05 3.240006924442e-05 1.889754552272e-06
8.310716917451e-05 4.788522414460e-05 2.038822388788e-06
3.714118681347e-05 3.180999890915e-05 1.553563124176e-06
6.216063260059e-05 3.328240946184e-05 1.907573404249e-06
3.828143871323e-05 3.544449053417e-05 2.206464704279e-06
6.721732036638e-05 3.533879945257e-05 3.551257144013e-06
5.598182303682e-06 4.764030454845e-05 4.525187450952e-06
2.485093919710e-05 3.201745083167e-05 1.472743342466e-06
-1.010261108728e-06 4.764030454845e-05 2.083255961458e-06
9.898973889127e-05 4.764030454845e-05 2.083255961458e-06
3.398634559510e-05 3.627331227234e-05 2.167866143644e-06
6.036245885469e-05 3.941775529525e-05 4.425396735349e-06
1.127602877119e-05 4.993943996630e-05 1.600493260466e-06
3.089234024391e-05 2.896354405068e-05 1.820435020482e-06
7.982899088758e-05 4.856306023847e-05 1.308701270734e-06
2.833281542627e-05 3.201745083167e-05 2.009132886708e-06
7.653722062609e-05 5.248042308928e-05 3.528586210263e-06
8.228979339739e-05 5.206893505499e-05 2.223986561044e-06
1.768252762620e-05 3.300346294320e-05 1.131672407308e-06
2.014191307659e-05 3.521043088282e-05 2.172761625943e-06
4.755812046076e-05 3.961399136390e-05 4.910956835514e-06
5.391663884324e-05 4.344741162748e-05 2.513722749328e-06
2.495452029759e-05 3.701348745526e-05 2.966518602564e-06
3.019481487529e-05 3.525097122660e-05 1.722180031366e-06
4.989078131823e-05 4.721236378890e-05 2.998299891182e-06
1.791190221293e-05 3.810877746128e-05 1.484199043918e-06
3.717410396884e-05 4.097454849488e-05 3.433369627056e-06
4.658266429865e-05 4.936886868212e-05 9.506432040938e-07
8.687588081517e-05 5.390689780103e-05 2.716692021832e-06
8.275951638592e-05 5.613031904708e-05 1.864470313759e-06
9.071699669196e-05 4.063299014148e-05 1.297913885218e-06
1.845283434222e-05 4.139797239883e-05 1.726507491666e-06
4.198426288375e-05 4.617115726113e-05 3.647758210804e-06
3.620025359881e-05 4.657665307767e-05 2.150447569047e-06
2.361283545722e-05 4.387979304705e-05 3.999315177328e-06
5.721489805559e-05 4.515247977752e-05 1.199196752646e-06
1.572842968263e-05 5.173996891409e-05 3.202191235520e-06
6.605976735834e-05 5.003650656878e-05 9.528633103639e-07
3.060017392231e-05 4.977227028556e-05 4.297254480709e-06
7.969233950080e-05 5.635789903718e-05 1.211138032004e-06
2.260173456599e-05 5.148328917382e-05 3.671113647839e-06
3.813987129859e-05 5.145950599342e-05 2.890282701765e-06
2.747432682096e-05 5.830810644414e-05 4.714605525646e-06
4.819719883779e-05 5.364462406788e-05 3.619784116952e-06
4.235507036682e-05 5.396130347013e-05 2.011440852180e-06
3.831890134733e-05 5.827968208616e-05 3.899485828573e-06
8.079084366726e-05 5.887715983166e-05 1.514998071809e-06
2.077394006826e-05 6.260157288677e-05 3.243348779934e-06
9.254047607973e-05 4.344953404902e-05 1.939556957086e-06
6.416155917312e-05 5.003650656878e-05 9.453448748631e-07
7.099604218985e-05 5.480593865544e-05 2.480796545944e-06
3.333995601631e-05 6.361876792002e-05 3.197962399416e-06
4.370380826431e-05 5.971831460361e-05 1.674281840134e-06
9.456683291842e-05 5.317297278094e-05 5.000000000000e-06
6.029322782193e-05 5.003650656878e-05 2.922986476328e-06
9.171473713390e-06 5.387957110196e-05 2.664865304380e-06
9.031560199094e-07 5.317297278094e-05 1.336323101494e-06
1.009031560199e-04 5.317297278094e-05 1.336323101494e-06
8.631753022423e-05 5.983452166942e-05 3.237170598976e-06
6.664121639094e-05 5.480593865544e-05 1.874029252965e-06
4.192024878497e-05 6.501016159988e-05 3.733931351898e-06
2.869233002076e-05 6.453540488780e-05 1.539193997118e-06
2.513885791320e-05 6.610171101956e-05 2.344165233960e-06
5.408748066458e-05 5.364462407368e-05 2.270497709837e-06
2.955775889995e-05 6.910824109756e-05 3.000543274520e-06
4.728529610277e-05 5.904043302179e-05 1.852539051981e-06
6.314211383467e-05 5.480593865879e-05 1.625073303308e-06
9.161513218179e-05 6.256941513341e-05 2.724727484702e-06
1.299869053997e-05 5.600629959395e-05 1.713554812087e-06
1.677425079652e-05 5.766274482703e-05 2.409389046494e-06
5.792510729588e-05 5.390950043871e-05 1.576259060481e-06
7.447669291412e-05 5.802597869040e-05 2.260889577264e-06
4.627648681763e-05 6.744229562736e-05 1.255265549898e-06
8.195996225009e-05 6.187264097507e-05 1.573476857787e-06
1.321883447569e-05 6.368339778464e-05 4.388817729287e-06
1.852405816235e-05 6.829190487854e-05 2.638538530366e-06
3.464616818247e-05 7.047091994086e-05 2.267169953859e-06
5.679912860776e-05 6.039051929826e-05 5.000000000000e-06
6.733798368018e-07 5.642313378926e-05 1.917619666218e-06
1.006733798368e-04 5.642313378926e-05 1.917619666218e-06
7.062198351234e-05 5.907223086801e-05 1.733284704272e-06
2.500873229705e-05 7.121365401178e-05 2.012081444446e-06
2.878266120818e-05 7.712353952312e-05 5.000000000000e-06
-1.311036670638e-06 6.256941513341e-05 4.349103662870e-06
9.868896332936e-05 6.256941513341e-05 4.349103662870e-06
7.293343293741e-05 6.237125699069e-05 2.294912386585e-06
7.807779778056e-05 6.457086807060e-05 3.154274238400e-06
6.431817583172e-05 6.039051930300e-05 2.519047223955e-06
8.760353895161e-05 6.499713569991e-05 1.964271064392e-06
9.104268937886e-05 6.763693451909e-05 2.371198168227e-06
3.699888486948e-05 6.653225409371e-05 1.417436267337e-06
8.766887298764e-05 6.807213316106e-05 1.030571209550e-06
2.112486175664e-05 7.948441299871e-05 3.013464669402e-06
3.510734697989e-05 8.123799004460e-05 2.545220553736e-06
3.889555941969e-06 5.350369172784e-05 1.582079798757e-06
3.098866709923e-05 8.472043806481e-05 2.848383823003e-06
4.000816386504e-05 8.307300976956e-05 2.687876381416e-06
1.666880069429e-05 8.200832485340e-05 2.107727695825e-06
7.217208262350e-05 6.888002178376e-05 4.156421846108e-06
8.543385748390e-05 6.917964498961e-05 1.463797799307e-06
8.143477538960e-05 6.898672641762e-05 2.392716261733e-06
4.515359499978e-05 8.392265777881e-05 2.527232754736e-06
1.992129056387e-05 8.421946639826e-05 1.825189450916e-06
3.413225145320e-05 8.648858024430e-05 7.583389771876e-07
7.770458421400e-05 7.208525368191e-05 2.237488175926e-06
5.582815427380e-06 6.914609962966e-05 5.000000000000e-06
