# 2D packing, generated 2026-08-07T23:55:53.930182+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.324932  (target 0.325000)
# 339 distinct grains; 368 rows including 29 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
1.474515702760e-05 2.559360144804e-07 2.311711173593e-06
1.474515702760e-05 1.002559360145e-04 2.311711173593e-06
1.880606557529e-05 1.480646615431e-06 1.929857466916e-06
1.880606557529e-05 1.014806466154e-04 1.929857466916e-06
5.402287184752e-05 -1.516217011694e-08 1.832613128771e-06
5.402287184752e-05 9.998483782988e-05 1.832613128771e-06
6.979653633430e-05 1.963981758482e-06 1.678980299431e-06
1.598599446575e-05 6.144061201395e-06 3.519935644225e-06
2.286924890980e-05 1.451473164249e-06 2.133433251596e-06
2.286924890980e-05 1.014514731642e-04 2.133433251596e-06
4.224098775475e-05 1.474072710550e-06 5.000000000000e-06
4.224098775475e-05 1.014740727105e-04 5.000000000000e-06
1.087702001925e-05 9.183536965603e-06 2.424813135165e-06
5.643356781277e-05 1.776049764308e-06 1.065475181625e-06
1.529600128436e-05 1.335977280011e-05 3.655346855394e-06
3.387971899707e-05 5.145416208817e-06 4.131794908613e-06
1.064521312277e-05 1.601688982868e-05 1.700967623554e-06
4.898220758908e-05 3.165212251227e-06 1.735028289014e-06
7.271705830609e-05 1.529431396622e-06 1.208296408596e-06
4.144125767524e-06 3.017436001655e-06 3.223991127796e-06
4.144125767524e-06 1.030174360017e-04 3.223991127796e-06
2.071809798049e-05 1.469145913729e-05 1.927889629316e-06
5.896989404896e-05 4.189598800639e-06 2.435660645256e-06
1.861590703983e-05 1.803807211972e-05 2.024201859630e-06
6.614848546645e-05 1.800125211479e-06 1.945529878841e-06
6.614848546645e-05 1.018001252115e-04 1.945529878841e-06
9.574924464590e-05 2.235403621466e-06 2.084449816175e-06
4.661611019228e-05 7.050613473415e-06 2.088035466235e-06
9.874596223116e-05 2.337195927577e-06 9.139963714497e-07
5.047112699774e-05 6.479636137556e-06 1.809040495623e-06
6.817927737371e-05 4.126811493003e-06 1.021641720497e-06
3.905991848588e-05 7.505457674519e-06 1.391518910522e-06
5.302754823347e-05 3.672910302164e-06 1.987407194315e-06
9.197352618582e-05 2.996159582858e-06 1.767147702620e-06
7.458839303891e-06 9.176350536415e-06 9.933754629634e-07
2.766076580162e-05 2.256787040572e-06 2.725290872404e-06
2.766076580162e-05 1.022567870406e-04 2.725290872404e-06
3.717486155391e-05 9.694891202587e-06 1.485653614366e-06
8.768242998521e-05 2.638680299630e-06 2.404844395920e-06
2.431419526091e-05 4.925312741550e-06 1.554962405753e-06
2.172432258287e-05 1.803223020803e-05 1.081379689402e-06
4.096412469788e-05 1.149421375148e-05 2.709118300610e-06
2.733060887846e-05 8.841708147985e-06 3.388407882936e-06
2.523901249967e-05 1.445227287125e-05 2.599348809873e-06
9.025942858601e-05 8.513580986834e-06 4.010402435640e-06
-7.950637951690e-07 9.593029298601e-06 5.000000000000e-06
9.920493620483e-05 9.593029298601e-06 5.000000000000e-06
3.147716846511e-05 1.450936728625e-05 3.477978592909e-06
7.919760659222e-05 6.065020421881e-06 4.967007439532e-06
7.054889469252e-05 8.074756626956e-06 3.566425516207e-06
2.122800692588e-05 2.124300155113e-05 2.110364526693e-06
3.723258233921e-05 1.231159885726e-05 1.104473841738e-06
3.811717583508e-05 1.544973720445e-05 2.155959471807e-06
1.552546213184e-05 1.816117613319e-05 1.068694046544e-06
7.504463752684e-05 1.288276244499e-05 3.016022738122e-06
5.553103259769e-05 6.094131052691e-06 1.495371212388e-06
5.850546560570e-06 1.177780776887e-05 1.995527555059e-06
4.868767957546e-05 1.081892855796e-05 2.212207115793e-06
4.551759072226e-05 1.501500574136e-05 3.046755745953e-06
4.141480314572e-05 1.850920560422e-05 2.342341862913e-06
6.258004704777e-05 6.040341445630e-06 1.621241263513e-06
5.413648921292e-05 1.554392397143e-05 5.000000000000e-06
9.335663439719e-05 1.488629058766e-05 2.886124076857e-06
7.400988584954e-06 1.600986025391e-05 1.543264713686e-06
6.536591000166e-05 4.951369063533e-06 1.301432112497e-06
4.783894156645e-05 2.052129971132e-05 2.928864851624e-06
1.201230783925e-05 2.137084182962e-05 3.689898976269e-06
8.388834976263e-05 1.475664846925e-05 4.909609257869e-06
7.749383378316e-05 1.717707617311e-05 1.927629300502e-06
6.548856555340e-05 1.099672874909e-05 2.276934153353e-06
7.981784254167e-05 1.956846782320e-05 1.378893417145e-06
6.898748779517e-05 1.348156545460e-05 1.980642774415e-06
2.762239631926e-05 1.759537450886e-05 1.345218952503e-06
6.278215522742e-05 2.012378533182e-05 4.783846830119e-06
4.468440880777e-06 1.703854936890e-05 1.564473673999e-06
7.516132611811e-06 2.169799353924e-05 8.181627184276e-07
4.284266210512e-05 2.358836112318e-05 2.933702051588e-06
5.691680734110e-06 2.261927224518e-05 1.225701068215e-06
7.337826259574e-05 1.736641474012e-05 1.767275960438e-06
5.172403924604e-05 2.102357223476e-05 9.871945254369e-07
7.486940283499e-06 2.646359442385e-05 3.017148194558e-06
8.301020848879e-05 2.258308147617e-05 2.965942259613e-06
1.762330929999e-05 2.523955194739e-05 3.125543450146e-06
8.979918309509e-05 1.794690096508e-05 1.806715725529e-06
5.643099369948e-05 2.159866349941e-05 1.474932290430e-06
3.532287158273e-05 1.954715626011e-05 2.803574886430e-06
2.988242258464e-05 2.114788074017e-05 2.865247164565e-06
7.547574315167e-05 2.084780926797e-05 2.261281728103e-06
5.152840320838e-05 2.482049818449e-05 2.736406868422e-06
1.195505551722e-05 2.663016930076e-05 1.454070238036e-06
4.664594047454e-05 2.804807456234e-05 2.927526325038e-06
3.321328396034e-05 2.247710093424e-05 7.210414359756e-07
7.089187180605e-05 1.591193576162e-05 1.106974152949e-06
5.739353466836e-05 2.511246291421e-05 2.168326795151e-06
9.873791774991e-07 1.629962082295e-05 1.939414777351e-06
1.009873791775e-04 1.629962082295e-05 1.939414777351e-06
7.039295750690e-05 2.447527143418e-05 3.983172101955e-06
1.094867477604e-05 2.993996190950e-05 1.888841674480e-06
5.470554355393e-05 2.643386116880e-05 8.269047669208e-07
2.511853766439e-05 2.133288804439e-05 1.781204467681e-06
7.219954622706e-06 3.192510551591e-05 2.335391879680e-06
3.292814412961e-05 2.618574191811e-05 2.998544992746e-06
9.732176510741e-05 1.691337121362e-05 1.567112657617e-06
6.254153940832e-05 2.965140680728e-05 4.694914344066e-06
2.264761572671e-06 3.291264584312e-05 2.717248426247e-06
1.022647615727e-04 3.291264584312e-05 2.717248426247e-06
2.858759126286e-05 2.873926057168e-05 2.037412019270e-06
6.264093610960e-06 3.864122006653e-05 4.269254160253e-06
3.803020722173e-05 2.531136588409e-05 2.177901114187e-06
5.102901239215e-05 2.957841737092e-05 1.715024569242e-06
1.684823861774e-05 3.326267512122e-05 4.882072341559e-06
3.714137278368e-05 3.041015437558e-05 2.963902310092e-06
7.572539668111e-05 2.445003625991e-05 1.349329196097e-06
5.940258535222e-07 4.065610928553e-05 1.748174438308e-06
1.005940258535e-04 4.065610928553e-05 1.748174438308e-06
2.342710287864e-05 2.409985038276e-05 1.461227554037e-06
9.322124436363e-05 2.002369916434e-05 2.196232448762e-06
2.252349094327e-05 3.540078740238e-05 1.182580417384e-06
5.519411624155e-05 3.160538814691e-05 2.877406010353e-06
3.182580600946e-05 3.218967355817e-05 2.641120469846e-06
5.862776137842e-05 3.435078626994e-05 1.420789199099e-06
1.372981790980e-05 4.078859396999e-05 3.264338047692e-06
7.488764932730e-05 2.669272002419e-05 1.028787679180e-06
2.149629330874e-05 3.851945339641e-05 2.100895265896e-06
2.770023378858e-06 4.464489739710e-05 2.677159898557e-06
2.479229567294e-05 3.936777011373e-05 1.302525485312e-06
3.101642483966e-05 4.035875124823e-05 5.000000000000e-06
6.137184474080e-05 3.598360608626e-05 1.744413916902e-06
8.717712072133e-05 2.456157299314e-05 1.646822659756e-06
8.491673791919e-05 2.624543153820e-05 1.161355906543e-06
9.745418280013e-05 2.057895005984e-05 2.072967870288e-06
6.894768752118e-05 2.999260240702e-05 1.720315518607e-06
2.475104668285e-05 4.220314259397e-05 1.531212971882e-06
8.608339766583e-06 4.589407013916e-05 3.293298273368e-06
1.532594989046e-05 4.759625539535e-05 3.636616619528e-06
1.097666335648e-05 5.004905393541e-05 1.356630223238e-06
7.996466382628e-05 2.994383934151e-05 5.000000000000e-06
7.147280307268e-05 3.010803032111e-05 8.074376879382e-07
2.234692635457e-05 4.900211955016e-05 3.523730057231e-06
9.497785598804e-05 2.282612848868e-05 1.111227984402e-06
4.271034454142e-05 3.037461468921e-05 1.644312009138e-06
9.708268314794e-05 2.399280544047e-05 1.295311540086e-06
7.348876492556e-05 2.881781475636e-05 1.349908032700e-06
1.317817722904e-05 5.262617588172e-05 1.832663726584e-06
9.201295179978e-05 2.663636490002e-05 3.615309214986e-06
-1.554363879948e-06 4.557368450376e-05 1.745844810193e-06
9.844563612005e-05 4.557368450376e-05 1.745844810193e-06
5.899136421807e-05 3.729236511746e-05 9.721170420202e-07
4.534359278695e-05 3.263317003594e-05 1.824767320040e-06
4.088808051338e-05 3.315807988005e-05 1.682484822930e-06
8.790207722614e-05 3.184760564937e-05 3.016584232090e-06
6.787668702170e-05 3.373010306819e-05 2.020711564221e-06
3.705407129182e-05 4.064104450046e-05 1.044242232205e-06
8.428608831270e-05 3.538330744554e-05 1.947155086657e-06
7.225890579097e-05 3.442874790936e-05 2.416853729265e-06
6.507384485430e-05 3.663233211312e-05 2.013996989137e-06
6.241446759294e-05 3.940184088134e-05 1.825596517032e-06
4.998479063665e-05 3.488013049555e-05 3.275724144931e-06
5.503244224451e-05 3.890244776717e-05 3.178563033983e-06
1.823327299773e-05 5.203850485015e-05 1.589173191438e-06
9.258652345137e-05 3.201074484178e-05 1.670701851901e-06
9.545202589629e-06 5.437695512827e-05 2.200168119743e-06
7.586230832044e-05 3.458764135291e-05 1.190051834946e-06
6.944120778010e-05 3.875951279947e-05 2.684655411738e-06
5.952536201109e-05 4.378216767404e-05 3.421708288391e-06
5.503988241520e-05 4.554479213754e-05 1.397666600820e-06
2.632938495939e-05 4.472564027125e-05 1.406095735982e-06
2.981475429653e-05 4.926178451663e-05 3.948610945801e-06
9.116595545089e-05 3.405143804081e-05 8.157498722528e-07
7.479926236990e-05 3.639867176309e-05 7.978038948226e-07
4.126902022251e-06 4.996980299036e-05 2.764331835071e-06
2.520476983094e-05 5.703248098369e-05 5.000000000000e-06
1.899834787750e-05 5.499120819994e-05 1.461039365663e-06
7.880465935873e-05 3.869732306565e-05 3.820313873002e-06
3.529766324412e-05 5.024072526212e-05 1.621004436856e-06
3.136032512492e-05 5.974607722046e-05 1.727143934344e-06
3.380726861231e-05 6.121560668338e-05 1.127159706284e-06
1.966900263371e-05 5.883689834661e-05 8.224256527267e-07
