# 2D packing, generated 2026-08-07T23:52:07.615648+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.325022  (target 0.325000)
# 81 distinct grains; 97 rows including 16 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.264352769143e-03 1.635401110134e-04 1.107914074935e-04
1.483317939810e-03 2.222537397373e-04 1.159100597018e-04
1.703314011505e-03 2.190513786841e-04 1.041107972326e-04
1.289215304254e-03 4.733344426575e-04 2.000000000000e-04
-5.829446939725e-05 2.268779135588e-04 1.344106455233e-04
1.941705530603e-03 2.268779135588e-04 1.344106455233e-04
1.645825271974e-03 4.686846515123e-04 1.513116181018e-04
7.781031638473e-04 3.883671481525e-05 9.804789582383e-05
7.781031638473e-04 2.038836714815e-03 9.804789582383e-05
1.005238570553e-03 4.679422519520e-04 8.106813201687e-05
9.266434395705e-04 2.709453074682e-05 5.016473075113e-05
9.266434395705e-04 2.027094530747e-03 5.016473075113e-05
1.046213712327e-03 6.486592125251e-04 9.964756516955e-05
8.863507994234e-04 6.482188618421e-04 6.021600183031e-05
6.501357317996e-04 1.424191905849e-04 6.658814686694e-05
4.442618635109e-04 1.046491874585e-04 7.846615870525e-05
1.107143236177e-04 2.279067407555e-04 3.460179042752e-05
9.125107090191e-04 8.571812275551e-04 1.480578840805e-04
1.886269945152e-03 5.234607518135e-04 9.529345488696e-05
1.290477566012e-04 3.544006168276e-04 9.221563628644e-05
1.531766628431e-03 8.009653744655e-04 2.000000000000e-04
2.979642673085e-04 3.531599097688e-04 7.670593072263e-05
4.966920491339e-04 3.531649252270e-04 1.220221379356e-04
6.226811509978e-05 5.234607518135e-04 8.070471506067e-05
2.062268115100e-03 5.234607518135e-04 8.070471506067e-05
2.631570252810e-04 5.515054809185e-04 1.221323157408e-04
1.181570548022e-03 6.890338895766e-04 4.106811134437e-05
1.200261691318e-03 9.693137426129e-04 1.606945946153e-04
1.480758374283e-03 1.185368145633e-03 1.877722688282e-04
1.232133011481e-03 1.189734445374e-03 6.089143097858e-05
-1.889179249357e-05 6.767176774804e-04 8.493412699569e-05
1.981108207506e-03 6.767176774804e-04 8.493412699569e-05
1.268756479296e-03 1.307097682935e-03 5.669221474732e-05
1.555439204010e-04 7.533623188506e-04 1.053560413004e-04
1.819573487121e-03 6.857511767017e-04 7.685298620640e-05
-3.495000853036e-05 9.045227285393e-04 1.378268371227e-04
1.965049991470e-03 9.045227285393e-04 1.378268371227e-04
1.622640177789e-04 9.243112763722e-04 6.037747652108e-05
2.787544751636e-04 9.243042796470e-04 5.611298108364e-05
1.830879978761e-03 1.166521038212e-03 1.565299278072e-04
7.741344033012e-04 1.949318492981e-04 5.809778870139e-05
7.012504570655e-04 8.564898207714e-04 6.320353364267e-05
9.958215104439e-04 1.047227086297e-03 5.808903521046e-05
4.221334706394e-04 9.542820953784e-04 9.036638873525e-05
8.766746339046e-04 1.064259880338e-03 6.209877349131e-05
1.153531293019e-03 1.307097682935e-03 5.853297152995e-05
1.694754061535e-03 1.356733191467e-03 7.737667514391e-05
1.263937163959e-04 1.165602307346e-03 1.389857136753e-04
2.126393716396e-03 1.165602307346e-03 1.389857136753e-04
9.002868028349e-04 1.359745882588e-03 2.000000000000e-04
3.255009691201e-04 1.232734106692e-03 7.024599100367e-05
1.143894466822e-03 1.431211983485e-03 5.227724232548e-05
1.825168551784e-03 1.378994806847e-03 5.474016955814e-05
