# 2D packing, generated 2026-08-07T23:55:47.219323+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.325337  (target 0.325000)
# 308 distinct grains; 335 rows including 27 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
1.412494925362e-05 6.617995712577e-07 3.150459304994e-06
1.412494925362e-05 1.006617995713e-04 3.150459304994e-06
9.841209258116e-06 2.846369178772e-06 1.474451219381e-06
4.991265547578e-05 3.532200423576e-07 3.504142651729e-06
4.991265547578e-05 1.003532200424e-04 3.504142651729e-06
5.739295135489e-05 6.860105657241e-07 2.726538131928e-06
5.739295135489e-05 1.006860105657e-04 2.726538131928e-06
3.759140678944e-05 7.639639207458e-07 1.622923003273e-06
3.759140678944e-05 1.007639639207e-04 1.622923003273e-06
2.401932354373e-05 1.651831235286e-06 1.899951625169e-06
2.401932354373e-05 1.016518312353e-04 1.899951625169e-06
2.724056069294e-05 2.856487420728e-06 1.187002450686e-06
1.803698514662e-05 2.262860160436e-06 1.076527790501e-06
1.633041021464e-05 6.708980148426e-06 3.286345437522e-06
2.497331932316e-05 7.165968267673e-06 3.682501786977e-06
5.396474231962e-05 3.973076373111e-06 1.922530057672e-06
6.501123099802e-05 2.923073322426e-07 1.914135662662e-06
6.501123099802e-05 1.002923073322e-04 1.914135662662e-06
6.849914670061e-05 1.441580128167e-06 1.758245568620e-06
6.849914670061e-05 1.014415801282e-04 1.758245568620e-06
6.555697921318e-05 5.672519830587e-06 3.395122290327e-06
3.872449754819e-05 5.150812303637e-06 2.907907931149e-06
9.644428143139e-05 3.125720605301e-06 2.839669591240e-06
7.375766227078e-05 5.669899631474e-06 4.805130915554e-06
2.026123889153e-05 9.812142049900e-06 1.721751288191e-06
3.361513661708e-05 5.176963952829e-06 2.201524864155e-06
3.212715329130e-05 1.222307192498e-05 5.000000000000e-06
1.744566193032e-05 1.131192105897e-05 1.449749600387e-06
6.878410329644e-05 8.773724208005e-06 1.055712185976e-06
5.888778461445e-05 8.138622066052e-06 3.715420363473e-06
9.031721607011e-05 1.645069180410e-07 1.907369856500e-06
9.031721607011e-05 1.001645069180e-04 1.907369856500e-06
1.242712314028e-06 5.463214030758e-06 2.497821809178e-06
1.012427123140e-04 5.463214030758e-06 2.497821809178e-06
2.271009943032e-05 1.164908285925e-05 1.339501716624e-06
9.768379117872e-05 7.344287238675e-06 1.527641649964e-06
