# 2D packing, generated 2026-08-07T23:55:35.351071+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = y
# porosity_achieved = 0.325060  (target 0.325000)
# 276 distinct grains; 286 rows including 10 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
2.926885413994e-05 3.099913647501e-06 2.897486083301e-06
7.095633913304e-05 4.767323533763e-07 1.953282698538e-06
7.095633913304e-05 1.004767323534e-04 1.953282698538e-06
3.407627210902e-05 5.100380441372e-06 2.309541646727e-06
7.334280437007e-05 1.186314674441e-06 5.364454382372e-07
6.722838110228e-05 2.988029878753e-06 2.533276721592e-06
8.697607146135e-05 4.827926830929e-06 4.455279577666e-06
7.171293161498e-05 4.347513817733e-06 1.990785345614e-06
9.432055194701e-05 3.624060785786e-06 2.954471801155e-06
6.223366298851e-05 3.343535474041e-06 2.474077710823e-06
1.879059076059e-05 5.234027834562e-06 3.115386174026e-06
7.421384492216e-05 2.564890279505e-06 9.722543419569e-07
9.168555600040e-05 8.243436580772e-06 1.362390530995e-06
8.086660525283e-05 3.230859448525e-06 7.978833223252e-07
7.937092820144e-05 2.832332724721e-06 7.499775860321e-07
5.119757118355e-06 5.281364514744e-06 4.887157506872e-06
2.450089420514e-05 5.904452285335e-06 2.634139873582e-06
1.306835389311e-05 1.019217595123e-05 4.456092243794e-06
9.726974924997e-05 1.129245155987e-05 5.000000000000e-06
2.124846597431e-05 1.106863210479e-05 3.215788713529e-06
6.884700518271e-05 7.968514140954e-06 2.627161592350e-06
6.486249186277e-05 8.959363562551e-06 1.478710047744e-06
5.566919487341e-05 5.303844685480e-06 4.376839561083e-06
6.667744003692e-05 1.163993114070e-05 1.637394036647e-06
4.944599395087e-05 8.167691106067e-06 2.468474243390e-06
5.262777183662e-05 9.956190203686e-06 1.181449680610e-06
4.486232947278e-05 9.061602791288e-06 2.201378192943e-06
7.666146078994e-05 5.984209688730e-06 3.221411963812e-06
4.109751621599e-06 1.205794951324e-05 1.882711283275e-06
1.767914244395e-05 1.480781398583e-05 1.953501081243e-06
8.962725524746e-05 1.101186098786e-05 2.087361156800e-06
3.862072391050e-05 6.576057320194e-06 2.468498309034e-06
4.807391445749e-05 1.517048756106e-05 4.667474396537e-06
5.461553909958e-05 1.036798883466e-05 7.957571823898e-07
5.705466603332e-05 1.114605150983e-05 1.627402888047e-06
9.163917922977e-05 1.307800059482e-05 7.059417777586e-07
7.381411383475e-05 1.236007806101e-05 3.761366744842e-06
8.119269732833e-05 5.360451347064e-06 1.352583500281e-06
5.423276976888e-05 1.833000511536e-05 2.254523589265e-06
2.943779802423e-05 1.172742966690e-05 5.000000000000e-06
3.753759632573e-05 1.323159039101e-05 3.238278985374e-06
6.148729222844e-05 1.832792536732e-05 5.000000000000e-06
4.057743706821e-05 2.022441920254e-05 4.373510292754e-06
6.856827585226e-05 1.475197324193e-05 2.004050487185e-06
1.278459251384e-05 1.932604106982e-05 4.682182905011e-06
3.499497424349e-05 2.307370768967e-05 1.894052131593e-06
3.032290904521e-05 2.363184201666e-05 2.811232982673e-06
9.221236130215e-05 1.519765764226e-05 1.385410234212e-06
2.214730109586e-05 2.179268617452e-05 5.000000000000e-06
3.381970659371e-05 2.643935396872e-05 1.670892377471e-06
5.132277865522e-05 2.006175377620e-05 1.131772800194e-06
5.478095315372e-06 2.272448446162e-05 3.376002267085e-06
6.902520607070e-05 1.933869362854e-05 2.605380490658e-06
2.527441510603e-06 1.644940829858e-05 2.364621944656e-06
5.335822096661e-05 2.242364971082e-05 1.931496272919e-06
2.995068356588e-07 2.512689953858e-05 2.332709309117e-06
1.606239700200e-05 2.484712228888e-05 1.738592468890e-06
9.454534779911e-05 1.759631234837e-05 1.867391233898e-06
3.724707212040e-06 2.759486559796e-05 1.800385046137e-06
4.763931466805e-05 2.326361339583e-05 3.313980091499e-06
2.666835397112e-05 3.071233148163e-05 5.000000000000e-06
3.880091570132e-05 2.777807378388e-05 3.386240145074e-06
7.387728234879e-05 2.039308684143e-05 2.359941053236e-06
3.510025249291e-05 3.392896919926e-05 3.792089967507e-06
5.217729748371e-05 2.670968896588e-05 2.384153363386e-06
4.831205855929e-05 2.859225736313e-05 1.915164688719e-06
4.417526342712e-05 3.175190342340e-05 3.290259135684e-06
5.941826888363e-05 2.815677364878e-05 5.000000000000e-06
9.877947192068e-05 3.230033069727e-05 5.000000000000e-06
7.805884559985e-05 2.037669146335e-05 1.821656873018e-06
5.251880568851e-05 3.256111682766e-05 3.185403546441e-06
8.447681448128e-05 1.152225332373e-05 2.667499736362e-06
5.843462311641e-05 3.814388350426e-05 4.948733138272e-06
6.785998240761e-05 2.555827085580e-05 3.722411153035e-06
6.564037622024e-05 3.013566807150e-05 1.364753239430e-06
8.094111224739e-05 2.133822640767e-05 1.216767559316e-06
7.480464244133e-06 3.247946855597e-05 3.694780433046e-06
8.789757209805e-05 1.605923446701e-05 3.014558207601e-06
6.590851506384e-05 3.814388350426e-05 2.525158809153e-06
4.037897130828e-05 3.611897849625e-05 1.922756816044e-06
1.371825567518e-05 3.547671122239e-05 3.225732956661e-06
8.521220697483e-05 2.150532144135e-05 3.057595889250e-06
8.262550415759e-06 4.002238633868e-05 3.875526239316e-06
8.976216928480e-05 2.142811321349e-05 1.461832305890e-06
3.016515484847e-05 3.638899767846e-05 1.667245167466e-06
7.014197983335e-05 4.035923698276e-05 2.252917685569e-06
4.812434316723e-05 3.532787204927e-05 2.007498850804e-06
7.440126869535e-05 4.044153202606e-05 2.007166126292e-06
8.109065842236e-05 2.459089439208e-05 2.039336855675e-06
4.449443351743e-05 4.018554847521e-05 3.862916920757e-06
2.765557412038e-05 3.648087793629e-05 8.317510028391e-07
1.958310331120e-05 3.069157368909e-05 2.071159863299e-06
1.981631723338e-05 3.574121712731e-05 2.878062438120e-06
9.202298256457e-05 2.215067786349e-05 9.116411739286e-07
1.414097302718e-05 4.075755851624e-05 2.048615445895e-06
3.943946693231e-05 4.018554847521e-05 1.192049664361e-06
7.267395363915e-05 4.533987184092e-05 3.186806365479e-06
6.386185766080e-05 4.178548974427e-05 1.587027782009e-06
3.675835885255e-05 3.912544261494e-05 1.662509268164e-06
5.161309884945e-05 4.100498611801e-05 2.448502932798e-06
