# 2D packing, generated 2026-08-07T23:51:58.626453+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = y
# porosity_achieved = 0.324995  (target 0.325000)
# 92 distinct grains; 100 rows including 8 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
5.328346045600e-04 6.634124941703e-05 8.860969502157e-05
5.328346045600e-04 2.066341249417e-03 8.860969502157e-05
1.990576168641e-03 1.325173378171e-04 1.685448848391e-04
1.990576168641e-03 2.132517337817e-03 1.685448848391e-04
7.003610981323e-04 9.349955697557e-05 8.086524602314e-05
1.702791883725e-03 2.076422155263e-05 9.819857310319e-05
1.702791883725e-03 2.020764221553e-03 9.819857310319e-05
2.458573139978e-04 6.650746201275e-05 8.300310513657e-05
2.458573139978e-04 2.066507462013e-03 8.300310513657e-05
1.671726625343e-03 3.173400096614e-04 2.000000000000e-04
1.931705639393e-04 1.762274796727e-04 3.871134078165e-05
3.864665720008e-04 1.047428579429e-04 6.271225324482e-05
9.547509315873e-04 8.234111037592e-05 5.502537125741e-05
1.380401017893e-03 2.904385352739e-04 9.256505547253e-05
1.467374578757e-03 4.915202224589e-04 6.851305813653e-05
1.598905432063e-03 6.504580513381e-04 1.377931521371e-04
1.796491557535e-03 6.271442448153e-04 5.861877702430e-05
1.619402429376e-04 2.965589405896e-04 6.867946022713e-05
1.765939031454e-03 7.398081979773e-04 5.163896264394e-05
1.088830765560e-03 1.302855299170e-04 8.736881914742e-05
1.993817169884e-03 3.764755786419e-04 7.543115983109e-05
1.299575354682e-03 4.664816003563e-04 1.011460847572e-04
6.031846811104e-04 1.866155734910e-04 5.072828590421e-05
1.128556171353e-03 4.679114767182e-04 6.988111056151e-05
1.946030436679e-03 7.540314185543e-04 1.290151639209e-04
8.493943509472e-04 1.963625133786e-04 1.002196466966e-04
6.924603736401e-04 2.766313959863e-04 7.605119742410e-05
2.035655814490e-04 7.504213540224e-04 1.285466790650e-04
1.730842881771e-03 9.262909530377e-04 1.381184598125e-04
1.910963834975e-03 9.214810650480e-04 4.206689330935e-05
4.890304774357e-04 2.277644597727e-04 7.061595493038e-05
3.214195316388e-04 2.508505842826e-04 9.722098762016e-05
7.066566723439e-05 8.805037472388e-04 4.854973060647e-05
4.631978781944e-04 4.206296053656e-04 1.239716232548e-04
6.744955236279e-04 4.399003894479e-04 8.820342440428e-05
4.228434027761e-04 6.526564734845e-04 1.115387823189e-04
1.508271249899e-05 1.018612752680e-03 1.003248077219e-04
8.259395432772e-04 3.725637557948e-04 7.753629533209e-05
1.203793128219e-03 5.541916144967e-04 2.863824460384e-05
1.371500559690e-03 6.573752444029e-04 8.971789414631e-05
9.571334042373e-04 4.983653736968e-04 1.042276024047e-04
1.152271995168e-03 7.103801551621e-04 1.358284352897e-04
7.704200754073e-04 6.284170950702e-04 1.233155856380e-04
4.061020838066e-04 8.704249075319e-04 1.068723335114e-04
5.867224095575e-04 5.352419177176e-04 4.138882306622e-05
