# periodic 2D packing, generated 2026-08-03T18:13:51.486892+00:00
# porosity_achieved = 0.286163  (target 0.287500)
# 93 distinct grains; 111 rows including 18 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.870241397911e-03 4.616400571783e-04 1.048952551256e-04
1.307107542477e-03 6.548872583824e-04 1.330838336360e-04
6.606986650016e-04 2.806026602741e-04 1.041038255849e-04
7.113682584456e-04 1.014153720023e-03 4.599770804715e-05
7.979716239651e-04 6.707965694306e-04 1.387741954887e-04
5.360510797333e-04 6.287865577076e-04 1.103169374142e-04
1.117585946661e-03 5.530827281378e-04 6.747070936095e-05
1.432211741631e-03 6.718118981985e-05 1.180052645247e-04
1.432211741631e-03 2.067181189820e-03 1.180052645247e-04
8.633857196759e-05 1.128220186137e-03 1.058958839031e-04
2.086338571968e-03 1.128220186137e-03 1.058958839031e-04
1.461720939566e-03 3.240729621031e-04 1.022311508655e-04
7.636462467397e-04 1.491866923592e-03 8.951277089325e-05
1.477611935286e-03 1.678387438561e-03 1.159926328638e-04
8.279536987543e-05 1.794258124688e-03 6.106526086194e-05
1.055312523830e-03 1.277960236159e-03 8.134628876152e-05
6.664625012089e-04 1.890903777688e-03 6.934614306049e-05
3.423986856128e-04 5.058623595192e-04 1.190559192384e-04
1.639563971514e-03 1.858861045130e-03 9.001994345523e-05
1.294672683380e-03 1.066083246004e-03 7.624423533805e-05
1.139140282175e-03 7.696017193999e-04 5.969307128644e-05
1.687753377490e-03 1.529169787585e-03 7.760051514849e-05
6.890028337088e-04 4.712252108543e-04 8.860969502157e-05
1.910352715251e-03 1.078829853687e-03 7.688945441313e-05
9.314311632618e-04 2.483391667008e-04 1.685448848391e-04
9.503109012805e-04 1.635454630324e-03 1.459891558049e-04
3.135676702570e-04 1.913795039522e-03 2.275054148165e-05
5.428449990538e-04 1.916293730753e-03 3.431777916921e-05
3.452031827316e-04 1.246307501398e-05 8.086524602314e-05
3.452031827316e-04 2.012463075014e-03 8.086524602314e-05
5.307677152676e-04 4.470915775897e-04 7.145550727986e-05
1.737114964076e-03 1.697895475597e-03 9.819857310319e-05
1.024655734195e-03 -4.001376755137e-05 9.837937235061e-05
1.024655734195e-03 1.959986232449e-03 9.837937235061e-05
8.870284930226e-05 7.016299912553e-04 2.000000000000e-04
2.088702849302e-03 7.016299912553e-04 2.000000000000e-04
1.682059639782e-03 7.270007125269e-04 5.061053745150e-05
3.558674786119e-05 1.759806647902e-04 7.306633173121e-05
2.035586747861e-03 1.759806647902e-04 7.306633173121e-05
1.741887100218e-03 1.394868307956e-04 2.000000000000e-04
1.741887100218e-03 2.139486830796e-03 2.000000000000e-04
4.733552799859e-04 1.297479140960e-03 1.219390932099e-04
5.322536136472e-04 9.338484132564e-05 1.229406688812e-04
5.322536136472e-04 2.093384841326e-03 1.229406688812e-04
1.476579527700e-03 1.311566161733e-03 6.824928788863e-05
1.118562997567e-03 1.592515838886e-04 3.871134078165e-05
5.171511064587e-04 1.084030503379e-03 9.595722872750e-05
9.633402825044e-04 5.081249395275e-04 9.319343039648e-05
-4.505706562338e-05 2.659754176398e-04 4.777460197569e-05
1.954942934377e-03 2.659754176398e-04 4.777460197569e-05
1.188855167206e-04 1.293657150036e-03 6.271225324482e-05
-7.962719414481e-05 1.641826336239e-03 8.512734792074e-05
1.920372805855e-03 1.641826336239e-03 8.512734792074e-05
3.589114357726e-04 7.037431136854e-04 5.502537125741e-05
6.789306735546e-04 1.310125560304e-03 8.401834787391e-05
8.405295556540e-04 1.899858103323e-03 9.256505547253e-05
7.849199363741e-04 1.128348283193e-03 8.983398039033e-05
7.230853163173e-04 1.088004509635e-04 6.851305813653e-05
3.014634626323e-04 1.525279753308e-03 1.187528237858e-04
1.269621066228e-04 3.660116417013e-04 1.377931521371e-04
2.126962106623e-03 3.660116417013e-04 1.377931521371e-04
4.354166140707e-04 3.002769689283e-04 1.036059062434e-04
2.529726688253e-04 2.153500900781e-04 5.861877702430e-05
-9.953572389081e-05 1.853248275038e-03 1.272299816440e-04
1.900464276109e-03 1.853248275038e-03 1.272299816440e-04
5.214753575916e-04 1.731083285149e-03 6.867946022713e-05
1.212835468324e-03 3.721880979558e-04 1.369684346316e-04
1.652197704758e-03 1.265002567590e-03 5.163896264394e-05
3.339909369412e-04 9.362164466462e-04 1.394078469390e-04
1.244307896945e-03 1.500695585940e-04 8.736881914742e-05
1.086322941744e-03 1.773886491130e-03 4.726621363632e-05
1.619188609744e-03 9.266814122337e-04 7.543115983109e-05
1.733476662372e-03 1.094177421025e-03 9.066952704075e-05
2.886009403376e-04 1.172448727666e-03 1.011460847572e-04
5.831325175495e-05 1.659998632895e-03 5.400497238440e-05
1.457366840992e-03 1.843874600939e-03 5.072828590421e-05
1.213675407365e-03 1.361092076145e-03 9.751073284546e-05
1.856851820341e-03 1.230384600664e-03 6.988111056151e-05
1.468814791308e-03 8.377386158939e-04 9.927790034520e-05
1.820770116380e-03 8.925811579875e-04 1.290151639209e-04
-2.622783979397e-05 8.286775982128e-05 3.869755821450e-05
1.973772160206e-03 8.286775982128e-05 3.869755821450e-05
1.368897994917e-03 1.483579149417e-03 1.002196466966e-04
1.057820591499e-03 1.033832098827e-03 1.627953140628e-04
1.531737717767e-03 4.889339879946e-04 7.605119742410e-05
1.351704295477e-04 1.462953152460e-03 5.883652846216e-05
