# periodic 2D packing, generated 2026-07-28T01:51:41.882934+00:00
# porosity_achieved = 0.325394  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
2.942426520834e-04 6.333230783277e-04 2.659429654361e-05
7.023493752379e-04 7.315661310943e-04 2.048070025973e-05
6.206530023054e-04 6.651652368481e-06 3.507475632550e-05
8.741116409113e-04 1.192012914416e-03 4.900317582684e-05
3.150191915000e-04 9.871607508318e-04 7.008338560362e-05
1.453110749779e-03 1.603204354729e-03 4.195156294005e-05
1.733081602150e-03 8.203908960729e-04 3.012450106458e-05
1.974071577745e-03 2.956161422624e-04 2.682333753409e-05
1.757684777215e-03 1.931657485290e-03 5.774491970971e-05
3.307353227679e-04 3.177062997879e-04 8.993201637220e-05
6.917459088556e-04 1.781211949316e-03 4.551522465055e-05
1.007433516756e-03 1.933523580983e-03 2.143442249969e-05
8.465253532191e-04 9.260296919503e-04 2.459467330199e-05
4.326986344789e-04 1.637345829248e-04 8.838232747970e-05
1.416033857930e-03 9.152031121093e-04 4.395224528237e-05
1.715410905840e-03 1.043693265624e-03 1.670311232041e-05
4.350669410008e-04 1.573561038197e-03 3.808476728373e-05
2.630207890425e-04 1.993350244546e-03 2.219905017489e-05
1.010936021707e-03 4.959778087497e-04 2.899195688542e-05
3.316400757700e-04 5.533779868889e-05 3.111405287726e-05
1.913677319920e-03 1.964363972263e-03 2.779915998725e-05
1.658659087690e-03 1.990384202615e-03 5.237093306656e-05
1.664136532205e-03 1.895692409450e-03 3.847926419287e-05
7.910298911898e-04 1.703290444399e-03 2.957551611456e-05
1.617442766594e-03 1.739440047243e-03 4.873909124395e-05
7.806754132245e-04 8.155988723686e-04 6.013488625706e-05
9.326248784360e-04 3.963181953485e-04 1.746416040443e-05
1.812867769543e-04 1.180640113424e-03 3.492830131747e-05
7.483838669733e-05 8.650153069426e-04 2.431975083437e-05
1.361904983405e-03 1.410679593012e-03 3.641879098678e-05
4.147836555570e-04 3.971941411079e-04 2.084164433062e-05
1.943592254876e-03 9.547518316642e-04 4.012532522804e-05
1.101479669924e-03 1.856842480123e-03 3.896717477343e-05
1.155076783940e-03 1.178362510753e-03 3.410669209963e-05
1.780905428687e-03 1.849619368240e-03 2.351642791679e-05
5.187193451482e-04 1.538808714260e-03 3.257572322264e-05
2.741979408876e-05 2.883938057903e-04 2.301159084847e-05
4.635935004359e-04 1.297316460494e-03 2.016721198674e-05
9.590637742749e-04 3.210909586323e-04 4.443624014527e-05
3.141182981141e-04 1.601420215531e-04 2.280517584230e-05
5.321224839533e-04 1.225169510877e-03 7.129388364492e-05
1.450815808196e-03 1.981699731476e-03 5.682386055474e-05
7.590635551747e-04 8.830674324984e-05 1.462531810346e-05
6.729760249875e-04 7.950855797105e-04 4.550066423749e-05
4.434257428892e-04 4.370952677336e-04 2.289238164562e-05
1.092661089265e-03 1.226203867139e-03 4.037420535945e-05
1.331579924240e-05 6.373001551712e-04 4.058824473169e-05
3.368260308780e-04 4.801489038829e-04 1.469412267273e-05
1.731201330083e-03 1.116346447011e-03 3.533772986651e-05
1.510144869582e-03 1.041053646401e-03 3.494472313681e-05
