# 2D packing, generated 2026-09-16T20:07:40.719364+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.325066  (target 0.325000)
# 308 distinct grains; 337 rows including 29 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
2.819699353449e-04 2.661151807331e-05 6.300918609988e-05
2.819699353449e-04 2.026611518073e-03 6.300918609988e-05
1.792207336668e-04 7.172567100762e-06 3.257103870430e-05
1.792207336668e-04 2.007172567101e-03 3.257103870430e-05
1.931955904785e-04 8.417192829554e-05 4.279291939043e-05
2.634853287855e-04 1.172439466138e-04 2.948902438762e-05
9.966797751419e-04 2.151078003281e-05 7.008285303458e-05
9.966797751419e-04 2.021510780033e-03 7.008285303458e-05
1.153196764997e-03 2.779056161378e-05 5.453076263857e-05
1.153196764997e-03 2.027790561614e-03 5.453076263857e-05
7.739144408252e-04 2.202257717149e-05 3.245846006546e-05
7.739144408252e-04 2.022022577171e-03 3.245846006546e-05
4.938757997152e-04 2.359368466652e-05 3.799903250338e-05
4.938757997152e-04 2.023593684667e-03 3.799903250338e-05
5.479740108151e-04 5.334425723623e-05 2.374004901372e-05
3.645118541944e-04 4.488169057567e-05 2.153055581001e-05
3.538211888863e-04 1.482876121023e-04 6.572690875044e-05
4.964252792571e-04 1.360326229787e-04 7.365003573955e-05
8.065292527533e-05 8.073818877969e-05 6.980211726383e-05
1.082409038351e-03 8.807788676449e-05 3.845060115343e-05
1.313059034792e-03 1.165322221136e-05 3.828271325325e-05
1.313059034792e-03 2.011653222211e-03 3.828271325325e-05
1.380683373513e-03 4.031420349796e-05 3.516491137241e-05
1.310784318780e-03 1.181575652504e-04 6.790244580654e-05
7.704450360559e-04 1.125727278459e-04 5.815815862297e-05
1.511375645857e-03 5.258714827434e-05 9.610261831108e-05
1.511375645857e-03 2.052587148274e-03 9.610261831108e-05
4.272170196405e-04 2.190542907576e-04 3.443502576383e-05
6.115417961860e-04 7.683853705580e-05 4.403049728310e-05
5.275172381770e-04 3.085676545444e-04 1.000000000000e-04
3.679201128707e-04 2.419543555374e-04 2.899499200773e-05
1.398094341535e-03 1.008102040486e-04 2.111424371952e-05
1.175958398484e-03 1.633891686834e-04 7.430840726945e-05
1.807906304957e-03 1.838826906958e-05 3.814739713001e-05
1.807906304957e-03 2.018388269070e-03 3.814739713001e-05
4.025823936445e-04 2.856635703019e-04 2.679003433247e-05
-7.738569047015e-06 3.029170800938e-05 3.055283299928e-05
-7.738569047015e-06 2.030291708009e-03 3.055283299928e-05
1.992261430953e-03 3.029170800938e-05 3.055283299928e-05
1.992261430953e-03 2.030291708009e-03 3.055283299928e-05
6.639305981513e-04 3.224136110980e-04 3.711424189594e-05
6.782858686329e-04 1.175184810927e-04 3.413364115644e-05
1.571775160452e-04 1.336537924668e-04 1.840966741575e-05
1.426917074268e-03 1.861907163182e-04 6.195813120793e-05
6.299548428744e-04 3.761181028381e-04 2.270501971333e-05
8.801250668234e-04 1.394709863361e-04 5.477202059897e-05
1.548304169549e-03 2.299965425492e-04 6.709142474799e-05
