# 2D packing, generated 2026-09-21T18:09:35.553890+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.324866  (target 0.325000)
# 724 distinct grains; 758 rows including 34 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
3.200000000000e-03 3.200000000000e-03
1.014071172240e-03 1.051867608309e-05 4.619083293454e-05
1.014071172240e-03 3.210518676083e-03 4.619083293454e-05
2.799360638290e-03 3.716680561351e-05 1.595766644650e-05
6.300072555259e-04 3.356244021820e-05 5.268279747165e-05
6.300072555259e-04 3.233562440218e-03 5.268279747165e-05
4.472577320345e-04 9.721646510901e-05 8.912184487587e-05
-2.074363613191e-05 6.631207063680e-05 1.000000000000e-04
-2.074363613191e-05 3.266312070637e-03 1.000000000000e-04
3.179256363868e-03 6.631207063680e-05 1.000000000000e-04
3.179256363868e-03 3.266312070637e-03 1.000000000000e-04
7.172921320936e-04 1.114727483442e-04 6.431577427057e-05
2.236530840523e-03 4.706874522574e-05 5.254323184700e-05
2.236530840523e-03 3.247068745226e-03 5.254323184700e-05
1.792166389856e-03 4.883562690190e-05 8.753679122166e-05
1.792166389856e-03 3.248835626902e-03 8.753679122166e-05
2.149663679600e-03 3.581181059431e-05 3.274788073294e-05
1.654227911912e-03 5.523409778739e-05 4.936948486781e-05
1.561207351193e-03 4.685650896581e-05 4.402756385886e-05
2.580454700070e-03 7.565054867406e-05 6.442823927624e-05
6.151862957447e-04 1.276906698024e-04 3.907002162486e-05
2.951380941762e-03 1.382502972314e-05 4.174722313600e-05
2.951380941762e-03 3.213825029723e-03 4.174722313600e-05
1.424468823511e-03 6.008637690590e-05 9.334948793074e-05
1.424468823511e-03 3.260086376906e-03 9.334948793074e-05
1.701953322005e-03 9.978034288029e-05 1.591514364780e-05
1.912212638060e-03 6.005731183315e-05 3.254805776095e-05
3.011581553360e-03 3.328436423278e-05 1.411883555517e-05
2.365892254100e-03 8.209315129875e-05 7.522733489684e-05
2.670497671390e-03 9.180092941710e-05 2.705167000561e-05
1.541680690166e-03 1.338184955099e-04 4.509047178530e-05
8.816079063642e-04 1.114727484514e-04 1.000000000000e-04
1.046322538717e-03 1.166844656138e-04 6.476557970749e-05
1.891030768159e-03 2.081961950467e-04 1.000000000000e-04
1.248621891305e-03 1.045927137787e-04 8.747020585508e-05
2.263970283720e-03 1.360182321131e-04 4.008100974369e-05
5.538773038665e-04 2.456600433838e-04 9.364365810022e-05
1.355105101664e-03 1.714871230579e-04 3.788104263186e-05
1.137015103924e-03 1.967687751681e-04 5.622465965346e-05
2.987248994809e-03 7.330222085644e-05 2.770820468423e-05
3.621439090726e-04 2.727925066244e-04 1.000000000000e-04
1.048738376966e-03 2.148381670899e-04 3.341784754942e-05
1.728557025147e-03 1.392089827202e-04 2.263545600388e-05
4.793104677904e-04 3.925648400933e-04 6.752004534170e-05
2.070886839318e-03 6.735010019466e-05 5.210760981316e-05
1.363072536777e-04 6.689187226286e-05 4.729243889312e-05
1.667427740242e-03 1.432903419001e-04 3.862992545839e-05
2.186126827017e-04 1.121885025597e-04 4.665418618234e-05
6.817843768803e-04 2.570759367984e-04 3.477184937781e-05
3.046272895732e-03 1.006602115981e-04 3.734782467797e-05
9.152768804092e-05 1.430794821614e-04 3.600770092274e-05
1.295489654030e-03 2.569004607641e-04 6.627960182998e-05
8.095248439964e-04 3.000389902016e-04 1.000000000000e-04
1.424223761707e-03 2.941121525822e-04 6.772480290148e-05
2.178366359850e-03 1.530394431494e-04 4.719882106471e-05
1.171191152528e-03 3.258089159617e-04 7.584179935015e-05
1.604341916917e-03 2.022326768654e-04 4.768306726772e-05
1.688116817583e-03 2.216084427519e-04 3.830329377439e-05
1.326230679324e-03 3.853581568037e-04 6.580518271369e-05
1.754648424394e-03 3.544830144876e-04 1.000000000000e-04
-5.329443354305e-06 2.657170345157e-04 1.000000000000e-04
3.194670556646e-03 2.657170345157e-04 1.000000000000e-04
2.477417378215e-03 8.758883711604e-05 3.643313746036e-05
1.917886122280e-03 3.696863438355e-04 6.370807092881e-05
2.832387349710e-03 9.809945884746e-05 5.334999472724e-05
1.562385094022e-03 4.057247627108e-04 9.897466276545e-05
2.065153426789e-03 1.975457186202e-04 7.444822306070e-05
2.160912870316e-03 2.319233809259e-04 2.729506478860e-05
2.514897661643e-03 1.354940862662e-04 2.433535118631e-05
1.639902478995e-04 2.260873829701e-04 7.389560866091e-05
2.732364245016e-03 1.534555569226e-04 6.029116415201e-05
2.026650781468e-03 3.186369511550e-04 5.050317618306e-05
1.056933764086e-03 3.288153574248e-04 3.845513632087e-05
2.186456377856e-04 3.532494398956e-04 6.451465913321e-05
2.838266945455e-03 2.128948554904e-04 6.115191778499e-05
3.467719556926e-04 4.514495694059e-04 7.751052478633e-05
2.929428665310e-03 2.198476855688e-04 2.923664611780e-05
9.810542436271e-04 2.003056773361e-04 3.334490334932e-05
2.127716834274e-03 2.993672911190e-04 4.505835371138e-05
1.427690908975e-03 4.405548676965e-04 4.014997701608e-05
2.319137116816e-03 1.942639224616e-04 4.014332252584e-05
2.631465801593e-03 1.677329120823e-04 4.078673711350e-05
1.351653084770e-03 5.300141258497e-04 7.725833841513e-05
9.261598604713e-04 3.000156518212e-04 1.663502005678e-05
