# periodic 2D packing, generated 2026-07-28T02:11:57.220542+00:00
# porosity_achieved = 0.330123  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
2.166184390168e-04 6.626243095294e-04 4.720286480651e-05
8.845587288859e-05 5.991105545422e-04 5.988772513620e-05
2.429066300954e-04 2.587151401949e-04 4.684672151319e-05
7.257417025395e-04 9.434248270708e-04 2.069896862122e-05
7.169852673072e-04 2.122012438172e-04 6.244838796994e-05
1.223098371722e-04 4.907452828278e-04 4.964262183641e-05
3.809345302305e-04 2.263841308362e-04 3.036181921243e-05
3.854151838317e-04 7.066119981086e-04 5.310236903610e-05
6.142431295395e-04 3.264794279757e-04 4.765314775638e-05
4.509240298589e-04 1.843877037772e-04 4.600401788948e-05
6.183211545616e-04 2.606611145986e-05 4.028074690196e-05
8.800516576736e-04 2.287413307756e-04 5.219668478869e-05
8.005997693691e-04 2.549912691026e-04 2.747936738788e-05
3.425152157460e-04 5.279223284937e-04 3.660582994268e-05
4.464186714750e-04 4.345946296605e-04 3.120576437722e-05
4.140949088807e-04 9.629063269813e-04 5.357516365730e-05
5.532332560749e-05 8.825240081254e-04 4.050897455485e-05
2.510157688458e-04 7.409138738396e-04 3.430990590212e-05
3.098187757205e-04 6.649666937971e-04 2.686188207890e-05
3.183731087728e-04 7.696478140328e-04 3.492023181682e-05
3.512218532352e-04 8.884524351158e-04 3.987436275971e-05
5.719174182320e-04 9.622765700764e-04 3.460025448591e-05
1.202704791683e-05 2.329291442933e-04 7.584519817762e-05
8.205265822405e-04 3.501005596654e-04 6.569512011221e-05
7.766599693708e-04 7.977190222207e-05 1.023774366674e-05
7.615655496680e-04 5.963734735169e-04 1.544300062615e-05
5.212592448642e-04 2.569750577275e-04 3.638936071041e-05
9.142398931287e-04 3.102101135734e-04 3.215497827594e-05
7.100077906640e-04 3.226185816470e-04 4.418935789643e-05
5.259331478754e-04 9.696188903357e-05 4.427071755777e-05
5.001638966169e-05 7.481199660397e-04 9.000000000000e-05
5.281082719728e-04 6.578414775197e-04 2.277474185317e-05
1.841956335055e-04 5.850442623396e-04 3.287984927904e-05
1.112876395108e-04 4.837584004606e-06 9.000000000000e-05
5.506508243159e-04 4.735522558629e-04 5.487259194445e-05
8.160966691069e-04 7.199614902554e-04 5.532330099652e-05
3.137622094872e-04 2.183253227334e-04 3.071217954988e-05
7.554283045278e-04 4.079907164510e-04 1.742010335174e-05
5.041608899071e-04 8.071202347557e-06 4.318075292737e-05
1.561444744034e-04 1.333600801485e-04 4.193704367841e-05
9.699328449683e-04 3.251170736205e-04 2.149857088906e-05
4.110680576680e-04 3.525935650992e-04 2.822051396017e-05
2.708009007286e-04 4.949930376154e-04 3.830730656434e-05
8.631363529229e-04 8.354211132979e-04 2.476141706584e-05
1.244603325155e-04 3.166584421740e-04 3.780825654326e-05
7.083273064405e-04 9.517297706875e-06 4.165427496264e-05
1.812232642938e-04 7.773588512329e-04 4.042529117565e-05
4.528097822563e-04 6.679798024025e-05 3.083087616144e-05
2.534908579270e-04 1.533409145704e-04 5.343877070362e-05
7.706198498482e-04 8.692368312761e-04 6.200691846170e-05
3.993430606812e-04 8.108163811584e-04 4.662265780951e-05
9.873378052492e-04 3.739871645700e-04 2.637844966093e-05
6.269924731824e-04 1.273289474886e-04 5.725349173982e-05
6.967783494655e-04 4.005993883878e-04 3.090575710221e-05
5.053563479503e-04 3.577531034601e-04 6.163579558422e-05
3.153499554526e-04 8.317319885164e-04 2.323753318977e-05
3.489719296359e-04 4.247848848717e-04 6.273353112253e-05
9.129781738433e-04 1.390835935058e-04 3.931596861634e-05
2.060157212742e-04 9.168192588773e-04 2.126979613634e-05
9.539979903751e-04 5.745665265752e-04 3.394402192399e-05
7.236572355758e-04 9.460284036974e-05 4.080128716834e-05
3.564024051502e-04 1.503670691184e-04 4.551573814073e-05
6.445677050662e-04 4.770888336996e-04 2.430223757298e-05
4.214214992654e-04 1.177940036470e-04 2.282772865689e-05
3.741555103696e-04 6.062595258846e-04 4.387982978046e-05
5.801909929292e-04 6.233542151279e-04 3.144649975268e-05
9.881078815280e-04 9.411402129849e-04 4.467505515534e-05
4.966000803000e-04 7.366045677877e-04 5.805682376438e-05
9.488499901767e-04 7.949055159465e-04 1.741390119653e-05
2.436762592127e-04 8.415008123321e-04 4.509884101347e-05
6.838865354644e-04 6.639185292981e-04 7.325789132825e-05
4.553525023700e-04 6.478829474043e-04 3.422303884084e-05
1.870417386929e-04 2.052550210077e-04 2.647643780797e-05
8.838031845003e-04 9.195263865502e-04 5.784600557924e-05
1.818951992223e-05 1.081586280046e-04 4.507761346950e-05
2.651986196785e-04 3.119980497331e-05 6.215330691560e-05
9.829044549372e-04 6.398103475925e-04 3.341666189564e-05
2.214014543294e-04 9.582548054935e-04 1.893010198921e-05
9.208536772731e-04 3.880993255108e-04 3.758695720659e-05
5.992985549863e-04 7.327190975862e-04 3.177717971867e-05
8.122758692226e-04 1.633088464944e-05 5.851741491516e-05
6.083933368880e-04 2.312563701445e-04 4.374944442907e-05
3.626968570578e-04 2.771333348720e-04 1.757079016445e-05
7.607887845835e-04 5.503182517007e-04 2.184737877291e-05
6.890870067468e-06 4.900269560656e-04 6.177859888092e-05
4.388718742981e-04 5.252740591197e-04 5.578723046468e-05
2.679971429792e-04 3.740290683896e-04 2.883358365234e-05
5.112132496245e-04 5.935583398214e-04 3.969154098193e-05
1.478643698785e-04 8.652922256377e-04 4.962274348599e-05
2.058730144211e-04 4.291100105666e-04 5.019245204352e-05
6.415938638995e-04 8.203711653399e-04 6.154592153651e-05
3.734065527322e-04 5.724503315039e-05 4.514616347485e-05
8.196467514987e-04 4.576653938074e-04 3.787337354821e-05
6.066754534234e-04 5.581827888842e-04 3.489133289944e-05
8.500678163822e-04 5.913031074407e-04 6.732515157159e-05
7.581325197158e-04 2.800320954472e-04 1.288721007173e-05
6.261524075128e-04 4.143819498588e-04 3.705246299849e-05
2.753930709009e-04 9.251623948454e-04 4.037305236584e-05
7.793367617858e-04 6.482353041845e-04 1.947220393308e-05
2.754064860993e-04 5.840838006322e-04 4.690242108209e-05
8.371556117146e-05 1.512763778348e-04 2.867489449148e-05
9.342091102159e-04 3.680457834026e-05 6.112279588038e-05
5.394575824746e-04 1.814521621130e-04 3.729526771738e-05
8.141716761659e-04 1.385517780427e-04 5.549201353708e-05
5.072174650285e-04 8.712891484355e-04 7.304562839214e-05
6.536482618579e-04 9.333684000875e-04 4.809255008013e-05
4.275558405106e-05 3.658678096275e-04 2.563098363889e-05
2.020109744147e-04 8.772119565180e-05 1.862497037980e-05
