# periodic 2D packing, generated 2026-08-01T18:03:30.936348+00:00
# porosity_achieved = 0.327205  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.973234901076e-03 8.184552134401e-04 1.494150588645e-04
1.902327281715e-03 1.207052938804e-03 2.000000000000e-04
1.502939657147e-03 4.625693693789e-04 2.461914190955e-05
1.039620789371e-03 1.571413338134e-03 8.236722931302e-05
1.686298017820e-03 1.790887561141e-03 1.465006536929e-04
1.250122501686e-03 1.763473708070e-03 1.735110174770e-04
7.460840097320e-04 9.085237693628e-04 1.223718522306e-04
1.022279629317e-03 7.793080999591e-04 1.865555616262e-04
4.246898241935e-04 2.023422842798e-04 1.020179707584e-04
9.664203754776e-04 1.797764370389e-03 1.162570574500e-04
7.579647600866e-04 1.808957810395e-03 9.649961606860e-05
1.556757220849e-03 1.078512915694e-03 5.158551083321e-05
1.547720441481e-03 1.585085712649e-03 5.779230890337e-05
1.866595617299e-03 3.703495232825e-04 1.066937209628e-04
1.583731943839e-03 1.358308987691e-03 6.602758341085e-05
8.551046032623e-05 5.272782891920e-04 1.666583442850e-04
1.371523460187e-03 1.448119985093e-03 1.684036005789e-04
1.490308896361e-03 7.595866050060e-05 2.000000000000e-04
1.709881787827e-03 7.957286353390e-04 8.710665324452e-05
9.302110669497e-04 4.320587572414e-04 1.762714372607e-04
8.493659221512e-04 4.672604317901e-05 5.610632860794e-05
1.122544769843e-03 5.599020328881e-04 5.867494598415e-05
4.402306883850e-04 1.722024165143e-03 9.191109159996e-05
1.819459716712e-03 5.691126386292e-04 1.015839554873e-04
1.984365272377e-03 2.840738795171e-04 3.967320501029e-05
5.259662098393e-04 1.333610063965e-03 3.714421693951e-05
1.980885597694e-03 1.499098961315e-03 1.053943877533e-04
4.013899882287e-04 7.422719917403e-04 5.734445486715e-05
2.256702140522e-04 1.594914167278e-03 1.614747386360e-04
1.445406121761e-03 1.186452043181e-03 1.074948870901e-04
1.572309957702e-03 9.209183874949e-04 1.029004988385e-04
6.205693915091e-04 1.677083023569e-03 9.794357035111e-05
1.965560447402e-03 1.743193558057e-03 1.380902880038e-04
7.994653436765e-04 1.208513654473e-03 8.174847157497e-05
5.726527818931e-04 6.035513183913e-04 1.518640451486e-04
6.011489340164e-04 1.044997516467e-03 6.784414072221e-05
2.256222072516e-04 1.241142861925e-03 7.885977910373e-05
1.481008754264e-03 1.789129645396e-03 6.279764597847e-05
5.801220681873e-04 1.945385362469e-03 1.189854393330e-04
1.285299205709e-03 2.751564114631e-04 8.984736705066e-05
9.218081844134e-04 1.053474561889e-03 5.734219026175e-05
2.651802022615e-04 1.950606062967e-03 2.000000000000e-04
1.257007454831e-03 8.818476902791e-04 7.357557958926e-05
1.244806548731e-04 1.376474348483e-03 8.326433441271e-05
3.852762298743e-04 4.040192892746e-04 1.074743884514e-04
1.887092059221e-03 6.835280136751e-05 2.000000000000e-04
2.140154932766e-04 3.160949506095e-04 8.193927050461e-05
1.288455533578e-03 4.898163480123e-04 1.254317529537e-04
3.323051248639e-04 5.929258222788e-04 9.271848457552e-05
5.706279168651e-05 3.126737154504e-04 4.244772643036e-05
1.097290664919e-03 1.337965124336e-03 1.311260161183e-04
1.732555455612e-03 1.505099403748e-03 1.470084146144e-04
1.431269790968e-03 3.502267693882e-04 7.827099094311e-05
8.226231055465e-04 1.912379679172e-04 8.757118603817e-05
5.192247665463e-04 7.947706058647e-04 4.165877867941e-05
1.693100825714e-03 6.265344917577e-04 4.121054625818e-05
1.683367907592e-03 1.051550375790e-03 7.255973945863e-05
1.624720483451e-03 3.743607760859e-04 1.206793314258e-04
1.624696475497e-03 1.177412769529e-03 6.978247355096e-05
1.276927048010e-04 1.011892248231e-03 1.021233733323e-04
6.355717065556e-04 3.193968591082e-04 1.431730245664e-04
1.120497662336e-03 1.036313298515e-03 9.257798618172e-05
2.328153391125e-04 7.760059716574e-04 1.176135634164e-04
1.075228862900e-03 1.088080742919e-04 1.820182469042e-04
1.811377330097e-03 7.138001032505e-04 4.733055765132e-05
