# periodic 2D packing, generated 2026-08-01T20:13:31.803233+00:00
# porosity_achieved = 0.306448  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
3.999058185266e-04 4.336111291301e-04 8.977141172030e-05
7.928965518355e-04 1.949045870892e-04 1.741721113711e-04
4.506186955005e-04 6.810398987822e-04 1.628013466404e-04
4.309668363469e-05 1.886611014288e-04 6.837564182903e-05
2.181809193434e-04 8.907026338698e-04 7.603436661911e-05
5.350271810493e-04 2.332564031094e-04 6.779429788859e-05
5.425316048351e-04 4.559667922189e-05 1.173350320793e-04
3.821103116045e-04 2.187383083393e-04 8.581020737267e-05
6.177606063809e-04 4.413958564086e-04 1.282027498720e-04
2.423355330644e-04 4.781472445753e-04 3.504061392135e-05
7.747943345100e-04 8.280351545579e-04 1.931456511271e-04
4.014577587103e-06 6.720864268311e-04 8.409558813986e-05
1.666972220232e-04 3.382282583233e-04 1.240096534062e-04
3.745585118554e-04 9.374825953757e-04 8.242485411133e-05
2.432875774065e-04 1.415847305521e-04 7.301178762666e-05
7.281007422742e-05 8.772417988006e-06 1.112439197129e-04
9.420926781376e-04 4.637228193244e-04 1.332766375659e-04
