# periodic 2D packing, generated 2026-08-01T20:13:32.352196+00:00
# porosity_achieved = 0.333806  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
9.112020523107e-04 2.666841985408e-04 8.794897317847e-05
2.478894691470e-04 1.956874615277e-04 1.488950703675e-04
2.113317705159e-04 7.594605327131e-04 1.278636416701e-04
6.574259655654e-04 8.993918972436e-04 1.267413577625e-04
9.706721409240e-04 9.867286931441e-04 1.982558359989e-04
8.108821437973e-04 1.744940921573e-04 4.829804649802e-05
9.352517367242e-04 5.557687534469e-04 6.450175614271e-05
1.187715729448e-04 4.379978036549e-04 4.559684749211e-05
9.910266512096e-04 4.185506790305e-04 8.362093705813e-05
5.375698806283e-04 1.437276193075e-04 1.454092257114e-04
9.783924092245e-04 7.012940265212e-04 8.728653763275e-05
4.080984680560e-04 9.145245872556e-04 1.130816607497e-04
3.037692387368e-04 6.266530122455e-04 3.394650332652e-05
7.980767640432e-04 7.279889701428e-04 9.498341229437e-05
6.052156118988e-04 7.232476758265e-04 5.607547551533e-05
6.915732560315e-04 4.529034816234e-04 2.000000000000e-04
