# periodic 2D packing, generated 2026-08-03T16:48:40.901912+00:00
# porosity_achieved = 0.345898  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
9.396580440250e-04 3.509912393296e-04 5.909843676358e-05
6.046294250287e-05 8.195596773284e-04 4.551266724384e-05
7.393450788050e-04 4.222790112522e-04 7.794390294555e-05
8.911040537181e-04 5.312663934782e-04 1.088959462819e-04
4.486850162304e-04 1.557408568969e-04 1.557408568969e-04
9.067743045777e-04 9.322569542232e-05 9.322569542232e-05
9.206632939936e-04 9.330566643009e-04 6.694333569908e-05
5.960741674242e-05 8.582579108683e-05 5.960741674242e-05
7.352966599487e-04 8.716779562006e-04 1.283220437994e-04
1.998489252716e-04 4.097559119750e-04 1.998489252716e-04
4.631047981276e-04 8.988550563321e-04 1.011449436679e-04
4.432058301010e-04 3.647663797282e-04 4.763204999930e-05
2.032528361146e-04 9.364420618420e-04 5.465482955997e-05
5.408191851046e-04 6.116314756627e-04 1.964051721771e-04
8.107176492302e-04 2.618216195648e-04 9.767165618304e-05
2.895092500411e-04 7.829157151625e-04 3.711802737870e-05
8.463281618607e-05 6.916771092324e-04 8.463281618607e-05
7.744711625343e-04 6.877433502233e-04 4.933122261086e-05
5.544345622045e-04 3.511554129684e-04 6.442657085649e-05
7.416887661275e-04 1.099603519498e-04 6.914233972724e-05
2.305626060673e-04 7.035097693609e-04 6.177591108278e-05
