# periodic 2D packing, generated 2026-08-03T16:48:42.240139+00:00
# porosity_achieved = 0.326388  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
5.954492318239e-04 4.087412319280e-04 8.830398728155e-05
1.898578418891e-04 1.024672212491e-04 1.024672212491e-04
2.973640009436e-04 9.230542015075e-04 7.694579849251e-05
5.653581135217e-05 2.150040373559e-04 5.653581135217e-05
6.037686044965e-04 7.122588171126e-04 7.030442865886e-05
1.732059081376e-04 2.577936439399e-04 5.375017422994e-05
1.300608841014e-04 9.090561769030e-04 9.094382309701e-05
8.275206000492e-04 5.276980669691e-04 1.724793999508e-04
4.520228287828e-04 1.102966948712e-04 6.899726917999e-05
7.345260766290e-04 7.458982866122e-04 6.471109923869e-05
4.463180677884e-04 8.056117176639e-04 1.127407811136e-04
6.456187212943e-04 8.945102607315e-04 1.054897392685e-04
9.302584060136e-05 5.401855973580e-04 9.302584060136e-05
5.636835071218e-04 5.541975749365e-05 5.541975749365e-05
5.235255569370e-04 2.489061004212e-04 8.696835133880e-05
8.750614791369e-04 8.732430365181e-04 1.249385208631e-04
3.623437822473e-04 5.235475394728e-04 4.506306316312e-05
6.670475199474e-04 1.268091390631e-04 7.020098241630e-05
3.410891598973e-05 8.288634507887e-04 3.410891598973e-05
3.273394186650e-04 6.412272826178e-04 4.631200969398e-05
2.946832152982e-04 5.666097202754e-04 3.513868523807e-05
1.015607099880e-04 3.689106262377e-04 7.846279947680e-05
8.466185423779e-04 3.092255222375e-04 4.682639057968e-05
3.355374676827e-04 2.446092699800e-04 1.010688901880e-04
9.045554233981e-04 9.544457660189e-05 9.544457660189e-05
4.507372905989e-04 6.125481023036e-04 8.037512306349e-05
5.258233860725e-04 4.982206535096e-04 2.507296892526e-05
5.904516168976e-04 5.643768849840e-04 6.741204681435e-05
7.182669378092e-04 2.745169924827e-04 8.613533423797e-05
1.092992632326e-04 7.258921821623e-04 9.339377358026e-05
3.664667019026e-04 4.106278772556e-05 4.106278772556e-05
2.576872759679e-04 3.963732259844e-04 6.949769231864e-05
