# periodic 2D packing, generated 2026-08-03T18:03:43.721678+00:00
# porosity_achieved = 0.325496  (target 0.325000)
# 271 distinct grains; 298 rows including 27 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
3.500000000000e-03 3.500000000000e-03
2.194675702395e-03 8.953755931462e-04 1.048952551256e-04
3.877426777446e-04 2.368325177538e-04 1.330838336360e-04
5.415984803813e-04 3.033460172444e-03 1.041038255849e-04
1.562556450339e-03 2.457740455454e-03 4.599770804715e-05
2.989627880415e-04 4.937856574536e-04 1.387741954887e-04
2.287216130193e-03 2.866929233112e-03 1.103169374142e-04
2.156964073519e-03 1.063565507603e-03 6.747070936095e-05
1.066679761231e-04 2.213550808837e-03 1.180052645247e-04
3.606667976123e-03 2.213550808837e-03 1.180052645247e-04
2.793000068165e-03 1.186786641937e-03 1.058958839031e-04
2.704595011476e-03 7.408737873050e-04 1.022311508655e-04
3.110555950150e-03 6.237938506411e-04 8.951277089325e-05
2.378887941503e-03 2.769964539023e-04 1.159926328638e-04
2.552848953442e-03 2.440263778924e-04 6.106526086194e-05
6.024973267541e-04 2.148076590156e-04 8.134628876152e-05
8.691788079199e-05 3.592307446155e-04 6.934614306049e-05
2.619108577520e-04 2.927896244116e-03 1.190559192384e-04
-8.127322188264e-05 1.832849677493e-03 9.001994345523e-05
3.418726778117e-03 1.832849677493e-03 9.001994345523e-05
2.313993857543e-03 4.579486959867e-04 7.624423533805e-05
3.270040812163e-03 1.850355965802e-03 5.969307128644e-05
1.221233694519e-03 1.884222438446e-03 7.760051514849e-05
2.703786520267e-03 1.733371323950e-03 8.860969502157e-05
1.526714063248e-04 6.522458588080e-04 7.688945441313e-05
3.834673044074e-04 1.566383421230e-03 1.685448848391e-04
8.191300961424e-04 3.086664808667e-03 1.459891558049e-04
1.946964679680e-03 1.377783934501e-03 2.275054148165e-05
1.950931080318e-03 1.763948350193e-03 3.431777916921e-05
1.781904227854e-03 3.242215694024e-03 8.086524602314e-05
1.402532560315e-03 8.025550297344e-04 7.145550727986e-05
2.074571872996e-03 2.390008603026e-03 9.819857310319e-05
3.326199617217e-03 1.651851565972e-03 9.837937235061e-05
1.617650451330e-03 2.697488900360e-03 2.000000000000e-04
2.956971841962e-03 1.332121102881e-03 5.061053745150e-05
2.214484059032e-04 1.986433678444e-03 7.306633173121e-05
1.444123594081e-03 1.476706375930e-03 2.000000000000e-04
1.948531982675e-03 3.121045890210e-03 1.219390932099e-04
2.100366133618e-03 3.313185937487e-03 1.229406688812e-04
8.473323679451e-04 2.209520387132e-03 6.824928788863e-05
1.393156104941e-03 5.641075739833e-06 3.871134078165e-05
1.393156104941e-03 3.505641075740e-03 3.871134078165e-05
-4.252688800623e-05 2.606469029252e-03 9.595722872750e-05
3.457473111994e-03 2.606469029252e-03 9.595722872750e-05
2.427738856301e-03 3.014135769914e-03 9.319343039648e-05
2.116784842741e-03 3.143262232864e-03 4.777460197569e-05
2.166274769117e-04 9.788561429969e-04 6.271225324482e-05
1.410262053973e-04 -2.804274518834e-05 8.512734792074e-05
1.410262053973e-04 3.471957254812e-03 8.512734792074e-05
7.796520269260e-04 1.382897356457e-03 5.502537125741e-05
4.771130333055e-04 1.800943996431e-03 8.401834787391e-05
-1.568203220811e-05 6.329603066608e-04 9.256505547253e-05
3.484317967792e-03 6.329603066608e-04 9.256505547253e-05
7.062874102435e-05 2.843954953161e-03 8.983398039033e-05
3.570628741024e-03 2.843954953161e-03 8.983398039033e-05
1.154194811425e-03 1.111599627728e-03 6.851305813653e-05
2.416753589976e-04 2.418239920037e-03 1.187528237858e-04
2.284584293317e-03 6.699558147863e-04 1.377931521371e-04
7.345322525217e-05 1.266060501994e-03 1.036059062434e-04
3.573453225252e-03 1.266060501994e-03 1.036059062434e-04
2.164628651386e-04 1.410087653099e-03 5.861877702430e-05
3.268125706485e-04 7.587332896078e-04 1.272299816440e-04
6.994307746518e-04 1.687291525755e-05 6.867946022713e-05
6.994307746518e-04 3.516872915258e-03 6.867946022713e-05
2.107879512194e-03 2.696411516535e-03 1.369684346316e-04
2.870859513746e-03 3.294879829161e-03 5.163896264394e-05
9.754311067236e-04 8.227110068163e-04 1.394078469390e-04
1.007614110915e-03 5.982297453359e-04 8.736881914742e-05
2.940843629258e-03 1.235582309558e-03 4.726621363632e-05
2.672619812351e-03 3.094954740391e-04 7.543115983109e-05
4.642698321761e-04 2.284391137624e-03 9.066952704075e-05
2.815785257716e-03 1.392571019255e-03 1.011460847572e-04
2.930730018062e-03 1.948937205615e-03 5.400497238440e-05
6.353075616610e-04 3.156714254422e-03 5.072828590421e-05
2.242132497977e-03 3.069807236720e-03 9.751073284546e-05
5.980351165543e-04 3.271419796354e-03 6.988111056151e-05
8.367109243435e-04 3.337624537744e-03 9.927790034520e-05
1.737691351723e-03 1.923946178900e-03 1.290151639209e-04
1.827770097828e-03 1.758051000520e-03 3.869755821450e-05
1.600535419938e-03 2.532773333498e-04 1.002196466966e-04
1.860492538768e-03 2.132943901102e-04 1.627953140628e-04
8.154834648490e-04 1.831235837589e-03 7.605119742410e-05
2.819408722910e-03 3.002910834588e-03 5.883652846216e-05
9.811870406978e-04 1.509723871015e-03 1.285466790650e-04
3.199947581126e-03 1.162574201041e-04 1.001724743767e-04
1.956525577269e-03 8.470001810136e-04 1.381184598125e-04
9.986194198933e-04 2.695314195964e-03 7.425924865698e-05
6.297021994811e-04 5.513786456766e-04 4.206689330935e-05
1.680300659856e-03 6.845562678585e-04 8.352657157021e-05
1.248104961812e-03 9.645348855857e-04 7.061595493038e-05
2.247350376109e-03 2.128978378750e-03 1.300386998115e-04
1.889879629341e-03 2.900713571184e-03 9.722098762016e-05
7.626708565956e-05 7.430984825439e-04 3.904620036545e-05
2.927367445320e-03 2.107789579365e-03 4.854973060647e-05
1.422509330019e-04 1.791559952121e-03 1.372857752909e-04
2.898388611999e-03 1.601986078980e-03 1.239716232548e-04
2.845398546548e-03 2.030554011892e-03 6.407463033853e-05
3.322318161384e-03 2.874014462109e-03 8.820342440428e-05
2.494567777784e-03 8.020300457523e-04 1.102727633022e-04
