# periodic 2D packing, generated 2026-08-03T18:15:02.859940+00:00
# porosity_achieved = 0.321549  (target 0.325000)
# 59 distinct grains; 89 rows including 30 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.500000000000e-03 1.500000000000e-03
7.524088473420e-04 -2.872688180300e-05 1.048952551256e-04
7.524088473420e-04 1.471273118197e-03 1.048952551256e-04
-9.557856287500e-05 4.850725196700e-05 1.041038255849e-04
-9.557856287500e-05 1.548507251967e-03 1.041038255849e-04
1.404421437125e-03 4.850725196700e-05 1.041038255849e-04
1.404421437125e-03 1.548507251967e-03 1.041038255849e-04
7.604336590300e-05 -1.963388403340e-05 8.134628876152e-05
7.604336590300e-05 1.480366115967e-03 8.134628876152e-05
1.576043365903e-03 -1.963388403340e-05 8.134628876152e-05
1.576043365903e-03 1.480366115967e-03 8.134628876152e-05
7.364501247110e-04 1.954337472730e-04 7.624423533805e-05
1.216909838338e-03 8.001832275000e-06 5.969307128644e-05
1.216909838338e-03 1.508001832275e-03 5.969307128644e-05
9.166966176050e-04 1.063193313411e-03 8.860969502157e-05
-1.002276387940e-04 2.785037124900e-05 1.685448848391e-04
-1.002276387940e-04 1.527850371249e-03 1.685448848391e-04
1.399772361206e-03 2.785037124900e-05 1.685448848391e-04
1.399772361206e-03 1.527850371249e-03 1.685448848391e-04
6.024194788060e-04 8.407987025560e-04 8.512734792074e-05
7.504122604010e-04 1.159610742053e-03 1.036059062434e-04
7.274903503200e-05 8.251644956800e-05 1.394078469390e-04
7.274903503200e-05 1.582516449568e-03 1.394078469390e-04
1.572749035032e-03 8.251644956800e-05 1.394078469390e-04
1.572749035032e-03 1.582516449568e-03 1.394078469390e-04
6.944405816570e-04 6.715323958410e-04 8.736881914742e-05
8.299143618620e-04 5.404418791430e-04 1.011460847572e-04
1.468756664930e-04 1.110491914134e-03 5.400497238440e-05
9.894799465600e-04 4.635025747200e-05 9.927790034520e-05
9.894799465600e-04 1.546350257472e-03 9.927790034520e-05
7.419604046160e-04 9.780588376710e-04 3.869755821450e-05
4.608506746720e-04 1.295347613043e-03 8.352657157021e-05
-8.781651213000e-05 6.040586660890e-04 1.372857752909e-04
1.412183487870e-03 6.040586660890e-04 1.372857752909e-04
8.940487212540e-04 2.377795505150e-04 6.407463033853e-05
1.100929945197e-03 1.138108492696e-03 1.102727633022e-04
3.510595238850e-04 1.015376613000e-06 1.496114479369e-04
3.510595238850e-04 1.501015376613e-03 1.496114479369e-04
1.857999006610e-04 8.622505529230e-04 4.327156429573e-05
-7.449048301300e-05 3.319684812150e-04 1.351305459323e-04
1.425509516987e-03 3.319684812150e-04 1.351305459323e-04
-2.913479290360e-05 3.949775152300e-04 8.885847875555e-05
1.470865207096e-03 3.949775152300e-04 8.885847875555e-05
3.656006672550e-04 2.446229820230e-04 4.117483080712e-05
1.087703223692e-03 6.961141985310e-04 2.000000000000e-04
1.126604896264e-03 -5.638199483720e-05 7.206143400622e-05
1.126604896264e-03 1.443618005163e-03 7.206143400622e-05
1.342052135380e-03 1.094982024924e-03 1.014039054831e-04
9.419976773880e-04 -3.694361830300e-05 8.079406877166e-05
9.419976773880e-04 1.463056381697e-03 8.079406877166e-05
1.208613328055e-03 1.258293438857e-03 5.109685765771e-05
-5.281408432390e-05 9.831232522930e-04 1.828472479536e-04
1.447185915676e-03 9.831232522930e-04 1.828472479536e-04
1.182866687235e-03 3.969133102300e-04 1.139703578754e-04
1.084677698026e-03 2.358146568350e-04 5.625712225797e-05
5.132096092530e-04 4.076377940070e-04 7.259510634266e-05
3.844669798630e-04 1.023235903836e-03 1.991026086710e-04
8.159549719830e-04 1.314330679579e-03 6.442441808433e-05
1.326354227949e-03 1.351514147998e-03 9.907981307547e-05
1.220020407871e-03 2.036191780460e-04 8.286233290191e-05
1.939666396310e-04 6.892317905310e-04 4.908683329125e-05
3.443313654120e-04 3.805605151170e-04 9.565517930312e-05
6.020403342240e-04 2.982659282500e-05 1.370436511098e-04
6.020403342240e-04 1.529826592825e-03 1.370436511098e-04
9.727619510830e-04 4.044007263810e-04 9.601317191401e-05
1.462589182980e-04 2.143307933680e-04 1.629275276263e-04
1.646258918298e-03 2.143307933680e-04 1.629275276263e-04
1.325483585980e-04 1.306746014857e-03 1.427717952014e-04
1.632548358598e-03 1.306746014857e-03 1.427717952014e-04
1.948074455420e-04 4.720950906560e-04 5.435738214870e-05
-1.772042273000e-05 1.304287546588e-03 6.384063161300e-05
1.482279577270e-03 1.304287546588e-03 6.384063161300e-05
1.169028021024e-03 9.622638835310e-04 7.829736666848e-05
6.193507913700e-05 9.498300175400e-04 7.621963268634e-05
1.561935079137e-03 9.498300175400e-04 7.621963268634e-05
-1.255164736400e-04 8.672671001430e-04 1.286088837896e-04
1.374483526360e-03 8.672671001430e-04 1.286088837896e-04
6.194368433540e-04 1.292721123313e-03 7.508135230635e-05
1.028722509190e-03 1.369336296895e-03 4.689559700610e-05
3.559755160760e-04 7.110466345760e-04 1.143841644160e-04
4.626883164780e-04 1.859811840230e-04 7.224858994613e-05
3.659584356800e-04 5.467121589740e-04 5.025329555192e-05
3.484232949600e-05 1.116437708114e-03 9.257651960060e-05
1.534842329496e-03 1.116437708114e-03 9.257651960060e-05
8.484015816870e-04 8.832972496530e-04 1.038138538797e-04
5.397458511640e-04 6.991457913380e-04 6.977111761950e-05
7.695659715060e-04 3.710242646650e-04 7.869900521904e-05
3.313236555220e-04 -2.465553034340e-05 1.383158835256e-04
3.313236555220e-04 1.475344469657e-03 1.383158835256e-04
6.383962364750e-04 1.046118901199e-03 5.585589162376e-05
