# periodic 2D packing, generated 2026-08-03T18:05:24.040514+00:00
# porosity_achieved = 0.337882  (target 0.325000)
# 104 distinct grains; 143 rows including 39 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.444675702395e-03 1.453755931462e-04 1.048952551256e-04
8.125564503390e-04 1.707740455454e-03 4.599770804715e-05
1.406964073519e-03 3.135655076030e-04 6.747070936095e-05
4.300006816500e-05 4.367866419370e-04 1.058958839031e-04
2.043000068165e-03 4.367866419370e-04 1.058958839031e-04
-4.540498852400e-05 -9.126212695000e-06 1.022311508655e-04
-4.540498852400e-05 1.990873787305e-03 1.022311508655e-04
1.954595011476e-03 -9.126212695000e-06 1.022311508655e-04
1.954595011476e-03 1.990873787305e-03 1.022311508655e-04
4.712336945190e-04 1.134222438446e-03 7.760051514849e-05
-4.621347973300e-05 9.833713239500e-04 8.860969502157e-05
1.953786520267e-03 9.833713239500e-04 8.860969502157e-05
1.196964679680e-03 6.277839345010e-04 2.275054148165e-05
1.200931080318e-03 1.013948350193e-03 3.431777916921e-05
6.525325603150e-04 5.255502973440e-05 7.145550727986e-05
6.525325603150e-04 2.052555029734e-03 7.145550727986e-05
1.324571872996e-03 1.640008603026e-03 9.819857310319e-05
8.676504513300e-04 -5.251109964000e-05 2.000000000000e-04
8.676504513300e-04 1.947488900360e-03 2.000000000000e-04
6.941235940810e-04 7.267063759300e-04 2.000000000000e-04
9.733236794510e-05 1.459520387132e-03 6.824928788863e-05
2.965202692600e-05 6.328973564570e-04 5.502537125741e-05
2.029652026926e-03 6.328973564570e-04 5.502537125741e-05
4.041948114250e-04 3.615996277280e-04 6.851305813653e-05
1.534584293317e-03 -8.004418521370e-05 1.377931521371e-04
1.534584293317e-03 1.919955814786e-03 1.377931521371e-04
1.357879512194e-03 -5.358848346500e-05 1.369684346316e-04
1.357879512194e-03 1.946411516535e-03 1.369684346316e-04
2.254311067236e-04 7.271100681630e-05 1.394078469390e-04
2.254311067236e-04 2.072711006816e-03 1.394078469390e-04
6.578525771600e-05 6.425710192550e-04 1.011460847572e-04
2.065785257716e-03 6.425710192550e-04 1.011460847572e-04
9.876913517230e-04 1.173946178900e-03 1.290151639209e-04
1.077770097828e-03 1.008051000520e-03 3.869755821450e-05
6.548346484900e-05 1.081235837589e-03 7.605119742410e-05
2.065483464849e-03 1.081235837589e-03 7.605119742410e-05
2.311870406978e-04 7.597238710150e-04 1.285466790650e-04
1.206525577269e-03 9.700018101360e-05 1.381184598125e-04
1.206525577269e-03 2.097000181014e-03 1.381184598125e-04
2.486194198933e-04 -5.468580403600e-05 7.425924865698e-05
2.486194198933e-04 1.945314195964e-03 7.425924865698e-05
9.303006598560e-04 -6.544373214150e-05 8.352657157021e-05
9.303006598560e-04 1.934556267859e-03 8.352657157021e-05
4.981049618120e-04 2.145348855857e-04 7.061595493038e-05
1.497350376109e-03 1.378978378750e-03 1.300386998115e-04
1.744567777784e-03 5.203004575230e-05 1.102727633022e-04
1.744567777784e-03 2.052030045752e-03 1.102727633022e-04
-1.071235445984e-04 1.154698894557e-03 1.115387823189e-04
1.892876455402e-03 1.154698894557e-03 1.115387823189e-04
7.880143105970e-04 1.046331442740e-03 1.003248077219e-04
1.578138238319e-03 -7.319555324400e-05 8.416305232937e-05
1.578138238319e-03 1.926804446756e-03 8.416305232937e-05
1.508852812441e-03 1.018437623352e-03 1.496114479369e-04
4.345318218220e-05 2.774809955660e-04 2.863824460384e-05
4.883392850460e-04 1.293244403703e-03 8.233880666332e-05
1.111260681735e-03 5.549556135990e-04 8.971789414631e-05
3.953459697680e-04 5.687096422840e-04 1.233155856380e-04
8.897270446760e-04 2.151643797406e-04 2.000000000000e-04
1.495162140845e-03 1.667035871686e-03 6.254508847023e-05
5.854492105370e-04 1.744034515646e-03 1.116037035537e-04
4.088676763740e-04 1.295312488804e-04 5.262739621858e-05
-1.857458250200e-05 2.146164874349e-04 1.231145109821e-04
1.981425417498e-03 2.146164874349e-04 1.231145109821e-04
1.913375958901e-04 5.718326192650e-04 4.117483080712e-05
2.527185856510e-04 2.614163683770e-04 2.571451376186e-05
