# periodic 2D packing, generated 2026-08-03T18:13:45.050715+00:00
# porosity_achieved = 0.245815  (target 0.250000)
# 84 distinct grains; 101 rows including 17 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.723302193993e-03 1.055632047164e-03 6.370573625880e-05
1.363060366386e-03 1.209148754394e-03 8.086746175030e-05
6.286121504362e-04 5.507701347355e-04 2.000000000000e-04
3.199714879571e-04 4.565570728209e-04 1.227002097175e-04
4.981988997737e-04 1.029239026318e-03 3.884081158087e-05
5.383796634345e-04 8.719060507433e-04 8.802039543243e-05
2.393116235829e-04 1.719216702801e-03 6.461446586339e-05
7.649156015956e-04 1.106543028464e-03 9.505787794495e-05
1.617473906746e-04 1.283171958551e-03 3.949113806277e-05
1.354807010134e-03 1.028883747285e-03 9.958943895962e-05
1.886175618975e-03 1.049811110271e-03 9.927171090889e-05
1.373290832160e-03 7.358552861082e-04 1.940242597890e-04
9.312377306794e-04 5.722674079424e-04 1.033883921559e-04
5.541245507504e-04 1.837600828865e-03 1.139139702798e-04
2.937821889146e-04 2.897855722036e-04 4.182991876839e-05
1.107655694630e-03 1.326001370289e-03 2.000000000000e-04
8.656876638073e-04 9.901015245638e-04 3.386382742240e-05
1.108399731450e-03 9.729053501458e-04 1.530969091314e-04
1.023984156568e-03 -5.511024418172e-05 7.482994574519e-05
1.023984156568e-03 1.944889755818e-03 7.482994574519e-05
7.311261816852e-04 3.147408619262e-04 5.681764489380e-05
-5.965284178874e-05 1.643543431962e-03 6.356275467732e-05
1.940347158211e-03 1.643543431962e-03 6.356275467732e-05
7.095962526724e-04 9.584129006621e-04 6.306480482167e-05
7.396069266089e-04 9.678111018349e-05 1.067259924904e-04
7.396069266089e-04 2.096781110183e-03 1.067259924904e-04
1.393977204045e-03 4.590799011030e-04 8.352456985623e-05
7.814603036743e-04 1.530886404240e-03 1.852036013033e-04
4.231251974912e-04 1.736581687264e-03 3.535246687704e-05
1.574520164647e-03 3.759476003887e-04 8.811384782803e-05
7.041606795070e-05 7.211918523901e-05 5.649444370586e-05
1.494862412156e-03 6.127638508158e-05 1.300743369497e-04
1.494862412156e-03 2.061276385082e-03 1.300743369497e-04
1.653294933405e-03 2.871306869814e-04 3.060428907224e-05
1.885890866480e-03 1.248348860269e-03 7.431575767037e-05
9.187347347311e-04 1.778627803292e-03 9.802834285435e-05
1.171302275918e-03 1.690881852568e-04 4.201538639733e-05
1.261453902957e-03 1.634184639719e-03 1.444275470656e-04
1.083176671947e-03 7.202484844282e-04 9.649844561005e-05
8.572792949655e-04 8.104355796107e-04 1.459988246512e-04
1.158029974841e-03 4.771059680982e-04 1.425599503325e-04
1.090956345893e-03 2.922720846988e-04 5.406802104214e-05
9.019859816560e-05 1.924662025963e-03 5.922076893938e-05
1.568216939493e-03 5.436610988887e-04 7.971868046615e-05
9.146476965609e-04 3.387801276212e-04 1.282716202730e-04
1.432887325989e-03 1.413461912158e-03 1.350511818598e-04
1.506147816896e-03 1.222308890421e-03 6.188808978736e-05
8.841774265661e-04 -6.190325928531e-05 6.514213620442e-05
8.841774265661e-04 1.938096740715e-03 6.514213620442e-05
5.141867157275e-04 1.820350810975e-05 5.921996480742e-05
5.141867157275e-04 2.018203508110e-03 5.921996480742e-05
7.538247752442e-04 1.924730377138e-03 6.589424256199e-05
8.361503566504e-04 1.264645824602e-03 7.835176512031e-05
1.566166787720e-03 9.361359198909e-04 8.262089892489e-05
-1.161083333813e-04 2.889680184560e-04 2.000000000000e-04
1.883891666619e-03 2.889680184560e-04 2.000000000000e-04
1.306636862947e-03 1.864469188996e-03 6.850922146227e-05
1.117873026560e-03 6.342737496988e-05 7.638665456711e-05
1.117873026560e-03 2.063427374970e-03 7.638665456711e-05
-7.031237174643e-05 -1.869446462843e-05 1.109921025447e-04
-7.031237174643e-05 1.981305535372e-03 1.109921025447e-04
1.929687628254e-03 -1.869446462843e-05 1.109921025447e-04
1.929687628254e-03 1.981305535372e-03 1.109921025447e-04
3.084992343183e-04 1.186485443046e-03 5.479687425600e-05
2.477824757745e-04 6.388810628554e-04 7.339505857053e-05
3.737932883497e-04 1.057969387584e-03 8.883932726541e-05
5.634730108431e-05 5.702755626134e-04 1.299621376901e-04
2.056347301084e-03 5.702755626134e-04 1.299621376901e-04
6.712283487454e-04 8.566370463222e-04 4.570294585820e-05
5.429448407889e-04 1.260705569562e-03 1.751959242173e-04
9.290065269511e-04 1.368694151014e-04 7.399085489279e-05
6.223785817909e-06 1.788928356249e-03 9.605091318294e-05
2.006223785818e-03 1.788928356249e-03 9.605091318294e-05
1.686126303023e-03 1.314088408571e-03 1.347895048101e-04
4.789098660187e-04 1.588593099107e-03 1.228011827095e-04
4.970152714526e-04 2.265897992227e-04 1.498726793127e-04
4.003090777974e-04 7.498990656590e-04 9.623268820679e-05
1.102547080295e-03 1.802965426463e-03 8.738848376706e-05
1.715341138960e-03 -1.546762264921e-05 1.033797866094e-04
1.715341138960e-03 1.984532377351e-03 1.033797866094e-04
1.680364026211e-03 1.376072396140e-04 5.364093508645e-05
3.261598106869e-05 1.437774833282e-03 1.619461496623e-04
2.032615981069e-03 1.437774833282e-03 1.619461496623e-04
1.856217729358e-03 1.744843501523e-03 5.988805452838e-05
