# periodic 2D packing, generated 2026-07-28T14:39:44.632940+00:00
# porosity_achieved = 0.327284  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
5.000000000000e-04 5.000000000000e-04
4.471755513354e-05 4.364437533016e-04 4.720286480651e-05
2.104395997975e-04 3.070850268737e-05 5.988772513620e-05
4.616366612848e-05 1.827958862042e-04 4.684672151319e-05
3.401847275292e-04 1.484117247367e-04 2.069896862122e-05
4.123917568551e-04 9.961834136773e-05 6.244838796994e-05
3.321064868678e-04 2.249523884622e-04 4.964262183641e-05
4.755151755847e-04 3.262407595527e-04 3.036181921243e-05
1.488908723838e-04 4.312183271245e-04 5.310236903610e-05
2.651939267747e-04 1.489030423070e-04 4.765314775638e-05
1.689314007050e-04 1.324587069444e-04 4.600401788948e-05
2.657174705176e-05 2.717920247534e-04 4.028074690196e-05
2.368175150859e-04 3.662952126373e-04 5.219668478869e-05
4.971311225668e-04 5.910092650572e-05 2.747936738788e-05
3.124763962745e-04 7.437796489144e-05 3.660582994268e-05
1.260706015741e-04 2.014359547616e-04 3.120576437722e-05
4.527084631102e-04 4.865691055297e-04 5.357516365730e-05
2.086513765623e-04 2.216821078568e-04 4.050897455485e-05
2.622794609377e-04 2.794440528205e-04 3.430990590212e-05
2.984024780545e-04 8.394715245691e-06 2.686188207890e-05
4.043735770034e-05 3.504276201593e-04 3.492023181682e-05
3.569203353200e-04 4.686558711994e-04 3.987436275971e-05
2.820977099126e-04 4.449956280319e-04 3.460025448591e-05
3.677767038154e-04 3.494299774513e-04 7.584519817762e-05
1.332114175358e-04 3.020831116135e-04 6.569512011221e-05
4.008070929428e-04 1.754242344265e-04 1.023774366674e-05
9.780538870136e-05 3.797100911234e-04 1.544300062615e-05
5.414071906069e-05 9.592550736152e-05 3.638936071041e-05
4.724157447464e-04 3.943315407740e-04 3.215497827594e-05
