# periodic 2D packing, generated 2026-08-03T18:15:02.445317+00:00
# porosity_achieved = 0.357863  (target 0.325000)
# 11 distinct grains; 27 rows including 16 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
5.000000000000e-04 5.000000000000e-04
-8.330338239500e-05 6.319331341100e-05 8.860969502157e-05
-8.330338239500e-05 5.631933134110e-04 8.860969502157e-05
4.166966176050e-04 6.319331341100e-05 8.860969502157e-05
4.166966176050e-04 5.631933134110e-04 8.860969502157e-05
1.024194788060e-04 3.407987025560e-04 8.512734792074e-05
1.944405816570e-04 1.715323958410e-04 8.736881914742e-05
3.299143618620e-04 4.044187914300e-05 1.011460847572e-04
3.299143618620e-04 5.404418791430e-04 1.011460847572e-04
2.419604046160e-04 -2.194116232900e-05 3.869755821450e-05
2.419604046160e-04 4.780588376710e-04 3.869755821450e-05
8.770322369200e-05 1.961141985310e-04 2.000000000000e-04
8.770322369200e-05 6.961141985310e-04 2.000000000000e-04
5.877032236920e-04 1.961141985310e-04 2.000000000000e-04
5.877032236920e-04 6.961141985310e-04 2.000000000000e-04
-1.155330201370e-04 2.323590383600e-05 1.991026086710e-04
-1.155330201370e-04 5.232359038360e-04 1.991026086710e-04
3.844669798630e-04 2.323590383600e-05 1.991026086710e-04
3.844669798630e-04 5.232359038360e-04 1.991026086710e-04
-2.723804891700e-05 -9.559927361900e-05 9.601317191401e-05
-2.723804891700e-05 4.044007263810e-04 9.601317191401e-05
4.727619510830e-04 -9.559927361900e-05 9.601317191401e-05
4.727619510830e-04 4.044007263810e-04 9.601317191401e-05
3.484015816870e-04 3.832972496530e-04 1.038138538797e-04
3.974585116400e-05 1.991457913380e-04 6.977111761950e-05
5.397458511640e-04 1.991457913380e-04 6.977111761950e-05
1.383962364750e-04 4.611890119900e-05 5.585589162376e-05
1.383962364750e-04 5.461189011990e-04 5.585589162376e-05
