# periodic 2D packing, generated 2026-08-03T18:15:03.011527+00:00
# porosity_achieved = 0.308353  (target 0.325000)
# 107 distinct grains; 150 rows including 43 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.002408847342e-03 1.721273118197e-03 1.048952551256e-04
1.654421437125e-03 1.798507251967e-03 1.041038255849e-04
3.260433659030e-04 2.303661159666e-04 8.134628876152e-05
1.475411731879e-04 5.034266512230e-04 6.934614306049e-05
9.864501247110e-04 4.454337472730e-04 7.624423533805e-05
1.466909838338e-03 1.758001832275e-03 5.969307128644e-05
1.166696617605e-03 1.313193313411e-03 8.860969502157e-05
1.649772361206e-03 2.778503712490e-04 1.685448848391e-04
1.831429784304e-03 6.197517256770e-04 2.275054148165e-05
8.243639330750e-04 1.858461721342e-03 9.819857310319e-05
1.161010307427e-03 -7.641672245000e-06 2.000000000000e-04
1.161010307427e-03 1.992358327755e-03 2.000000000000e-04
7.132809068560e-05 -9.255349538500e-05 1.229406688812e-04
7.132809068560e-05 1.907446504615e-03 1.229406688812e-04
2.071328090686e-03 -9.255349538500e-05 1.229406688812e-04
2.071328090686e-03 1.907446504615e-03 1.229406688812e-04
8.524194788060e-04 1.090798702556e-03 8.512734792074e-05
1.000412260401e-03 1.409610742053e-03 1.036059062434e-04
1.408829704269e-04 1.728895983824e-03 6.867946022713e-05
-2.577900247160e-05 6.791702125910e-04 1.369684346316e-04
1.974220997528e-03 6.791702125910e-04 1.369684346316e-04
3.227490350320e-04 1.832516449568e-03 1.394078469390e-04
9.444405816570e-04 9.215323958410e-04 8.736881914742e-05
-4.256004499740e-05 2.253913135477e-04 9.066952704075e-05
1.957439955003e-03 2.253913135477e-04 9.066952704075e-05
1.079914361862e-03 7.904418791430e-04 1.011460847572e-04
3.968756664930e-04 1.360491914134e-03 5.400497238440e-05
1.239479946560e-03 2.963502574720e-04 9.927790034520e-05
9.919604046160e-04 1.228058837671e-03 3.869755821450e-05
5.512345615500e-05 6.140495185110e-04 1.285466790650e-04
2.055123456155e-03 6.140495185110e-04 1.285466790650e-04
1.400509095674e-04 -4.439179060400e-05 1.381184598125e-04
1.400509095674e-04 1.955608209396e-03 1.381184598125e-04
1.252438681846e-04 8.268496564620e-04 7.425924865698e-05
1.882366266005e-03 3.123129551300e-05 4.206689330935e-05
1.882366266005e-03 2.031231295513e-03 4.206689330935e-05
7.108506746720e-04 1.545347613043e-03 8.352657157021e-05
1.163911623576e-03 -2.503264419000e-06 7.061595493038e-05
1.163911623576e-03 1.997496735581e-03 7.061595493038e-05
1.960208636274e-04 1.573394375367e-03 3.904620036545e-05
1.662183487870e-03 8.540586660890e-04 1.372857752909e-04
1.481884553994e-03 -5.233056443300e-05 1.239716232548e-04
1.481884553994e-03 1.947669435567e-03 1.239716232548e-04
1.144048721254e-03 4.877795505150e-04 6.407463033853e-05
-7.128875865410e-05 3.658434418270e-05 8.820342440428e-05
-7.128875865410e-05 2.036584344183e-03 8.820342440428e-05
1.928711241346e-03 3.658434418270e-05 8.820342440428e-05
1.928711241346e-03 2.036584344183e-03 8.820342440428e-05
1.350929945197e-03 1.388108492696e-03 1.102727633022e-04
6.010595238850e-04 1.751015376613e-03 1.496114479369e-04
1.099446724667e-04 9.826985141260e-04 8.233880666332e-05
4.357999006610e-04 1.112250552923e-03 4.327156429573e-05
-3.236339181100e-06 1.407596701547e-03 8.287837270528e-05
1.996763660819e-03 1.407596701547e-03 8.287837270528e-05
6.681932871800e-04 1.555670038800e-05 1.233155856380e-04
6.681932871800e-04 2.015556700388e-03 1.233155856380e-04
1.675509516987e-03 5.819684812150e-04 1.351305459323e-04
1.833034885131e-03 1.873874508055e-03 8.975953642960e-05
2.208652070964e-04 6.449775152300e-04 8.885847875555e-05
5.642242926200e-05 1.312325242861e-03 1.231145109821e-04
2.056422429262e-03 1.312325242861e-03 1.231145109821e-04
6.156006672550e-04 4.946229820230e-04 4.117483080712e-05
5.905834435000e-06 2.097109914116e-04 2.571451376186e-05
2.005905834435e-03 2.097109914116e-04 2.571451376186e-05
3.849158872080e-04 3.767876511790e-05 1.201342134933e-04
3.849158872080e-04 2.037678765118e-03 1.201342134933e-04
1.337703223692e-03 9.461141985310e-04 2.000000000000e-04
1.023146671004e-03 1.959812790883e-04 5.350139677752e-05
1.774908854902e-04 2.105490305769e-04 6.852217695361e-05
1.376604896264e-03 1.936180051628e-04 7.206143400622e-05
1.592052135380e-03 1.344982024924e-03 1.014039054831e-04
1.191997677388e-03 1.713056381697e-03 8.079406877166e-05
1.458613328055e-03 1.508293438857e-03 5.109685765771e-05
1.971859156761e-04 1.233123252293e-03 1.828472479536e-04
1.432866687235e-03 6.469133102300e-04 1.139703578754e-04
-9.844054234100e-05 7.954851366380e-04 1.091523435475e-04
1.901559457659e-03 7.954851366380e-04 1.091523435475e-04
1.334677698026e-03 4.858146568350e-04 5.625712225797e-05
7.632096092530e-04 6.576377940070e-04 7.259510634266e-05
6.344669798630e-04 1.273235903836e-03 1.991026086710e-04
-1.507668877860e-05 1.724531102373e-03 3.030334210546e-05
