# periodic 2D packing, generated 2026-08-03T17:30:35.567691+00:00
# porosity_achieved = 0.339329  (target 0.325000)
# 13 distinct grains; 21 rows including 8 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
-1.286428727087e-04 5.165385164041e-04 1.494150588645e-04
8.713571272913e-04 5.165385164041e-04 1.494150588645e-04
2.525988774947e-04 -1.585592581365e-04 2.000000000000e-04
2.525988774947e-04 8.414407418635e-04 2.000000000000e-04
8.709092297690e-04 3.400588600099e-04 2.461914190955e-05
4.459314598828e-04 4.243837131573e-04 8.236722931302e-05
8.125246031189e-04 -9.913036265424e-05 1.465006536929e-04
8.125246031189e-04 9.008696373458e-04 1.465006536929e-04
2.185575819937e-04 2.526727999562e-04 1.735110174770e-04
1.422506461706e-04 5.385453666088e-04 1.223718522306e-04
5.430160507021e-04 9.655109722501e-05 1.865555616262e-04
5.430160507021e-04 1.096551097225e-03 1.865555616262e-04
7.525880339388e-04 2.949266288983e-04 1.020179707584e-04
5.757716708439e-04 7.693419429413e-04 1.162570574500e-04
-2.696718597030e-05 1.403202836704e-04 9.649961606860e-05
9.730328140297e-04 1.403202836704e-04 9.649961606860e-05
9.044004277645e-04 2.715405540782e-04 5.158551083321e-05
2.034808471817e-05 -4.668372825461e-05 5.779230890337e-05
2.034808471817e-05 9.533162717454e-04 5.779230890337e-05
1.020348084718e-03 -4.668372825461e-05 5.779230890337e-05
1.020348084718e-03 9.533162717454e-04 5.779230890337e-05
