T_C,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin
-40.000,1.000e-01,6.656364e+05,2.424083e-07,B-KINETIC,2.626000e+03,3.447938e+06,0.6829
-40.000,1.000e-02,6.656364e+06,2.424083e-08,B-KINETIC,2.625400e+04,3.446363e+08,0.9954
-40.000,1.000e-03,6.656364e+07,2.424083e-09,B-KINETIC,2.625310e+05,3.446139e+10,1.0000
-39.511,1.000e-01,6.292385e+05,2.558939e-07,B-KINETIC,2.487000e+03,3.093828e+06,0.6711
-39.511,1.000e-02,6.292385e+06,2.558939e-08,B-KINETIC,2.487000e+04,3.092584e+08,0.9951
-39.511,1.000e-03,6.292385e+07,2.558939e-09,B-KINETIC,2.486960e+05,3.092485e+10,1.0000
-39.023,1.000e-01,5.949687e+05,2.700683e-07,B-KINETIC,2.357000e+03,2.778903e+06,0.6591
-39.023,1.000e-02,5.949687e+06,2.700683e-08,B-KINETIC,2.356500e+04,2.776664e+08,0.9949
-39.023,1.000e-03,5.949687e+07,2.700683e-09,B-KINETIC,2.356430e+05,2.776393e+10,0.9999
-38.534,1.000e-01,5.626949e+05,2.849634e-07,B-KINETIC,2.234000e+03,2.495378e+06,0.6470
-38.534,1.000e-02,5.626949e+06,2.849634e-08,B-KINETIC,2.233300e+04,2.493926e+08,0.9946
-38.534,1.000e-03,5.626949e+07,2.849634e-09,B-KINETIC,2.233260e+05,2.493725e+10,0.9999
-38.045,1.000e-01,5.322936e+05,3.006125e-07,B-KINETIC,2.117000e+03,2.241903e+06,0.6348
-38.045,1.000e-02,5.322936e+06,3.006125e-08,B-KINETIC,2.117000e+04,2.240844e+08,0.9943
-38.045,1.000e-03,5.322936e+07,3.006125e-09,B-KINETIC,2.117000e+05,2.240844e+10,0.9999
-37.556,1.000e-01,5.036494e+05,3.064826e-07,B-HEAT,2.077000e+03,2.158003e+06,0.6303
-37.556,1.000e-02,5.036494e+06,3.170503e-08,B-KINETIC,2.007300e+04,2.014727e+08,0.9940
-37.556,1.000e-03,5.036494e+07,3.170503e-09,B-KINETIC,2.007250e+05,2.014536e+10,0.9999
-37.068,1.000e-01,4.766543e+05,3.061652e-07,B-HEAT,2.079000e+03,2.162160e+06,0.6306
-37.068,1.000e-02,4.766543e+06,3.343128e-08,B-KINETIC,1.903600e+04,1.811846e+08,0.9936
-37.068,1.000e-03,4.766543e+07,3.343128e-09,B-KINETIC,1.903600e+05,1.811846e+10,0.9999
-36.579,1.000e-01,4.512075e+05,3.058488e-07,B-HEAT,2.081000e+03,2.166321e+06,0.6309
-36.579,1.000e-02,4.512075e+06,3.524374e-08,B-KINETIC,1.805700e+04,1.630367e+08,0.9933
-36.579,1.000e-03,4.512075e+07,3.524374e-09,B-KINETIC,1.805700e+05,1.630276e+10,0.9999
-36.090,1.000e-01,4.272147e+05,3.055334e-07,B-HEAT,2.083000e+03,2.170486e+06,0.6312
-36.090,1.000e-02,4.272147e+06,3.714633e-08,B-KINETIC,1.713300e+04,1.467784e+08,0.9929
-36.090,1.000e-03,4.272147e+07,3.714633e-09,B-KINETIC,1.713220e+05,1.467561e+10,0.9999
-35.602,1.000e-01,4.045874e+05,3.052189e-07,B-HEAT,2.086000e+03,2.175698e+06,0.6314
-35.602,1.000e-02,4.045874e+06,3.914311e-08,B-KINETIC,1.625900e+04,1.321857e+08,0.9926
-35.602,1.000e-03,4.045874e+07,3.914311e-09,B-KINETIC,1.625820e+05,1.321645e+10,0.9999
-35.113,1.000e-01,3.832431e+05,3.049055e-07,B-HEAT,2.088000e+03,2.179872e+06,0.6317
-35.113,1.000e-02,3.832431e+06,4.123830e-08,B-KINETIC,1.543300e+04,1.190965e+08,0.9922
-35.113,1.000e-03,3.832431e+07,4.123830e-09,B-KINETIC,1.543220e+05,1.190764e+10,0.9999
-34.624,1.000e-01,3.631045e+05,3.045929e-07,B-HEAT,2.090000e+03,2.184050e+06,0.6320
-34.624,1.000e-02,3.631045e+06,4.343629e-08,B-KINETIC,1.465200e+04,1.073406e+08,0.9918
-34.624,1.000e-03,3.631045e+07,4.343629e-09,B-KINETIC,1.465130e+05,1.073310e+10,0.9999
-34.135,1.000e-01,3.440990e+05,3.042814e-07,B-HEAT,2.092000e+03,2.188232e+06,0.6323
-34.135,1.000e-02,3.440990e+06,4.574167e-08,B-KINETIC,1.391300e+04,9.679274e+07,0.9913
-34.135,1.000e-03,3.440990e+07,4.574167e-09,B-KINETIC,1.391290e+05,9.678509e+09,0.9999
