alpha_c,T_C,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin,Lstar_m
1.000000e-04,-40.0,6.656364e+08,2.424083e-10,B-KINETIC,2.625307e+06,3.446120e+12,1.0000,1.249588e-03
1.000000e-04,-20.0,7.940954e+07,1.871412e-09,B-KINETIC,3.400630e+05,5.782159e+10,1.0000,1.391841e-03
1.000000e-04,-5.0,1.977532e+07,7.094450e-09,B-KINETIC,8.970400e+04,4.023404e+09,1.0000,1.500857e-03
1.131128e-04,-40.0,5.884714e+08,2.741948e-10,B-KINETIC,2.320964e+06,2.693437e+12,1.0000,1.104728e-03
1.131128e-04,-20.0,7.020386e+07,2.116806e-09,B-KINETIC,3.006400e+05,4.519220e+10,1.0000,1.230489e-03
1.131128e-04,-5.0,1.748283e+07,8.024730e-09,B-KINETIC,7.930500e+04,3.144681e+09,1.0000,1.326868e-03
1.279450e-04,-40.0,5.202519e+08,3.101494e-10,B-KINETIC,2.051903e+06,2.105154e+12,1.0000,9.766602e-04
1.279450e-04,-20.0,6.206536e+07,2.394378e-09,B-KINETIC,2.657880e+05,3.532163e+10,1.0000,1.087843e-03
1.279450e-04,-5.0,1.545610e+07,9.076996e-09,B-KINETIC,7.011100e+04,2.457811e+09,1.0000,1.173049e-03
1.447222e-04,-40.0,4.599408e+08,3.508186e-10,B-KINETIC,1.814032e+06,1.645356e+12,1.0000,8.634392e-04
1.447222e-04,-20.0,5.487033e+07,2.708348e-09,B-KINETIC,2.349760e+05,2.760686e+10,1.0000,9.617329e-04
1.447222e-04,-5.0,1.366433e+07,1.026724e-08,B-KINETIC,6.198400e+04,1.921008e+09,1.0000,1.037061e-03
1.636993e-04,-40.0,4.066214e+08,3.968207e-10,B-KINETIC,1.603738e+06,1.285988e+12,1.0000,7.633436e-04
1.636993e-04,-20.0,4.850939e+07,3.063488e-09,B-KINETIC,2.077360e+05,2.157712e+10,1.0000,8.502424e-04
1.636993e-04,-5.0,1.208027e+07,1.161356e-08,B-KINETIC,5.479800e+04,1.501410e+09,1.0000,9.168380e-04
1.851648e-04,-40.0,3.594832e+08,4.488549e-10,B-KINETIC,1.417822e+06,1.005110e+12,1.0000,6.748517e-04
1.851648e-04,-20.0,4.288586e+07,3.465197e-09,B-KINETIC,1.836540e+05,1.686440e+10,1.0000,7.516766e-04
1.851648e-04,-5.0,1.067984e+07,1.313643e-08,B-KINETIC,4.844600e+04,1.173507e+09,1.0000,8.105520e-04
2.094451e-04,-40.0,3.178095e+08,5.077123e-10,B-KINETIC,1.253459e+06,7.855804e+11,1.0000,5.966184e-04
2.094451e-04,-20.0,3.791425e+07,3.919581e-09,B-KINETIC,1.623640e+05,1.318103e+10,1.0000,6.645373e-04
2.094451e-04,-5.0,9.441766e+06,1.485898e-08,B-KINETIC,4.283000e+04,9.172044e+08,0.9999,7.165874e-04
2.369092e-04,-40.0,2.809669e+08,5.742876e-10,B-KINETIC,1.108149e+06,6.139977e+11,1.0000,5.274544e-04
2.369092e-04,-20.0,3.351898e+07,4.433547e-09,B-KINETIC,1.435420e+05,1.030215e+10,1.0000,5.874997e-04
2.369092e-04,-5.0,8.347213e+06,1.680740e-08,B-KINETIC,3.786500e+04,7.168980e+08,0.9999,6.335158e-04
2.679746e-04,-40.0,2.483953e+08,6.495927e-10,B-KINETIC,9.796850e+05,4.798918e+11,1.0000,4.663084e-04
2.679746e-04,-20.0,2.963323e+07,5.014908e-09,B-KINETIC,1.269010e+05,8.051995e+09,1.0000,5.193928e-04
2.679746e-04,-5.0,7.379549e+06,1.901132e-08,B-KINETIC,3.347500e+04,5.603046e+08,0.9999,5.600745e-04
3.031136e-04,-40.0,2.195997e+08,7.347724e-10,B-KINETIC,8.661140e+05,3.750767e+11,1.0000,4.122508e-04
3.031136e-04,-20.0,2.619795e+07,5.672503e-09,B-KINETIC,1.121900e+05,6.293298e+09,1.0000,4.591813e-04
3.031136e-04,-5.0,6.524062e+06,2.150424e-08,B-KINETIC,2.959400e+04,4.379024e+08,0.9999,4.951469e-04
