law,R,f,eps_over_R,eps,N,k,k_sharp,rel_err,phi_bar,ksp_its,run_dir
arithmetic,0.000125,0.049087385212340524,0.01,1.25e-06,4096,0.02223274391721,0.02202729014378651,0.009327237807390754,0.0491035343147,64,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R125_e0.01
arithmetic,0.000175,0.09621127501618741,0.01,1.75e-06,2926,0.02462413232831,0.02417681498872724,0.018501913498172762,0.09624292725827,55,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R175_e0.01
arithmetic,0.00025,0.1963495408493621,0.01,2.5e-06,2048,0.03073592301694,0.029568400343567378,0.03948548652638273,0.1964141372588,55,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R250_e0.01
arithmetic,0.0003,0.28274333882308134,0.01,2.9999999999999997e-06,1708,0.03758286694752,0.03543027095262313,0.060755843436119505,0.2828363576523,53,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R300_e0.01
arithmetic,0.00035,0.38484510006474965,0.01,3.5e-06,1464,0.04877629120396,0.044583439767597766,0.09404504134760594,0.3849717090283,51,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R350_e0.01
arithmetic,0.00039999999999999996,0.5026548245743669,0.01,4e-06,1280,0.070245467094655,0.06055884464895237,0.15995388455400783,0.5028201913825,50,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R400_e0.01
arithmetic,0.000125,0.049087385212340524,0.02,2.5e-06,2048,0.02244858993624,0.02202729014378651,0.019126265178485147,0.04915198162198,54,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R125_e0.02
arithmetic,0.000175,0.09621127501618741,0.02,3.5e-06,1464,0.02509915430708,0.02417681498872724,0.038149744653413364,0.09633788397935,48,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R175_e0.02
arithmetic,0.00025,0.1963495408493621,0.02,5e-06,1024,0.03201165707912,0.029568400343567378,0.08263067014662351,0.1966079264878,48,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R250_e0.02
arithmetic,0.0003,0.28274333882308134,0.02,5.999999999999999e-06,854,0.040019331110935,0.03543027095262313,0.12952371051433098,0.2831154141427,47,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R300_e0.02
arithmetic,0.00035,0.38484510006474965,0.02,7e-06,732,0.05384894582405,0.044583439767597766,0.2078239387707852,0.3853515359153,46,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R350_e0.02
arithmetic,0.00039999999999999996,0.5026548245743669,0.02,8e-06,640,0.083954876093705,0.06055884464895237,0.3863354986439187,0.5033162725819,45,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R400_e0.02
arithmetic,0.000125,0.049087385212340524,0.04,5e-06,1024,0.02291305459754,0.02202729014378651,0.04021213903169785,0.04934577085113,46,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R125_e0.04
arithmetic,0.000175,0.09621127501618741,0.04,7e-06,732,0.02613942884523,0.02417681498872724,0.0811775189336501,0.09671771086863,47,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R175_e0.04
arithmetic,0.00025,0.1963495408493621,0.04,1e-05,512,0.03494530067736,0.029568400343567378,0.18184616926570962,0.1973830834044,44,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R250_e0.04
arithmetic,0.0003,0.28274333882308134,0.04,1.1999999999999999e-05,428,0.04600223724918,0.03543027095262313,0.29838796069873563,0.2842316395509,42,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__arithmetic_R300_e0.04
