label,law,R,eps_over_R,eps,N
arithmetic_R125_e0.04,arithmetic,0.000125,0.04,5e-06,1024
tensor_R125_e0.04,tensor,0.000125,0.04,5e-06,1024
arithmetic_R125_e0.02,arithmetic,0.000125,0.02,2.5e-06,2048
tensor_R125_e0.02,tensor,0.000125,0.02,2.5e-06,2048
arithmetic_R125_e0.01,arithmetic,0.000125,0.01,1.25e-06,4096
tensor_R125_e0.01,tensor,0.000125,0.01,1.25e-06,4096
arithmetic_R175_e0.04,arithmetic,0.000175,0.04,7e-06,732
tensor_R175_e0.04,tensor,0.000175,0.04,7e-06,732
arithmetic_R175_e0.02,arithmetic,0.000175,0.02,3.5e-06,1464
tensor_R175_e0.02,tensor,0.000175,0.02,3.5e-06,1464
arithmetic_R175_e0.01,arithmetic,0.000175,0.01,1.75e-06,2926
tensor_R175_e0.01,tensor,0.000175,0.01,1.75e-06,2926
arithmetic_R250_e0.04,arithmetic,0.00025,0.04,1e-05,512
tensor_R250_e0.04,tensor,0.00025,0.04,1e-05,512
arithmetic_R250_e0.02,arithmetic,0.00025,0.02,5e-06,1024
tensor_R250_e0.02,tensor,0.00025,0.02,5e-06,1024
arithmetic_R250_e0.01,arithmetic,0.00025,0.01,2.5e-06,2048
tensor_R250_e0.01,tensor,0.00025,0.01,2.5e-06,2048
arithmetic_R300_e0.04,arithmetic,0.0003,0.04,1.1999999999999999e-05,428
tensor_R300_e0.04,tensor,0.0003,0.04,1.1999999999999999e-05,428
arithmetic_R300_e0.02,arithmetic,0.0003,0.02,5.999999999999999e-06,854
tensor_R300_e0.02,tensor,0.0003,0.02,5.999999999999999e-06,854
arithmetic_R300_e0.01,arithmetic,0.0003,0.01,2.9999999999999997e-06,1708
tensor_R300_e0.01,tensor,0.0003,0.01,2.9999999999999997e-06,1708
arithmetic_R350_e0.04,arithmetic,0.00035,0.04,1.4e-05,366
tensor_R350_e0.04,tensor,0.00035,0.04,1.4e-05,366
arithmetic_R350_e0.02,arithmetic,0.00035,0.02,7e-06,732
tensor_R350_e0.02,tensor,0.00035,0.02,7e-06,732
arithmetic_R350_e0.01,arithmetic,0.00035,0.01,3.5e-06,1464
tensor_R350_e0.01,tensor,0.00035,0.01,3.5e-06,1464
arithmetic_R400_e0.04,arithmetic,0.00039999999999999996,0.04,1.6e-05,320
tensor_R400_e0.04,tensor,0.00039999999999999996,0.04,1.6e-05,320
arithmetic_R400_e0.02,arithmetic,0.00039999999999999996,0.02,8e-06,640
tensor_R400_e0.02,tensor,0.00039999999999999996,0.02,8e-06,640
arithmetic_R400_e0.01,arithmetic,0.00039999999999999996,0.01,4e-06,1280
tensor_R400_e0.01,tensor,0.00039999999999999996,0.01,4e-06,1280
