T_C,sigma0,sigma,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D
-40.000,1.100000e-01,1.000e-01,3.328711e-01,1.999682e+05,9.255371e-08,B-HEAT,6.876000e+03,2.363969e+07
-40.000,1.100000e-01,1.000e-02,1.670170e-05,3.985441e+09,4.048631e-11,B-KINETIC,1.571880e+07,1.235403e+14
-40.000,1.100000e-01,2.700e-03,2.025448e-18,3.286366e+22,4.909854e-24,B-KINETIC,1.296161e+20,8.400166e+39
-40.000,1.100000e-01,4.500e-04,1.000000e-30,6.656364e+34,2.424083e-36,B-KINETIC,2.625307e+32,3.446118e+64
-39.511,1.078958e-01,1.000e-01,3.399495e-01,1.850976e+05,9.053172e-08,B-HEAT,7.030000e+03,2.471045e+07
-39.511,1.078958e-01,1.000e-02,2.061316e-05,3.052606e+09,5.274781e-11,B-KINETIC,1.206488e+07,7.278069e+13
-39.511,1.078958e-01,2.700e-03,4.415499e-18,1.425067e+22,1.129899e-23,B-KINETIC,5.632326e+19,1.586155e+39
-39.511,1.078958e-01,4.500e-04,1.000000e-30,6.292385e+34,2.558939e-36,B-KINETIC,2.486953e+32,3.092468e+64
-39.023,1.058064e-01,1.000e-01,3.471271e-01,1.713979e+05,8.856721e-08,B-HEAT,7.186000e+03,2.581930e+07
-39.023,1.058064e-01,1.000e-02,2.540301e-05,2.342119e+09,6.860545e-11,B-KINETIC,9.276174e+06,4.302370e+13
-39.023,1.058064e-01,2.700e-03,9.573174e-18,6.214957e+21,2.585410e-23,B-KINETIC,2.461490e+19,3.029466e+38
-39.023,1.058064e-01,4.500e-04,1.000000e-30,5.949687e+34,2.700683e-36,B-KINETIC,2.356427e+32,2.776374e+64
-38.534,1.037319e-01,1.000e-01,3.544034e-01,1.587724e+05,8.665842e-08,B-HEAT,7.344000e+03,2.696717e+07
-38.534,1.037319e-01,1.000e-02,3.125928e-05,1.800089e+09,8.907749e-11,B-KINETIC,7.144298e+06,2.552050e+13
-38.534,1.037319e-01,2.700e-03,2.064128e-17,2.726065e+21,5.882010e-23,B-KINETIC,1.081936e+19,5.852932e+37
-38.534,1.037319e-01,4.500e-04,1.000000e-30,5.626949e+34,2.849634e-36,B-KINETIC,2.233256e+32,2.493715e+64
-38.045,1.016724e-01,1.000e-01,3.617781e-01,1.471326e+05,8.480365e-08,B-HEAT,7.505000e+03,2.816626e+07
-38.045,1.016724e-01,1.000e-02,3.840807e-05,1.385890e+09,1.154595e-10,B-KINETIC,5.511858e+06,1.519029e+13
-38.045,1.016724e-01,2.700e-03,4.425976e-17,1.202658e+21,1.330504e-22,B-KINETIC,4.783121e+18,1.143912e+37
