name,porosity,n_grains,coordination_number,coordination_at_band,solid_perc_x,solid_perc_y,pore_perc_x,pore_perc_y,pore_n_clusters,pore_largest_frac,open_perc_x,open_perc_y,open_n_clusters,open_largest_frac,open_area_frac_of_pore
phi0.30_seed1,0.3,327,1.988,3.627,1,1,0,0,395,0.2185,0,0,314,0.1729,0.7435
phi0.30_seed2,0.30021,315,2.108,3.74,1,1,0,0,354,0.4167,0,0,303,0.274,0.7539
phi0.30_seed3,0.30005,284,1.993,3.345,1,1,0,0,337,0.319,0,0,226,0.1796,0.7559
phi0.35_seed1,0.34994,290,2.0,3.172,1,1,0,0,344,0.3522,0,0,206,0.1004,0.7955
phi0.35_seed2,0.35003,294,2.054,3.497,1,1,0,0,326,0.5234,0,0,251,0.3872,0.8008
phi0.35_seed3,0.35006,265,2.091,3.223,1,1,0,0,363,0.1794,0,0,199,0.1574,0.8043
phi0.40_seed1,0.39991,270,1.985,3.03,1,1,0,0,297,0.4525,0,0,171,0.2727,0.8319
phi0.40_seed2,0.40007,280,1.986,3.214,1,1,0,0,339,0.3748,0,0,199,0.2671,0.8337
phi0.40_seed3,0.40022,247,1.895,2.947,0,1,0,1,278,0.4997,0,0,145,0.3362,0.8376
phi0.45_seed1,0.44991,250,1.944,2.784,0,1,0,1,229,0.597,0,1,129,0.4942,0.86
phi0.45_seed2,0.45007,255,1.914,2.776,0,1,0,1,248,0.4313,0,0,138,0.3918,0.8606
phi0.45_seed3,0.45,226,1.894,2.717,0,1,0,1,228,0.3662,0,0,107,0.3124,0.8657
phi0.50_seed1,0.49988,231,1.957,2.589,1,1,0,0,235,0.5287,0,0,100,0.4575,0.8827
phi0.50_seed2,0.50013,232,1.888,2.405,0,0,1,1,256,0.4887,0,0,72,0.4596,0.8834
phi0.50_seed3,0.50026,203,1.921,2.522,0,0,1,1,197,0.3568,0,0,79,0.2479,0.8897
