# 2D packing, generated 2026-09-16T18:50:09.994043+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.325069  (target 0.325000)
# 303 distinct grains; 333 rows including 30 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
6.819917095399e-05 3.904396285521e-06 2.897751492544e-06
7.525701402951e-05 7.448591246752e-06 5.000000000000e-06
8.254930994273e-05 2.553789647238e-06 3.782790452545e-06
8.254930994273e-05 1.025537896472e-04 3.782790452545e-06
6.166337488639e-05 2.948855830453e-06 2.491189129239e-06
4.357165236821e-05 6.508916309989e-07 3.701447102012e-06
4.357165236821e-05 1.006508916310e-04 3.701447102012e-06
8.881588805204e-05 3.209673485310e-06 2.382336372174e-06
8.523471410556e-05 1.091594804375e-05 5.000000000000e-06
1.656128961969e-05 3.102828952528e-06 3.050553448390e-06
5.074903551121e-05 3.490993691743e-06 4.017364865383e-06
5.074903551121e-05 1.034909936917e-04 4.017364865383e-06
6.653263970755e-05 1.167519621724e-05 4.694306720705e-06
6.032128457882e-05 1.142031200763e-05 1.522285774464e-06
7.261359754462e-05 1.329616364857e-05 1.417305368683e-06
1.940951741570e-06 2.158275338322e-06 2.633901032509e-06
1.940951741570e-06 1.021582753383e-04 2.633901032509e-06
1.019409517416e-04 2.158275338322e-06 2.633901032509e-06
1.019409517416e-04 1.021582753383e-04 2.633901032509e-06
9.329668457269e-05 2.385704251915e-06 1.921324655160e-06
-2.754370109918e-06 6.020286575651e-06 3.445670928068e-06
9.724562989008e-05 6.020286575651e-06 3.445670928068e-06
3.334014732640e-06 6.064546604366e-06 1.509436913027e-06
2.269411891920e-06 1.139754636362e-05 3.913248195179e-06
1.022694118919e-04 1.139754636362e-05 3.913248195179e-06
5.595115915845e-05 1.700290396492e-06 1.452225880262e-06
1.131676102998e-05 3.932228066970e-06 2.259159718381e-06
4.547614312933e-05 5.547477471345e-06 1.552469337283e-06
6.113744957663e-05 1.464304933388e-05 1.463324288249e-06
9.199232869147e-05 9.360061974450e-06 1.934416878598e-06
9.676136000867e-06 9.426288904535e-06 3.474642841884e-06
5.467426526525e-05 1.468394730530e-05 5.000000000000e-06
7.269179406818e-06 1.407038905520e-05 1.756149775092e-06
4.732107860490e-05 7.732056083416e-06 1.306931058137e-06
9.136054842542e-05 1.265720160548e-05 1.368504238953e-06
7.943972037417e-05 1.150203686637e-05 8.245581233108e-07
9.550283639404e-05 1.122006870550e-05 2.038403542422e-06
1.327042576074e-05 1.717365661099e-05 5.000000000000e-06
6.317002797563e-05 1.775946908265e-05 2.257356977130e-06
4.393556082904e-05 8.924019854453e-06 2.158922893255e-06
7.931883939064e-05 1.655053163162e-05 3.169833233082e-06
7.457187699709e-05 1.638602967581e-05 1.579980558147e-06
9.751303862790e-05 1.436120359496e-05 1.690895157984e-06
8.949245519294e-05 1.601287401254e-05 1.641324093924e-06
7.036790514724e-05 1.848011307366e-05 3.116674924425e-06
4.853400797504e-05 1.673171710570e-05 1.472729958475e-06
6.260562262791e-06 1.744566593943e-05 1.766609758182e-06
9.326637642029e-05 1.561858714025e-05 2.153143698554e-06
4.777775040196e-05 1.145202718914e-05 2.440342460961e-06
7.297574824200e-06 2.193030863158e-05 2.632502798700e-06
-2.846682615571e-06 1.911037911139e-05 3.071890643856e-06
9.715331738443e-05 1.911037911139e-05 3.071890643856e-06
6.518935659471e-05 2.473022769674e-05 5.000000000000e-06
7.402964434598e-05 2.459825550561e-05 3.818750406236e-06
4.432842186004e-05 1.663402524335e-05 2.733994848684e-06
5.958529727763e-05 1.957785720270e-05 1.729523950517e-06
8.952181452970e-05 1.953685435091e-05 1.882787230634e-06
2.147624220830e-05 1.708552965784e-05 3.206302635323e-06
5.639455962150e-05 2.171858787137e-05 2.111819694817e-06
7.054150915929e-05 2.858094284514e-05 1.475456861760e-06
9.750496683169e-07 1.945166452890e-05 7.636679120323e-07
2.663963598753e-05 1.709771934495e-05 1.957115363258e-06
3.214051668336e-05 1.699188305826e-05 3.544789706942e-06
9.274266972804e-05 2.245588132264e-05 2.464012737346e-06
5.018542882881e-05 2.078774736776e-05 2.576679411113e-06
4.619703281007e-05 2.100281387562e-05 1.417513194677e-06
7.386935682540e-05 3.133481455252e-05 2.844064875328e-06
1.169125147231e-05 2.434683654924e-05 2.344953228998e-06
1.367635813416e-06 2.465687698018e-05 3.894044388164e-06
1.013676358134e-04 2.465687698018e-05 3.894044388164e-06
9.636114601029e-05 2.338001046644e-05 1.270607784980e-06
7.903493061138e-05 3.133483200791e-05 2.321508927968e-06
8.528192305335e-05 2.461131626220e-05 4.729844241096e-06
6.912760522588e-05 3.174838930561e-05 1.915688538687e-06
8.636616460733e-06 2.508937282521e-05 7.986368665991e-07
7.114176796644e-06 2.915308968828e-05 3.402444899788e-06
2.800700030951e-05 2.034149198941e-05 1.546792815857e-06
9.377737896950e-05 2.984782336374e-05 5.000000000000e-06
4.736134796677e-05 2.341376431420e-05 1.259798642044e-06
1.844925148530e-05 1.992101772001e-05 8.624457692200e-07
1.754707179294e-05 2.226507910781e-05 1.649238072953e-06
5.875191014873e-05 2.437901832357e-05 1.442753655001e-06
1.234420392132e-06 3.111318248209e-05 2.563637829880e-06
1.012344203921e-04 3.111318248209e-05 2.563637829880e-06
6.638956953016e-05 3.174854643127e-05 8.223281270692e-07
2.369605579673e-05 2.416594797604e-05 4.213933548683e-06
8.668149131397e-05 3.148159320429e-05 2.281540980080e-06
1.685270181341e-05 2.705494611989e-05 3.190701558266e-06
4.227307200049e-05 2.150316214365e-05 2.538221575557e-06
-1.100515252715e-06 3.724285672396e-05 3.995694418649e-06
9.889948474729e-05 3.724285672396e-05 3.995694418649e-06
9.394044457661e-05 3.861987482355e-05 1.150980251337e-06
5.830613947476e-05 2.912481913321e-05 3.166237665635e-06
2.088246877150e-05 2.837797944112e-05 8.513880842214e-07
1.997667048355e-05 3.230153335151e-05 2.915514830876e-06
1.141587801104e-05 2.902254810058e-05 9.012380033292e-07
4.645870091370e-06 3.357614819724e-05 1.643998288093e-06
5.014053920435e-05 2.902279053128e-05 5.000000000000e-06
6.591519776624e-05 3.617571916512e-05 3.554303410425e-06
3.668859614682e-05 2.177117072927e-05 3.052684504355e-06
3.022495046683e-05 2.456173753553e-05 2.326946941149e-06
6.249390280547e-05 3.026927828086e-05 1.160079062406e-06
2.836873214508e-05 2.948853145766e-05 2.868707359174e-06
1.372166546654e-05 3.167415197085e-05 2.389663506745e-06
8.280164115957e-05 3.133483200780e-05 1.445201629103e-06
2.461662037809e-05 2.994853268027e-05 9.076540632502e-07
2.554617069144e-05 3.489071178603e-05 3.226406038450e-06
5.885382356965e-06 3.809315660935e-05 3.039991827372e-06
3.410052167057e-05 2.581087722727e-05 1.744957265969e-06
7.110207148696e-05 3.425895463981e-05 1.181874605639e-06
3.215083679935e-05 3.488755842664e-05 3.378261128217e-06
7.680378158803e-05 3.454368234988e-05 1.504231486799e-06
