# 2D packing, generated 2026-09-15T23:57:47.034353+00:00
# generator = preprocess/generate_packing_gravity.py
# periodic axes = xy
# porosity_achieved = 0.500288  (target 0.500000)
# 203 distinct grains; 221 rows including 18 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-04 1.000000000000e-04
2.791235352165e-05 4.840567579398e-06 2.897486083301e-06
6.836439814179e-05 2.608759015787e-06 1.416318303042e-06
1.723537658445e-05 2.741816476518e-06 3.429999843676e-06
1.723537658445e-05 1.027418164765e-04 3.429999843676e-06
3.218797882733e-05 7.812463611691e-06 2.309541646727e-06
7.277532403984e-05 7.114958988577e-07 5.364454382372e-07
6.610035775227e-05 5.845025687934e-06 2.533276721592e-06
8.567183082073e-05 1.958219274585e-06 4.455279577666e-06
8.567183082073e-05 1.019582192746e-04 4.455279577666e-06
7.062429654203e-05 5.879621271206e-06 1.990785345614e-06
9.120223230575e-05 6.889600760514e-06 2.954471801155e-06
5.427273603072e-05 2.412686750391e-06 1.981543876171e-06
6.109300331985e-05 5.845025687934e-06 2.474077710823e-06
2.179359643199e-05 7.439114132775e-06 3.115386174026e-06
7.357548180998e-05 2.146361300908e-06 9.722543419569e-07
9.435884367401e-05 9.834210547650e-06 1.362390530995e-06
8.180825425493e-05 5.517501926107e-06 7.978833223252e-07
-1.575021563995e-06 1.178109210459e-05 3.145839309913e-06
9.842497843601e-05 1.178109210459e-05 3.145839309913e-06
8.046730086094e-05 2.044065659626e-06 7.499775860321e-07
6.605050051815e-06 3.756421818452e-06 4.887157506872e-06
6.605050051815e-06 1.037564218185e-04 4.887157506872e-06
1.818071368466e-05 1.191171060328e-05 2.634139873582e-06
1.111581171887e-05 1.251049602428e-05 4.456092243794e-06
9.239218420358e-05 1.728778438510e-05 5.000000000000e-06
2.356531661807e-05 1.419812945533e-05 3.215788713529e-06
6.893556062477e-05 1.017771444419e-05 2.627161592350e-06
6.592741505973e-05 1.297248821027e-05 1.478710047744e-06
5.570900689196e-05 1.008149236796e-05 4.376839561083e-06
6.838813833017e-05 1.488427941134e-05 1.637394036647e-06
5.171258647828e-05 1.563909481496e-05 2.468474243390e-06
4.826786219462e-05 1.684566816976e-05 1.181449680610e-06
4.623092177630e-05 1.954648251997e-05 2.201378192943e-06
7.779109011276e-05 5.648364274921e-06 3.221411963812e-06
3.412567684783e-06 1.242145143241e-05 1.882711283275e-06
1.891173129164e-05 1.645138046801e-05 1.953501081243e-06
8.733465586729e-05 2.225287202728e-05 2.087361156800e-06
3.662175291553e-05 9.593281725268e-06 2.468498309034e-06
5.144130305794e-05 2.402231348147e-05 4.667474396537e-06
5.657632282828e-05 2.588737949725e-05 7.957571823898e-07
5.611594715939e-05 2.826640429125e-05 1.627402888047e-06
9.721848080389e-05 2.033157030022e-05 7.059417777586e-07
7.504216670790e-05 1.206729073953e-05 3.761366744842e-06
8.260909433788e-05 7.513288021455e-06 1.352583500281e-06
4.534629075715e-05 2.730330131574e-05 2.254523589265e-06
3.006256359677e-05 1.922654468875e-05 5.000000000000e-06
3.597350773714e-05 2.496500931315e-05 3.238278985374e-06
6.137085917815e-05 3.230476642404e-05 5.000000000000e-06
4.079706295068e-05 3.212360830866e-05 4.373510292754e-06
7.156418951715e-05 1.666551970469e-05 2.004050487185e-06
1.426859985632e-05 2.119201675862e-05 4.682182905011e-06
3.703927061468e-05 3.713971591343e-05 1.894052131593e-06
3.234195414298e-05 3.741344200143e-05 2.811232982673e-06
9.632919730032e-05 2.231504922150e-05 1.385410234212e-06
2.000627291231e-05 2.899097654239e-05 5.000000000000e-06
3.560095408432e-05 4.049051319436e-05 1.670892377471e-06
5.360956540348e-05 2.942013778396e-05 1.131772800194e-06
7.844776695006e-06 2.605708040259e-05 3.376002267085e-06
6.884813804961e-05 3.369477113126e-05 2.605380490658e-06
7.922947918659e-08 2.231504922150e-05 2.364621944656e-06
1.000792294792e-04 2.231504922150e-05 2.364621944656e-06
5.439750076076e-05 3.238033630552e-05 1.931496272919e-06
2.891479207112e-06 2.889507826318e-05 2.332709309117e-06
1.438152433097e-05 3.270188369005e-05 1.738592468890e-06
9.357952662232e-05 2.405287215653e-05 1.867391233898e-06
-7.782284974281e-07 3.079658143506e-05 1.800385046137e-06
9.922177150257e-05 3.079658143506e-05 1.800385046137e-06
4.568918375999e-05 3.805358827448e-05 3.313980091499e-06
2.435104791100e-05 3.799780340931e-05 5.000000000000e-06
4.042740042426e-05 4.220167064425e-05 3.386240145074e-06
7.275165517455e-05 3.676347966899e-05 2.359941053236e-06
3.426353004504e-05 4.588068208122e-05 3.792089967507e-06
5.121791816716e-05 3.943265343781e-05 2.384153363386e-06
5.393816906800e-05 4.276197330073e-05 1.915164688719e-06
4.664083826317e-05 4.464479013948e-05 3.290259135684e-06
5.963173639315e-05 4.668661261997e-05 5.000000000000e-06
3.321687320660e-06 3.622207008221e-05 5.000000000000e-06
1.033216873207e-04 3.622207008221e-05 5.000000000000e-06
7.693325310080e-05 3.676347966899e-05 1.821656873018e-06
5.259150781142e-05 5.086225780786e-05 3.185403546441e-06
8.964216067612e-05 2.641028993634e-05 2.667499736362e-06
5.831518655234e-05 5.664184959936e-05 4.948733138272e-06
6.754033078774e-05 3.989989585575e-05 3.722411153035e-06
6.573386186462e-05 4.465551480451e-05 1.364753239430e-06
7.972633271225e-05 3.795961064640e-05 1.216767559316e-06
-2.012739457806e-06 4.308815322502e-05 3.694780433046e-06
9.798726054219e-05 4.308815322502e-05 3.694780433046e-06
8.411193501517e-05 2.771504532242e-05 3.014558207601e-06
6.578231343538e-05 5.695977561968e-05 2.525158809153e-06
3.850143028388e-05 4.971469764262e-05 1.922756816044e-06
1.086811307550e-05 3.949531633036e-05 3.225732956661e-06
8.831722351667e-05 3.209529691280e-05 3.057595889250e-06
1.676182239253e-05 4.345663841456e-05 3.875526239316e-06
9.165677003961e-05 3.514040121843e-05 1.461832305890e-06
2.997404130398e-05 4.158027510153e-05 1.667245167466e-06
6.857497753884e-05 6.083676442476e-05 2.252917685569e-06
4.744895118250e-05 5.158360836456e-05 2.007498850804e-06
7.283447101923e-05 6.090768250816e-05 2.007166126292e-06
8.250268138230e-05 3.966081728394e-05 2.039336855675e-06
4.218486879904e-05 5.418191896784e-05 3.862916920757e-06
2.777748107895e-05 4.277195670203e-05 8.317510028391e-07
2.254648916081e-05 4.483529935294e-05 2.071159863299e-06
2.012743503565e-05 4.931185929514e-05 2.878062438120e-06
8.941953963885e-05 3.593297707810e-05 9.116411739286e-07
1.128746576766e-05 4.572089861387e-05 2.048615445895e-06
3.881341388991e-05 5.794834684745e-05 1.192049664361e-06
7.648004482749e-05 6.460729625203e-05 3.186806365479e-06
6.368575120670e-05 6.049736030160e-05 1.587027782009e-06
3.528051699970e-05 5.128945175370e-05 1.662509268164e-06
5.374146535984e-05 6.245564147251e-05 2.448502932798e-06
4.994575462447e-05 6.349791384062e-05 1.487707386271e-06
4.344022207612e-05 6.295548064448e-05 5.000000000000e-06
1.618313837465e-05 5.274555192203e-05 2.351442433847e-06
8.654062217389e-05 4.082262242338e-05 2.162419564970e-06
2.467280776061e-05 4.977997878832e-05 1.691352083309e-06
2.055718354654e-05 5.457692009150e-05 2.390517133449e-06
4.884037168774e-05 6.605216313502e-05 1.225034801112e-06
8.983201878313e-05 4.349327539890e-05 2.076174418291e-06
7.957320249358e-05 4.142894096826e-05 1.382374400777e-06
9.293161435186e-05 4.741853284758e-05 2.925339225409e-06
5.856511856161e-05 6.542396409089e-05 3.215291676620e-06
5.225197748260e-05 6.879681741327e-05 3.153570137292e-06
8.793608364462e-05 5.121978464974e-05 3.351988415429e-06
6.542175906685e-05 6.383476998539e-05 2.098038999307e-06
1.068918479255e-05 5.630727926581e-05 4.196032471311e-06
8.122640801609e-05 6.628189491160e-05 1.846308394664e-06
4.753436801750e-05 7.544699537469e-05 5.000000000000e-06
5.385703513715e-05 7.869190831669e-05 2.106727763678e-06
7.107576966103e-05 6.944519369861e-05 4.066568144257e-06
2.390878358994e-05 5.834047470291e-05 2.649082668522e-06
5.090300302514e-05 8.096972902990e-05 1.469025339340e-06
7.794506785567e-05 7.050056134786e-05 2.883328154392e-06
7.466647427824e-05 7.487525588476e-05 2.443327015694e-06
2.076387180283e-05 6.129037211977e-05 1.662803800143e-06
1.856745462961e-06 4.641942589800e-05 1.411127044941e-06
