sweep,eps,Nx,dx,elem_per_band_5_95,tot_ice,tot_air,interf,phi_bar_solver,phi_bar_clone,proj_worst,phi_min,phi_max
A_follow,4.0e-5,36,2.777778e-05,8.640,5.045e-07,4.955e-07,1.272e-08,5.045214686295068e-01,5.045214686295068e-01,0.000e+00,0.0027,0.9973
A_follow,2.0e-5,71,1.408451e-05,8.520,5.024e-07,4.976e-07,6.276e-09,5.023514772559040e-01,5.023514772559040e-01,0.000e+00,0.0000,1.0000
A_follow,1.0e-5,142,7.042254e-06,8.520,5.012e-07,4.988e-07,3.116e-09,5.011833289441915e-01,5.011833289441915e-01,0.000e+00,0.0000,1.0000
A_follow,5.0e-6,283,3.533569e-06,8.490,5.006e-07,4.994e-07,1.553e-09,5.005976110261090e-01,5.005976110261090e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,4.0e-5,142,7.042254e-06,34.080,5.003e-07,4.997e-07,1.302e-08,5.003070092508133e-01,5.003070092508133e-01,0.000e+00,0.0021,0.9979
B_fixed_mesh,2.0e-5,142,7.042254e-06,17.040,5.006e-07,4.994e-07,6.351e-09,5.006093858249310e-01,5.006093858249310e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,1.0e-5,142,7.042254e-06,8.520,5.012e-07,4.988e-07,3.116e-09,5.011833289441915e-01,5.011833289441915e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,5.0e-6,142,7.042254e-06,4.260,5.021e-07,4.979e-07,1.665e-09,5.021264919572727e-01,5.021264919572727e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,36,2.777778e-05,4.320,5.082e-07,4.918e-07,6.749e-09,5.081764019387434e-01,5.081764019387434e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,71,1.408451e-05,8.520,5.024e-07,4.976e-07,6.276e-09,5.023514772559040e-01,5.023514772559040e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,142,7.042254e-06,17.040,5.006e-07,4.994e-07,6.351e-09,5.006093858249310e-01,5.006093858249310e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,284,3.521127e-06,34.080,5.002e-07,4.998e-07,6.485e-09,5.001540404893211e-01,5.001540404893211e-01,0.000e+00,0.0000,1.0000
