series,kind,form,a,a_ci95,m,C,t0_s,r2,n_pts,t_lo_s,t_hi_s,rn_lo,rn_hi,R0_m,eps_m,rn_floor,rmin_used
open h=0.998,model,d_free,0.056723054496917606,0.0025056726524539928,17.62951605602165,1.529124131721284e-05,106.88998334926774,0.996754863909884,54,0.0001,7699.83,0.22936628242074927,0.2952736023054755,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
open h=0.998,model,d_fixed,0.01000518150474547,0.0022324548202078106,99.94821178663264,2.0624727143847848e-05,0.0,0.5974010730174887,54,0.0001,7699.83,0.22936628242074927,0.2952736023054755,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
open h=0.998,model,kucz,0.056998236781708414,0.0023939864974303724,17.54440236159928,0.009569087044114334,0.0,0.9965192657415968,54,0.0001,7699.83,0.22936628242074927,0.2952736023054755,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
sealed,model,d_free,0.07297965101402315,0.004406159914844196,13.702449739145074,1.3637524732008594e-05,183.57759027430487,0.9942016779968946,55,0.0001,10699.8,0.22936628242074927,0.3155221902017291,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
sealed,model,d_fixed,0.011630412149973065,0.0026564501928847935,85.98147572975871,2.0717113370672315e-05,0.0,0.5814825571288755,55,0.0001,10699.8,0.22936628242074927,0.3155221902017291,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
sealed,model,kucz,0.07411830092691161,0.004285880727421956,13.491944465727897,0.0054526154987918395,0.0,0.993574709377991,55,0.0001,10699.8,0.22936628242074927,0.3155221902017291,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
open h=1.000,model,d_free,0.07854897713634794,0.004708715811572319,12.730910528143054,1.3062594812142013e-05,220.72447343456852,0.9939620578542848,56,0.0001,14899.8,0.22936628242074927,0.3273887608069164,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
open h=1.000,model,d_fixed,0.012779537510731648,0.0028802363938722087,78.25009310080647,2.0776544879531376e-05,0.0,0.5834253121040681,56,0.0001,14899.8,0.22936628242074927,0.3273887608069164,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
open h=1.000,model,kucz,0.0800905875782249,0.004577521116516975,12.48586170033145,0.0044905108895234944,0.0,0.9933234262559033,56,0.0001,14899.8,0.22936628242074927,0.3273887608069164,8.675e-05,3.479e-07,0.21937296022352762,0.21937296022352762
Molaro 2019 data,data,d_free,0.2044426330734572,0.05283447416916733,4.891347685004112,5.76823771797862e-06,60.34815680745392,0.9861253799105083,8,120.0,4680.0,0.19684488375801878,0.37951224910251363,8.534638888888888e-05,nan,nan,0.0
Molaro 2019 data,data,d_fixed,0.18450982467102453,0.018977446359505722,5.419765596671993,6.769141139099359e-06,0.0,0.9837460594790253,8,120.0,4680.0,0.19684488375801878,0.37951224910251363,8.534638888888888e-05,nan,nan,0.0
Molaro 2019 data,data,kucz,0.2477819368338731,0.07527272408381755,4.035806696718398,0.002975178387025006,0.0,0.9742022086818832,8,120.0,4680.0,0.19684488375801878,0.37951224910251363,8.534638888888888e-05,nan,nan,0.0
