T_C,alpha_c,eps_m,Nx_times_Ny,tau_sub_s,beta_sub_s_per_m,Lstar_m,rneck_over_Lstar,res_floor_rR,kinetic_frac
-40.00,1.0000e-04,5.0000e-06,105740,1.5221e+07,6.6563e+08,1.2496e-03,0.0360,0.3464,0.9905
-39.02,1.0958e-04,5.0000e-06,105740,1.2473e+07,5.4270e+08,1.1466e-03,0.0392,0.3464,0.9896
-38.04,1.1993e-04,5.0000e-06,105740,1.0245e+07,4.4346e+08,1.0534e-03,0.0427,0.3464,0.9887
-37.06,1.3108e-04,5.0000e-06,105740,8.4342e+06,3.6318e+08,9.6908e-04,0.0464,0.3464,0.9876
-36.08,1.4308e-04,5.0000e-06,105740,6.9594e+06,2.9810e+08,8.9267e-04,0.0504,0.3464,0.9865
-35.09,1.5596e-04,5.0000e-06,105740,5.7558e+06,2.4523e+08,8.2338e-04,0.0547,0.3464,0.9853
-34.11,1.6977e-04,5.0000e-06,105740,4.7714e+06,2.0219e+08,7.6048e-04,0.0592,0.3464,0.9840
-33.13,1.8455e-04,5.0000e-06,105740,3.9646e+06,1.6708e+08,7.0335e-04,0.0640,0.3464,0.9827
-32.15,2.0033e-04,5.0000e-06,105740,3.3019e+06,1.3838e+08,6.5141e-04,0.0691,0.3464,0.9812
-31.17,2.1716e-04,5.0000e-06,105740,2.7564e+06,1.1488e+08,6.0414e-04,0.0745,0.3464,0.9797
-30.19,2.3506e-04,5.0000e-06,105740,2.3065e+06,9.5577e+07,5.6110e-04,0.0802,0.3464,0.9781
-29.21,2.5544e-04,5.0000e-06,105740,1.9245e+06,7.9274e+07,5.1906e-04,0.0867,0.3464,0.9762
-28.23,2.7740e-04,5.0000e-06,105740,1.6083e+06,6.5850e+07,4.8048e-04,0.0937,0.3464,0.9742
-27.25,3.0065e-04,5.0000e-06,105740,1.3479e+06,5.4853e+07,4.4565e-04,0.1010,0.3464,0.9721
-26.26,3.2519e-04,5.0000e-06,105740,1.1331e+06,4.5822e+07,4.1418e-04,0.1086,0.3464,0.9699
-25.28,3.5101e-04,5.0000e-06,105740,9.5526e+05,3.8387e+07,3.8572e-04,0.1167,0.3464,0.9676
-24.30,3.7809e-04,5.0000e-06,105740,8.0773e+05,3.2250e+07,3.5994e-04,0.1250,0.3464,0.9652
-23.32,4.0641e-04,5.0000e-06,105740,6.8501e+05,2.7172e+07,3.3659e-04,0.1337,0.3464,0.9627
-22.34,4.3592e-04,5.0000e-06,105740,5.8267e+05,2.2960e+07,3.1542e-04,0.1427,0.3464,0.9601
-21.36,4.6657e-04,5.0000e-06,105740,4.9710e+05,1.9458e+07,2.9621e-04,0.1519,0.3464,0.9574
-20.38,4.9829e-04,5.0000e-06,105740,4.2537e+05,1.6538e+07,2.7877e-04,0.1614,0.3464,0.9547
-19.40,5.4077e-04,5.0000e-06,105740,3.5880e+05,1.3842e+07,2.5818e-04,0.1743,0.3464,0.9510
-18.42,5.8998e-04,5.0000e-06,105740,3.0145e+05,1.1534e+07,2.3785e-04,0.1892,0.3464,0.9468
-17.43,6.3925e-04,5.0000e-06,105740,2.5519e+05,9.6834e+06,2.2062e-04,0.2040,0.3464,0.9426
-16.45,6.8802e-04,5.0000e-06,105740,2.1762e+05,8.1901e+06,2.0601e-04,0.2184,0.3464,0.9385
-15.47,7.3574e-04,5.0000e-06,105740,1.8688e+05,6.9770e+06,1.9362e-04,0.2324,0.3464,0.9346
-14.49,7.8187e-04,5.0000e-06,105740,1.6158e+05,5.9851e+06,1.8310e-04,0.2458,0.3464,0.9307
-13.51,8.2588e-04,5.0000e-06,105740,1.4062e+05,5.1687e+06,1.7421e-04,0.2583,0.3464,0.9271
-12.53,8.6732e-04,5.0000e-06,105740,1.2314e+05,4.4928e+06,1.6671e-04,0.2699,0.3464,0.9238
-11.55,9.0577e-04,5.0000e-06,105740,1.0848e+05,3.9297e+06,1.6042e-04,0.2805,0.3464,0.9207
-10.57,9.4089e-04,4.8680e-06,111650,9.0896e+04,3.4578e+06,1.5519e-04,0.2900,0.3418,0.9198
-9.58,9.6544e-04,4.7353e-06,118080,7.6943e+04,3.0822e+06,1.5198e-04,0.2961,0.3371,0.9200
-8.60,9.7940e-04,4.6591e-06,122061,6.7439e+04,2.7807e+06,1.5055e-04,0.2989,0.3344,0.9201
-7.62,9.9335e-04,4.5852e-06,126108,5.9187e+04,2.5108e+06,1.4916e-04,0.3017,0.3317,0.9202
-6.64,9.7920e-04,4.6429e-06,122427,5.6614e+04,2.3341e+06,1.5204e-04,0.2960,0.3338,0.9204
-5.66,9.2711e-04,4.8948e-06,110490,6.1152e+04,2.2604e+06,1.6136e-04,0.2789,0.3427,0.9205
-4.68,9.5209e-04,4.7576e-06,116887,5.1797e+04,2.0195e+06,1.5788e-04,0.2850,0.3379,0.9207
-3.70,9.7382e-04,4.6430e-06,122427,4.4433e+04,1.8126e+06,1.5510e-04,0.2901,0.3338,0.9208
-2.72,9.8772e-04,4.5694e-06,126480,3.9111e+04,1.6416e+06,1.5365e-04,0.2929,0.3312,0.9209
-1.74,1.0000e-03,4.5051e-06,130410,3.4634e+04,1.4902e+06,1.5248e-04,0.2951,0.3288,0.9211
