series,form,a,a_ci,m,C,t0,r2,n_pts,w_lo,w_hi
coarse (own range),d_free,0.20831866515485267,0.0016962267419668546,4.800337978628343,1.9402305692885837,264.4968642862351,0.999689818890128,53,13.66105,53.53935
coarse (own range),d_fixed,0.18870864410625313,0.004252341304353322,5.299174315708326,2.3988376552229784,0.0,0.9933040396013786,53,13.66105,53.53935
coarse (own range),kucz,0.21101576111515793,0.0025057779009844115,4.738982504033282,0.002206787683232297,0.0,0.9991087970116096,53,13.66105,53.53935
fine (own range),d_free,0.2187151200365938,0.006202447685031187,4.572157607725919,0.7724654634701117,73.10481636784215,0.9949846760765935,57,4.654089,25.55594
fine (own range),d_fixed,0.21160305717538783,0.004254824786094193,4.725829642296458,0.8334761112583466,0.0,0.9942447612678423,57,4.654089,25.55594
fine (own range),kucz,0.23587188323899957,0.00543894358166771,4.2395896715961685,0.00427083873012517,0.0,0.9955799076241105,57,4.654089,25.55594
coarse (shared arm window),d_free,0.2381298937770425,0.00461290247420612,4.199388762740915,1.497729615703019,451.45927091136775,0.9998867808926731,16,13.66105,24.91218
coarse (shared arm window),d_fixed,0.15711104311069485,0.013527395393994113,6.3649249613563805,2.980006647565886,0.0,0.9736940875559335,16,13.66105,24.91218
coarse (shared arm window),kucz,0.2803609288394919,0.031028959849186168,3.566830813905975,0.0011259671496350193,0.0,0.9948909350050622,16,13.66105,24.91218
fine (shared arm window),d_free,0.2849053572154078,0.0004404177093919745,3.5099375096830214,0.3551288095376708,7006.580889887789,0.9999989729559252,25,13.72224,25.55594
fine (shared arm window),d_fixed,0.26053042177130836,0.0028460562337569023,3.8383233451247105,0.4816358879381818,0.0,0.9992860372050263,25,13.72224,25.55594
fine (shared arm window),kucz,0.5924024282204736,0.18395571278458192,1.6880416965945173,7.008048516763242e-06,0.0,0.971530268353925,25,13.72224,25.55594
Molaro (-20C),d_free,0.2044427179129476,0.052834608859525595,4.891345655196207,5.768233759241222,60.34843488002213,0.9861253799108203,8,33.6,64.78
Molaro (-20C),d_fixed,0.18450982467102534,0.01897744635950581,5.419765596671969,6.769141139099342,0.0,0.983746059479025,8,33.6,64.78
Molaro (-20C),kucz,0.24778193721282,0.07527272625563951,4.03580669054621,0.00297517837752632,0.0,0.9742022086818821,8,33.6,64.78
