T_C,alpha_c,eps_m,Nx_times_Ny,tau_sub_s,beta_sub_s_per_m,Lstar_m,rneck_over_Lstar,res_floor_rR,kinetic_frac
-40.00,1.0000e-04,5.0000e-06,105740,1.5221e+07,6.6563e+08,1.2496e-03,0.0360,0.3464,0.9905
-39.02,1.0713e-04,5.0000e-06,105740,1.2756e+07,5.5514e+08,1.1729e-03,0.0384,0.3464,0.9898
-38.04,1.1470e-04,5.0000e-06,105740,1.0707e+07,4.6369e+08,1.1015e-03,0.0409,0.3464,0.9891
-37.06,1.2273e-04,5.0000e-06,105740,9.0007e+06,3.8788e+08,1.0350e-03,0.0435,0.3464,0.9884
-36.08,1.3126e-04,5.0000e-06,105740,7.5776e+06,3.2494e+08,9.7305e-04,0.0462,0.3464,0.9876
-35.09,1.4030e-04,5.0000e-06,105740,6.3890e+06,2.7261e+08,9.1530e-04,0.0492,0.3464,0.9868
-34.11,1.4987e-04,5.0000e-06,105740,5.3946e+06,2.2903e+08,8.6143e-04,0.0522,0.3464,0.9859
-33.13,1.6002e-04,5.0000e-06,105740,4.5617e+06,1.9269e+08,8.1115e-04,0.0555,0.3464,0.9849
-32.15,1.7076e-04,5.0000e-06,105740,3.8628e+06,1.6234e+08,7.6419e-04,0.0589,0.3464,0.9840
-31.17,1.8213e-04,5.0000e-06,105740,3.2757e+06,1.3697e+08,7.2032e-04,0.0625,0.3464,0.9829
-30.19,1.9415e-04,5.0000e-06,105740,2.7817e+06,1.1571e+08,6.7930e-04,0.0662,0.3464,0.9818
-29.21,2.0687e-04,5.0000e-06,105740,2.3656e+06,9.7888e+07,6.4094e-04,0.0702,0.3464,0.9806
-28.23,2.2030e-04,5.0000e-06,105740,2.0144e+06,8.2919e+07,6.0503e-04,0.0744,0.3464,0.9794
-27.25,2.3448e-04,5.0000e-06,105740,1.7177e+06,7.0332e+07,5.7142e-04,0.0788,0.3464,0.9781
-26.26,2.4946e-04,5.0000e-06,105740,1.4667e+06,5.9733e+07,5.3992e-04,0.0833,0.3464,0.9768
-25.28,2.6526e-04,5.0000e-06,105740,1.2541e+06,5.0796e+07,5.1041e-04,0.0882,0.3464,0.9753
-24.30,2.8192e-04,5.0000e-06,105740,1.0737e+06,4.3251e+07,4.8273e-04,0.0932,0.3464,0.9738
-23.32,2.9949e-04,5.0000e-06,105740,9.2044e+05,3.6873e+07,4.5676e-04,0.0985,0.3464,0.9723
-22.34,3.1801e-04,5.0000e-06,105740,7.9011e+05,3.1474e+07,4.3238e-04,0.1041,0.3464,0.9706
-21.36,3.3751e-04,5.0000e-06,105740,6.7911e+05,2.6898e+07,4.0949e-04,0.1099,0.3464,0.9689
-20.38,3.5804e-04,5.0000e-06,105740,5.8445e+05,2.3016e+07,3.8798e-04,0.1160,0.3464,0.9670
-19.40,3.7964e-04,5.0000e-06,105740,5.0363e+05,1.9717e+07,3.6776e-04,0.1224,0.3464,0.9651
-18.42,4.0237e-04,5.0000e-06,105740,4.3453e+05,1.6911e+07,3.4874e-04,0.1290,0.3464,0.9631
-17.43,4.2627e-04,5.0000e-06,105740,3.7538e+05,1.4521e+07,3.3085e-04,0.1360,0.3464,0.9610
-16.45,4.5139e-04,5.0000e-06,105740,3.2469e+05,1.2484e+07,3.1401e-04,0.1433,0.3464,0.9588
-15.47,4.7778e-04,5.0000e-06,105740,2.8118e+05,1.0744e+07,2.9815e-04,0.1509,0.3464,0.9565
-14.49,5.0550e-04,5.0000e-06,105740,2.4381e+05,9.2573e+06,2.8321e-04,0.1589,0.3464,0.9541
-13.51,5.3459e-04,5.0000e-06,105740,2.1166e+05,7.9851e+06,2.6913e-04,0.1672,0.3464,0.9516
-12.53,5.6512e-04,5.0000e-06,105740,1.8397e+05,6.8953e+06,2.5585e-04,0.1759,0.3464,0.9490
-11.55,5.9715e-04,5.0000e-06,105740,1.6009e+05,5.9606e+06,2.4332e-04,0.1849,0.3464,0.9462
-10.57,6.3073e-04,5.0000e-06,105740,1.3948e+05,5.1582e+06,2.3150e-04,0.1944,0.3464,0.9434
-9.58,6.6593e-04,5.0000e-06,105740,1.2166e+05,4.4685e+06,2.2034e-04,0.2042,0.3464,0.9404
-8.60,7.0282e-04,5.0000e-06,105740,1.0625e+05,3.8750e+06,2.0979e-04,0.2145,0.3464,0.9373
-7.62,7.4144e-04,5.0000e-06,105740,9.2891e+04,3.3638e+06,1.9983e-04,0.2252,0.3464,0.9341
-6.64,7.8189e-04,5.0000e-06,105740,8.1309e+04,2.9231e+06,1.9041e-04,0.2363,0.3464,0.9308
-5.66,8.2421e-04,5.0000e-06,105740,7.1252e+04,2.5426e+06,1.8151e-04,0.2479,0.3464,0.9273
-4.68,8.6850e-04,5.0000e-06,105740,6.2510e+04,2.2139e+06,1.7308e-04,0.2600,0.3464,0.9237
-3.70,9.1482e-04,5.0000e-06,105740,5.4902e+04,1.9295e+06,1.6510e-04,0.2726,0.3464,0.9199
-2.72,9.6324e-04,5.0000e-06,105740,4.8275e+04,1.6833e+06,1.5755e-04,0.2856,0.3464,0.9161
-1.74,1.0000e-03,5.0000e-06,105740,4.3031e+04,1.4902e+06,1.5248e-04,0.2951,0.3464,0.9131
