series,kind,form,a,a_ci95,m,C,t0_s,r2,n_pts,t_lo_s,t_hi_s,rn_lo,rn_hi,R0_m,eps_m,rn_floor,rmin_used
Dx1 (D_v0=2.18e-5),model,d_free,0.1604567952653827,0.0005915756446838923,6.232207232769918,5.622817587537807e-06,1299.8021250695647,0.9999967860592116,181,3613.32,7202.23,0.25350115273775214,0.27681976945244957,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx1 (D_v0=2.18e-5),model,d_fixed,0.1281081759614817,0.0003445731562615797,7.805903038543537,7.690114677608398e-06,0.0,0.9996630203289965,181,3613.32,7202.23,0.25350115273775214,0.27681976945244957,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx3,model,d_free,0.1875098272517589,0.0006744535905991284,5.333053817266634,4.569674814171041e-06,1505.8904493131915,0.9999980256727303,74,2868.61,7203.8,0.2536749279538905,0.28867959654178676,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx3,model,d_fixed,0.14148556798694534,0.0009748438045260511,7.067858681475332,7.11328256412742e-06,0.0,0.9991110447475304,74,2868.61,7203.8,0.2536749279538905,0.28867959654178676,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx3 k_air x3,model,d_free,0.17602432432030957,0.00024347850689637474,5.6810330268918445,5.612424814576876e-06,761.9497997217743,0.9999964901337619,282,1593.32,7202.23,0.2536833429394813,0.3145292795389049,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx3 k_air x3,model,d_fixed,0.1447266953815759,0.000595671813444049,6.909575302355053,7.518990637209797e-06,0.0,0.9987668190607136,282,1593.32,7202.23,0.2536833429394813,0.3145292795389049,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx10 k_air x10,model,d_free,0.1966402777828819,0.00027771798719523953,5.08542812934865,5.346309878170715e-06,533.49120233621,0.999991337554468,321,813.318,7202.23,0.2538677233429395,0.3586038040345822,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx10 k_air x10,model,d_fixed,0.16344534537388236,0.0008731134916391377,6.1182531549766255,7.237230502978887e-06,0.0,0.9976360029082493,321,813.318,7202.23,0.2538677233429395,0.3586038040345822,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Dx10 k_air x10,model,kucz,0.44562347725757573,0.03769941089464027,2.244046938806117,0.00016965737971914635,0.0,0.9816580100305621,321,813.318,7202.23,0.2538677233429395,0.3586038040345822,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Molaro 2019 data,data,d_free,0.24561799346481641,0.20216287833114793,4.071362956326916,3.992370922348518e-06,510.0855796197946,0.9726957316947639,6,540.0,4680.0,0.25752161383285305,0.37337175792507205,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Molaro 2019 data,data,d_fixed,0.18214219502274479,0.03421983659625562,5.490216036295853,6.910296299202256e-06,0.0,0.9645507018796806,6,540.0,4680.0,0.25752161383285305,0.37337175792507205,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
Molaro 2019 data,data,kucz,0.6849034960175071,1.644995282974592,1.4600597103309845,0.00016036735578700272,0.0,0.9259160371224695,6,540.0,4680.0,0.25752161383285305,0.37337175792507205,8.675e-05,4.64e-07,0.2533464782473714,0.2533464782473714
