sweep,eps,Nx,dx,elem_per_band_5_95,tot_ice,tot_air,interf,phi_bar_solver,phi_bar_clone,proj_worst,phi_min,phi_max
A_follow,4.0e-5,36,2.777778e-05,8.640,5.045e-07,4.955e-07,1.272e-08,5.045214686295068e-01,5.045214686295068e-01,0.000e+00,0.0027,0.9973
A_follow,2.0e-5,71,1.408451e-05,8.520,5.024e-07,4.976e-07,6.276e-09,5.023514772559040e-01,5.023514772559040e-01,0.000e+00,0.0000,1.0000
A_follow,1.0e-5,142,7.042254e-06,8.520,5.012e-07,4.988e-07,3.116e-09,5.011833289441915e-01,5.011833289441915e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,4.0e-5,256,3.906250e-06,61.440,5.001e-07,4.999e-07,1.315e-08,5.000949215103729e-01,5.000949215103729e-01,0.000e+00,0.0020,0.9980
B_fixed_mesh,2.0e-5,256,3.906250e-06,30.720,5.002e-07,4.998e-07,6.468e-09,5.001893956822159e-01,5.001893956822159e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,1.0e-5,256,3.906250e-06,15.360,5.004e-07,4.996e-07,3.152e-09,5.003752626604006e-01,5.003752626604006e-01,0.000e+00,0.0000,1.0000
B_fixed_mesh,5.0e-6,256,3.906250e-06,7.680,5.007e-07,4.993e-07,1.556e-09,5.007238055641307e-01,5.007238055641307e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,36,2.777778e-05,4.320,5.082e-07,4.918e-07,6.749e-09,5.081764019387434e-01,5.081764019387434e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,71,1.408451e-05,8.520,5.024e-07,4.976e-07,6.276e-09,5.023514772559040e-01,5.023514772559040e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,142,7.042254e-06,17.040,5.006e-07,4.994e-07,6.351e-09,5.006093858249310e-01,5.006093858249310e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,256,3.906250e-06,30.720,5.002e-07,4.998e-07,6.468e-09,5.001893956822159e-01,5.001893956822159e-01,0.000e+00,0.0000,1.0000
C_fixed_eps,2.0e-5,512,1.953125e-06,61.440,5.000e-07,5.000e-07,6.562e-09,5.000475531248054e-01,5.000475531248054e-01,0.000e+00,0.0000,1.0000
