solver,Nx,mult,elem_per_band_5_95,ndof,phi_bar,k00,k01,k10,k11,its,wall_s
lu,71,1,8.5,5041,0.502351,1.160337853e+00,-1.699548486e-17,2.824690630e-18,6.284918655e-02,2,0.12
gamg,71,1,8.5,5041,0.502351,1.160337853e+00,-1.699548486e-17,2.210400771e-18,6.284918655e-02,30,0.05
lu,142,2,17.0,20164,0.500609,1.156383306e+00,1.582670520e-16,-6.507569331e-18,6.290765152e-02,2,0.86
gamg,142,2,17.0,20164,0.500609,1.156383306e+00,1.582670519e-16,2.595567545e-18,6.290765152e-02,35,0.18
lu,284,4,34.1,80656,0.500154,1.155349672e+00,-2.335753564e-17,2.908856555e-17,6.302763401e-02,2,6.18
gamg,284,4,34.1,80656,0.500154,1.155349672e+00,-2.335753565e-17,5.733224455e-18,6.302763401e-02,37,0.76
lu,568,8,68.2,322624,0.500039,1.155087740e+00,-2.379810654e-17,5.265825295e-17,6.311015166e-02,2,50.86
gamg,568,8,68.2,322624,0.500039,1.155087740e+00,-2.379810655e-17,-4.981272160e-18,6.311015166e-02,40,3.04
gamg,1136,16,136.3,1290496,0.500010,1.155021965e+00,9.604351562e-17,6.690915908e-18,6.315706476e-02,47,12.92
gamg,2272,32,272.6,5161984,0.500002,1.155005494e+00,-2.017764454e-16,-5.800784219e-18,6.318193989e-02,50,53.36
