# gamma_ia,gamma_is,gamma_as = 0.109,0.3545,0.3   theta_young = 120.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 119.9899 +/- 0.0008 deg, tau = 2.271774e+06 s, fit_rms = 0.00070, n = 36, error_inf = -0.0101 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
0,0.000000e+00,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
0,0.000000e+00,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
0,0.000000e+00,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
1,1.000000e-04,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
1,1.000000e-04,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
1,1.000000e-04,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
1,1.000000e-04,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
143,1.318800e+05,left,0.000000e+00,131.6640,131.6640,9.401868e-05,1.176147e-04,279,120.0000,11.6640
143,1.318800e+05,left,1.250000e-04,131.6640,131.6640,9.401868e-05,1.176147e-04,279,120.0000,11.6640
143,1.318800e+05,right,0.000000e+00,131.6640,131.6640,9.401868e-05,2.573853e-04,279,120.0000,11.6640
143,1.318800e+05,right,1.250000e-04,131.6640,131.6640,9.401868e-05,2.573853e-04,279,120.0000,11.6640
232,2.642230e+05,left,0.000000e+00,131.1718,131.1718,9.493876e-05,1.174116e-04,279,120.0000,11.1718
232,2.642230e+05,left,1.250000e-04,131.1718,131.1718,9.493876e-05,1.174116e-04,279,120.0000,11.1718
232,2.642230e+05,right,0.000000e+00,131.1718,131.1718,9.493876e-05,2.575884e-04,279,120.0000,11.1718
232,2.642230e+05,right,1.250000e-04,131.1718,131.1718,9.493876e-05,2.575884e-04,279,120.0000,11.1718
321,3.965660e+05,left,0.000000e+00,130.6254,130.6254,9.598976e-05,1.171747e-04,279,120.0000,10.6254
321,3.965660e+05,left,1.250000e-04,130.6254,130.6254,9.598976e-05,1.171747e-04,279,120.0000,10.6254
321,3.965660e+05,right,0.000000e+00,130.6254,130.6254,9.598976e-05,2.578253e-04,279,120.0000,10.6254
321,3.965660e+05,right,1.250000e-04,130.6254,130.6254,9.598976e-05,2.578253e-04,279,120.0000,10.6254
409,5.274220e+05,left,0.000000e+00,130.0819,130.0819,9.706752e-05,1.169354e-04,279,120.0000,10.0819
409,5.274220e+05,left,1.250000e-04,130.0819,130.0819,9.706752e-05,1.169354e-04,279,120.0000,10.0819
409,5.274220e+05,right,0.000000e+00,130.0819,130.0819,9.706752e-05,2.580646e-04,279,120.0000,10.0819
409,5.274220e+05,right,1.250000e-04,130.0819,130.0819,9.706752e-05,2.580646e-04,279,120.0000,10.0819
498,6.597650e+05,left,0.000000e+00,129.5451,129.5451,9.816458e-05,1.166979e-04,279,120.0000,9.5451
498,6.597650e+05,left,1.250000e-04,129.5451,129.5451,9.816458e-05,1.166979e-04,279,120.0000,9.5451
498,6.597650e+05,right,0.000000e+00,129.5451,129.5451,9.816458e-05,2.583021e-04,279,120.0000,9.5451
498,6.597650e+05,right,1.250000e-04,129.5451,129.5451,9.816458e-05,2.583021e-04,279,120.0000,9.5451
587,7.921080e+05,left,0.000000e+00,129.0284,129.0284,9.925280e-05,1.164689e-04,279,120.0000,9.0284
587,7.921080e+05,left,1.250000e-04,129.0284,129.0284,9.925280e-05,1.164689e-04,279,120.0000,9.0284
587,7.921080e+05,right,0.000000e+00,129.0284,129.0284,9.925280e-05,2.585311e-04,279,120.0000,9.0284
587,7.921080e+05,right,1.250000e-04,129.0284,129.0284,9.925280e-05,2.585311e-04,279,120.0000,9.0284
675,9.229640e+05,left,0.000000e+00,128.5392,128.5392,1.003131e-04,1.162522e-04,279,120.0000,8.5392
675,9.229640e+05,left,1.250000e-04,128.5392,128.5392,1.003131e-04,1.162522e-04,279,120.0000,8.5392
675,9.229640e+05,right,0.000000e+00,128.5392,128.5392,1.003131e-04,2.587478e-04,279,120.0000,8.5392
675,9.229640e+05,right,1.250000e-04,128.5392,128.5392,1.003131e-04,2.587478e-04,279,120.0000,8.5392
764,1.055310e+06,left,0.000000e+00,128.0671,128.0671,1.013650e-04,1.160435e-04,279,120.0000,8.0671
764,1.055310e+06,left,1.250000e-04,128.0671,128.0671,1.013650e-04,1.160435e-04,279,120.0000,8.0671
764,1.055310e+06,right,0.000000e+00,128.0671,128.0671,1.013650e-04,2.589565e-04,279,120.0000,8.0671
764,1.055310e+06,right,1.250000e-04,128.0671,128.0671,1.013650e-04,2.589565e-04,279,120.0000,8.0671
853,1.187650e+06,left,0.000000e+00,127.6181,127.6181,1.023927e-04,1.158453e-04,279,120.0000,7.6181
853,1.187650e+06,left,1.250000e-04,127.6181,127.6181,1.023927e-04,1.158453e-04,279,120.0000,7.6181
853,1.187650e+06,right,0.000000e+00,127.6181,127.6181,1.023927e-04,2.591547e-04,279,120.0000,7.6181
