# gamma_ia,gamma_is,gamma_as = 0.109,0.3,0.3   theta_young = 90.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 90.0179 +/- 0.0053 deg, tau = 2.029646e+06 s, fit_rms = 0.00537, n = 36, error_inf = +0.0179 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,90.0000,41.8077
0,0.000000e+00,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,90.0000,41.8077
0,0.000000e+00,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,90.0000,41.8077
0,0.000000e+00,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,90.0000,41.8077
1,1.000000e-04,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,90.0000,41.8077
1,1.000000e-04,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,90.0000,41.8077
1,1.000000e-04,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,90.0000,41.8077
1,1.000000e-04,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,90.0000,41.8077
143,1.318800e+05,left,0.000000e+00,131.0737,131.0737,9.512511e-05,1.174892e-04,279,90.0000,41.0737
143,1.318800e+05,left,1.250000e-04,131.0737,131.0737,9.512511e-05,1.174892e-04,279,90.0000,41.0737
143,1.318800e+05,right,0.000000e+00,131.0737,131.0737,9.512511e-05,2.575108e-04,279,90.0000,41.0737
143,1.318800e+05,right,1.250000e-04,131.0737,131.0737,9.512511e-05,2.575108e-04,279,90.0000,41.0737
232,2.642230e+05,left,0.000000e+00,129.1049,129.1049,9.908964e-05,1.166683e-04,279,90.0000,39.1049
232,2.642230e+05,left,1.250000e-04,129.1049,129.1049,9.908964e-05,1.166683e-04,279,90.0000,39.1049
232,2.642230e+05,right,0.000000e+00,129.1049,129.1049,9.908964e-05,2.583317e-04,279,90.0000,39.1049
232,2.642230e+05,right,1.250000e-04,129.1049,129.1049,9.908964e-05,2.583317e-04,279,90.0000,39.1049
321,3.965660e+05,left,0.000000e+00,126.9743,126.9743,1.039144e-04,1.157597e-04,279,90.0000,36.9743
321,3.965660e+05,left,1.250000e-04,126.9743,126.9743,1.039144e-04,1.157597e-04,279,90.0000,36.9743
321,3.965660e+05,right,0.000000e+00,126.9743,126.9743,1.039144e-04,2.592403e-04,279,90.0000,36.9743
321,3.965660e+05,right,1.250000e-04,126.9743,126.9743,1.039144e-04,2.592403e-04,279,90.0000,36.9743
409,5.274220e+05,left,0.000000e+00,124.8812,124.8812,1.092893e-04,1.148696e-04,279,90.0000,34.8812
409,5.274220e+05,left,1.250000e-04,124.8812,124.8812,1.092893e-04,1.148696e-04,279,90.0000,34.8812
409,5.274220e+05,right,0.000000e+00,124.8812,124.8812,1.092893e-04,2.601304e-04,279,90.0000,34.8812
409,5.274220e+05,right,1.250000e-04,124.8812,124.8812,1.092893e-04,2.601304e-04,279,90.0000,34.8812
498,6.597650e+05,left,0.000000e+00,122.8233,122.8233,1.153031e-04,1.140031e-04,279,90.0000,32.8233
498,6.597650e+05,left,1.250000e-04,122.8233,122.8233,1.153031e-04,1.140031e-04,279,90.0000,32.8233
498,6.597650e+05,right,0.000000e+00,122.8233,122.8233,1.153031e-04,2.609969e-04,279,90.0000,32.8233
498,6.597650e+05,right,1.250000e-04,122.8233,122.8233,1.153031e-04,2.609969e-04,279,90.0000,32.8233
587,7.921080e+05,left,0.000000e+00,120.8545,120.8545,1.218659e-04,1.131830e-04,279,90.0000,30.8545
587,7.921080e+05,left,1.250000e-04,120.8545,120.8545,1.218659e-04,1.131830e-04,279,90.0000,30.8545
587,7.921080e+05,right,0.000000e+00,120.8545,120.8545,1.218659e-04,2.618170e-04,279,90.0000,30.8545
587,7.921080e+05,right,1.250000e-04,120.8545,120.8545,1.218659e-04,2.618170e-04,279,90.0000,30.8545
675,9.229640e+05,left,0.000000e+00,119.0006,119.0006,1.289142e-04,1.124196e-04,279,90.0000,29.0006
675,9.229640e+05,left,1.250000e-04,119.0006,119.0006,1.289142e-04,1.124196e-04,279,90.0000,29.0006
