# gamma_ia,gamma_is,gamma_as = 0.109,0.3545,0.3   theta_young = 120.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 119.9899 +/- 0.0008 deg, tau = 2.271824e+06 s, fit_rms = 0.00070, n = 36, error_inf = -0.0101 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
0,0.000000e+00,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
0,0.000000e+00,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
0,0.000000e+00,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
1,1.000000e-04,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
1,1.000000e-04,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,120.0000,11.8077
1,1.000000e-04,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
1,1.000000e-04,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,120.0000,11.8077
143,1.318800e+05,left,0.000000e+00,131.6640,131.6640,9.401865e-05,1.176147e-04,279,120.0000,11.6640
143,1.318800e+05,left,1.250000e-04,131.6640,131.6640,9.401865e-05,1.176147e-04,279,120.0000,11.6640
143,1.318800e+05,right,0.000000e+00,131.6640,131.6640,9.401865e-05,2.573853e-04,279,120.0000,11.6640
143,1.318800e+05,right,1.250000e-04,131.6640,131.6640,9.401865e-05,2.573853e-04,279,120.0000,11.6640
232,2.642230e+05,left,0.000000e+00,131.1718,131.1718,9.493870e-05,1.174117e-04,279,120.0000,11.1718
232,2.642230e+05,left,1.250000e-04,131.1718,131.1718,9.493870e-05,1.174117e-04,279,120.0000,11.1718
232,2.642230e+05,right,0.000000e+00,131.1718,131.1718,9.493870e-05,2.575883e-04,279,120.0000,11.1718
232,2.642230e+05,right,1.250000e-04,131.1718,131.1718,9.493870e-05,2.575883e-04,279,120.0000,11.1718
321,3.965660e+05,left,0.000000e+00,130.6255,130.6255,9.598966e-05,1.171748e-04,279,120.0000,10.6255
321,3.965660e+05,left,1.250000e-04,130.6255,130.6255,9.598966e-05,1.171748e-04,279,120.0000,10.6255
321,3.965660e+05,right,0.000000e+00,130.6255,130.6255,9.598966e-05,2.578252e-04,279,120.0000,10.6255
321,3.965660e+05,right,1.250000e-04,130.6255,130.6255,9.598966e-05,2.578252e-04,279,120.0000,10.6255
409,5.274220e+05,left,0.000000e+00,130.0819,130.0819,9.706740e-05,1.169356e-04,279,120.0000,10.0819
409,5.274220e+05,left,1.250000e-04,130.0819,130.0819,9.706740e-05,1.169356e-04,279,120.0000,10.0819
409,5.274220e+05,right,0.000000e+00,130.0819,130.0819,9.706740e-05,2.580644e-04,279,120.0000,10.0819
409,5.274220e+05,right,1.250000e-04,130.0819,130.0819,9.706740e-05,2.580644e-04,279,120.0000,10.0819
498,6.597650e+05,left,0.000000e+00,129.5452,129.5452,9.816442e-05,1.166980e-04,279,120.0000,9.5452
498,6.597650e+05,left,1.250000e-04,129.5452,129.5452,9.816442e-05,1.166980e-04,279,120.0000,9.5452
498,6.597650e+05,right,0.000000e+00,129.5452,129.5452,9.816442e-05,2.583020e-04,279,120.0000,9.5452
498,6.597650e+05,right,1.250000e-04,129.5452,129.5452,9.816442e-05,2.583020e-04,279,120.0000,9.5452
587,7.921080e+05,left,0.000000e+00,129.0285,129.0285,9.925261e-05,1.164690e-04,279,120.0000,9.0285
587,7.921080e+05,left,1.250000e-04,129.0285,129.0285,9.925261e-05,1.164690e-04,279,120.0000,9.0285
587,7.921080e+05,right,0.000000e+00,129.0285,129.0285,9.925261e-05,2.585310e-04,279,120.0000,9.0285
587,7.921080e+05,right,1.250000e-04,129.0285,129.0285,9.925261e-05,2.585310e-04,279,120.0000,9.0285
675,9.229640e+05,left,0.000000e+00,128.5393,128.5393,1.003128e-04,1.162524e-04,279,120.0000,8.5393
675,9.229640e+05,left,1.250000e-04,128.5393,128.5393,1.003128e-04,1.162524e-04,279,120.0000,8.5393
675,9.229640e+05,right,0.000000e+00,128.5393,128.5393,1.003128e-04,2.587476e-04,279,120.0000,8.5393
675,9.229640e+05,right,1.250000e-04,128.5393,128.5393,1.003128e-04,2.587476e-04,279,120.0000,8.5393
764,1.055310e+06,left,0.000000e+00,128.0672,128.0672,1.013647e-04,1.160436e-04,279,120.0000,8.0672
764,1.055310e+06,left,1.250000e-04,128.0672,128.0672,1.013647e-04,1.160436e-04,279,120.0000,8.0672
764,1.055310e+06,right,0.000000e+00,128.0672,128.0672,1.013647e-04,2.589564e-04,279,120.0000,8.0672
764,1.055310e+06,right,1.250000e-04,128.0672,128.0672,1.013647e-04,2.589564e-04,279,120.0000,8.0672
853,1.187650e+06,left,0.000000e+00,127.6182,127.6182,1.023924e-04,1.158455e-04,279,120.0000,7.6182
853,1.187650e+06,left,1.250000e-04,127.6182,127.6182,1.023924e-04,1.158455e-04,279,120.0000,7.6182
853,1.187650e+06,right,0.000000e+00,127.6182,127.6182,1.023924e-04,2.591545e-04,279,120.0000,7.6182
