# gamma_ia,gamma_is,gamma_as = 0.109,0.205603,0.3   theta_young = 30.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 30.4150 +/- 0.0338 deg, tau = 2.480047e+06 s, fit_rms = 0.02415, n = 36, error_inf = +0.4150 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,30.0000,101.8078
0,0.000000e+00,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,30.0000,101.8078
0,0.000000e+00,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,30.0000,101.8078
0,0.000000e+00,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,30.0000,101.8078
1,1.000000e-04,left,0.000000e+00,131.8077,131.8077,9.375472e-05,1.176226e-04,279,30.0000,101.8078
1,1.000000e-04,left,1.250000e-04,131.8077,131.8077,9.375472e-05,1.176226e-04,279,30.0000,101.8078
1,1.000000e-04,right,0.000000e+00,131.8077,131.8077,9.375472e-05,2.573774e-04,279,30.0000,101.8078
1,1.000000e-04,right,1.250000e-04,131.8077,131.8077,9.375472e-05,2.573774e-04,279,30.0000,101.8078
143,1.318800e+05,left,0.000000e+00,129.7281,129.7281,9.778694e-05,1.171465e-04,279,30.0000,99.7281
143,1.318800e+05,left,1.250000e-04,129.7281,129.7281,9.778694e-05,1.171465e-04,279,30.0000,99.7281
143,1.318800e+05,right,0.000000e+00,129.7281,129.7281,9.778694e-05,2.578535e-04,279,30.0000,99.7281
143,1.318800e+05,right,1.250000e-04,129.7281,129.7281,9.778694e-05,2.578535e-04,279,30.0000,99.7281
232,2.642230e+05,left,0.000000e+00,124.8853,124.8853,1.092781e-04,1.151772e-04,279,30.0000,94.8853
232,2.642230e+05,left,1.250000e-04,124.8853,124.8853,1.092781e-04,1.151772e-04,279,30.0000,94.8853
232,2.642230e+05,right,0.000000e+00,124.8853,124.8853,1.092781e-04,2.598228e-04,279,30.0000,94.8853
232,2.642230e+05,right,1.250000e-04,124.8853,124.8853,1.092781e-04,2.598228e-04,279,30.0000,94.8853
321,3.965660e+05,left,0.000000e+00,119.6917,119.6917,1.261778e-04,1.130754e-04,279,30.0000,89.6917
321,3.965660e+05,left,1.250000e-04,119.6917,119.6917,1.261778e-04,1.130754e-04,279,30.0000,89.6917
321,3.965660e+05,right,0.000000e+00,119.6917,119.6917,1.261778e-04,2.619246e-04,279,30.0000,89.6917
321,3.965660e+05,right,1.250000e-04,119.6917,119.6917,1.261778e-04,2.619246e-04,279,30.0000,89.6917
409,5.274220e+05,left,0.000000e+00,114.5470,114.5470,1.504431e-04,1.110404e-04,279,30.0000,84.5470
409,5.274220e+05,left,1.250000e-04,114.5470,114.5470,1.504431e-04,1.110404e-04,279,30.0000,84.5470
409,5.274220e+05,right,0.000000e+00,114.5470,114.5470,1.504431e-04,2.639596e-04,279,30.0000,84.5470
409,5.274220e+05,right,1.250000e-04,114.5470,114.5470,1.504431e-04,2.639596e-04,279,30.0000,84.5470
498,6.597650e+05,left,0.000000e+00,109.4658,109.4658,1.875500e-04,1.090764e-04,279,30.0000,79.4659
498,6.597650e+05,left,1.250000e-04,109.4658,109.4658,1.875500e-04,1.090764e-04,279,30.0000,79.4659
498,6.597650e+05,right,0.000000e+00,109.4658,109.4658,1.875500e-04,2.659236e-04,279,30.0000,79.4659
498,6.597650e+05,right,1.250000e-04,109.4658,109.4658,1.875500e-04,2.659236e-04,279,30.0000,79.4659
587,7.921080e+05,left,0.000000e+00,104.5821,104.5821,2.482447e-04,1.072247e-04,279,30.0000,74.5822
587,7.921080e+05,left,1.250000e-04,104.5821,104.5821,2.482447e-04,1.072247e-04,279,30.0000,74.5822
587,7.921080e+05,right,0.000000e+00,104.5821,104.5821,2.482447e-04,2.677753e-04,279,30.0000,74.5822
587,7.921080e+05,right,1.250000e-04,104.5821,104.5821,2.482447e-04,2.677753e-04,279,30.0000,74.5822
675,9.229640e+05,left,0.000000e+00,99.9949,99.9949,3.601058e-04,1.055096e-04,279,30.0000,69.9949
675,9.229640e+05,left,1.250000e-04,99.9949,99.9949,3.601058e-04,1.055096e-04,279,30.0000,69.9949
675,9.229640e+05,right,0.000000e+00,99.9949,99.9949,3.601058e-04,2.694904e-04,279,30.0000,69.9949
675,9.229640e+05,right,1.250000e-04,99.9949,99.9949,3.601058e-04,2.694904e-04,279,30.0000,69.9949
764,1.055310e+06,left,0.000000e+00,95.6233,95.6233,6.378311e-04,1.038889e-04,279,30.0000,65.6234
764,1.055310e+06,left,1.250000e-04,95.6233,95.6233,6.378311e-04,1.038889e-04,279,30.0000,65.6234
764,1.055310e+06,right,0.000000e+00,95.6233,95.6233,6.378311e-04,2.711111e-04,279,30.0000,65.6234
764,1.055310e+06,right,1.250000e-04,95.6233,95.6233,6.378311e-04,2.711111e-04,279,30.0000,65.6234
853,1.187650e+06,left,0.000000e+00,91.5403,91.5403,2.325093e-03,1.023824e-04,279,30.0000,61.5404
853,1.187650e+06,left,1.250000e-04,91.5403,91.5403,2.325093e-03,1.023824e-04,279,30.0000,61.5404
853,1.187650e+06,right,0.000000e+00,91.5403,91.5403,2.325093e-03,2.726176e-04,279,30.0000,61.5404
853,1.187650e+06,right,1.250000e-04,91.5403,91.5403,2.325093e-03,2.726176e-04,279,30.0000,61.5404
941,1.318510e+06,left,0.000000e+00,87.7817,87.7817,1.614721e-03,1.009958e-04,279,30.0000,57.7818
941,1.318510e+06,left,1.250000e-04,87.7817,87.7817,1.614721e-03,1.009958e-04,279,30.0000,57.7818
941,1.318510e+06,right,0.000000e+00,87.7817,87.7817,1.614721e-03,2.740042e-04,279,30.0000,57.7818
941,1.318510e+06,right,1.250000e-04,87.7817,87.7817,1.614721e-03,2.740042e-04,279,30.0000,57.7818
1030,1.450850e+06,left,0.000000e+00,84.2539,84.2539,6.242456e-04,9.969038e-05,279,30.0000,54.2539
1030,1.450850e+06,left,1.250000e-04,84.2539,84.2539,6.242456e-04,9.969038e-05,279,30.0000,54.2539
1030,1.450850e+06,right,0.000000e+00,84.2539,84.2539,6.242456e-04,2.753096e-04,279,30.0000,54.2539
1030,1.450850e+06,right,1.250000e-04,84.2539,84.2539,6.242456e-04,2.753096e-04,279,30.0000,54.2539
1118,1.581710e+06,left,0.000000e+00,81.0207,81.0207,4.004430e-04,9.848765e-05,279,30.0000,51.0208
1118,1.581710e+06,left,1.250000e-04,81.0207,81.0207,4.004430e-04,9.848765e-05,279,30.0000,51.0208
1118,1.581710e+06,right,0.000000e+00,81.0207,81.0207,4.004430e-04,2.765124e-04,279,30.0000,51.0208
1118,1.581710e+06,right,1.250000e-04,81.0207,81.0207,4.004430e-04,2.765124e-04,279,30.0000,51.0208
1207,1.714050e+06,left,0.000000e+00,77.9893,77.9893,3.003447e-04,9.735173e-05,279,30.0000,47.9893
1207,1.714050e+06,left,1.250000e-04,77.9893,77.9893,3.003447e-04,9.735173e-05,279,30.0000,47.9893
1207,1.714050e+06,right,0.000000e+00,77.9893,77.9893,3.003447e-04,2.776483e-04,279,30.0000,47.9893
1207,1.714050e+06,right,1.250000e-04,77.9893,77.9893,3.003447e-04,2.776483e-04,279,30.0000,47.9893
1296,1.846390e+06,left,0.000000e+00,75.1768,75.1768,2.442960e-04,9.628842e-05,279,30.0000,45.1768
1296,1.846390e+06,left,1.250000e-04,75.1768,75.1768,2.442960e-04,9.628842e-05,279,30.0000,45.1768
1296,1.846390e+06,right,0.000000e+00,75.1768,75.1768,2.442960e-04,2.787116e-04,279,30.0000,45.1768
1296,1.846390e+06,right,1.250000e-04,75.1768,75.1768,2.442960e-04,2.787116e-04,279,30.0000,45.1768
1384,1.977250e+06,left,0.000000e+00,72.5929,72.5929,2.089192e-04,9.530141e-05,279,30.0000,42.5930
1384,1.977250e+06,left,1.250000e-04,72.5929,72.5929,2.089192e-04,9.530141e-05,279,30.0000,42.5930
1384,1.977250e+06,right,0.000000e+00,72.5929,72.5929,2.089192e-04,2.796986e-04,279,30.0000,42.5930
1384,1.977250e+06,right,1.250000e-04,72.5929,72.5929,2.089192e-04,2.796986e-04,279,30.0000,42.5930
1473,2.109590e+06,left,0.000000e+00,70.1658,70.1658,1.842027e-04,9.436330e-05,279,30.0000,40.1658
1473,2.109590e+06,left,1.250000e-04,70.1658,70.1658,1.842027e-04,9.436330e-05,279,30.0000,40.1658
1473,2.109590e+06,right,0.000000e+00,70.1658,70.1658,1.842027e-04,2.806367e-04,279,30.0000,40.1658
1473,2.109590e+06,right,1.250000e-04,70.1658,70.1658,1.842027e-04,2.806367e-04,279,30.0000,40.1658
1562,2.241930e+06,left,0.000000e+00,67.9048,67.9048,1.661587e-04,9.347954e-05,279,30.0000,37.9048
1562,2.241930e+06,left,1.250000e-04,67.9048,67.9048,1.661587e-04,9.347954e-05,279,30.0000,37.9048
1562,2.241930e+06,right,0.000000e+00,67.9048,67.9048,1.661587e-04,2.815205e-04,279,30.0000,37.9048
1562,2.241930e+06,right,1.250000e-04,67.9048,67.9048,1.661587e-04,2.815205e-04,279,30.0000,37.9048
