# gamma_ia,gamma_is,gamma_as = 0.109,0.205603,0.3   theta_young = 30.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 31.2001 +/- 0.2740 deg, tau = 5.149693e+06 s, fit_rms = 0.17102, n = 36, error_inf = +1.2002 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,90.0024,90.0024,4.999613e-05,1.375022e-04,109,30.0000,60.0024
0,0.000000e+00,right,0.000000e+00,90.0024,90.0024,4.999613e-05,2.374978e-04,109,30.0000,60.0024
1,1.000000e-04,left,0.000000e+00,90.0024,90.0024,4.999613e-05,1.375022e-04,109,30.0000,60.0024
1,1.000000e-04,right,0.000000e+00,90.0024,90.0024,4.999613e-05,2.374978e-04,109,30.0000,60.0024
226,2.553010e+05,left,0.000000e+00,81.2535,81.2535,6.118036e-05,1.350851e-04,108,30.0000,51.2536
226,2.553010e+05,right,0.000000e+00,81.2535,81.2535,6.118036e-05,2.399149e-04,108,30.0000,51.2536
397,5.095780e+05,left,0.000000e+00,72.8393,72.8393,7.661291e-05,1.320135e-04,107,30.0000,42.8394
397,5.095780e+05,right,0.000000e+00,72.8393,72.8393,7.661291e-05,2.429865e-04,107,30.0000,42.8394
568,7.638550e+05,left,0.000000e+00,65.6356,65.6356,9.776462e-05,1.290837e-04,105,30.0000,35.6356
568,7.638550e+05,right,0.000000e+00,65.6356,65.6356,9.776462e-05,2.459163e-04,105,30.0000,35.6356
739,1.018130e+06,left,0.000000e+00,61.6567,61.6567,1.095504e-04,1.268608e-04,104,30.0000,31.6568
739,1.018130e+06,right,0.000000e+00,61.6567,61.6567,1.095504e-04,2.481392e-04,104,30.0000,31.6568
910,1.272410e+06,left,0.000000e+00,57.2903,57.2903,1.308215e-04,1.245463e-04,102,30.0000,27.2904
910,1.272410e+06,right,0.000000e+00,57.2903,57.2903,1.308214e-04,2.504537e-04,102,30.0000,27.2904
1081,1.526690e+06,left,0.000000e+00,53.9940,53.9940,1.501210e-04,1.225096e-04,100,30.0000,23.9940
1081,1.526690e+06,right,0.000000e+00,53.9940,53.9940,1.501210e-04,2.524904e-04,100,30.0000,23.9940
1252,1.780960e+06,left,0.000000e+00,51.3762,51.3762,1.674809e-04,1.206726e-04,98,30.0000,21.3762
1252,1.780960e+06,right,0.000000e+00,51.3762,51.3762,1.674809e-04,2.543274e-04,98,30.0000,21.3762
1423,2.035240e+06,left,0.000000e+00,50.4761,50.4761,1.621329e-04,1.193598e-04,97,30.0000,20.4762
1423,2.035240e+06,right,0.000000e+00,50.4761,50.4761,1.621329e-04,2.556402e-04,97,30.0000,20.4762
1594,2.289520e+06,left,0.000000e+00,48.4209,48.4209,1.771059e-04,1.177413e-04,95,30.0000,18.4209
1594,2.289520e+06,right,0.000000e+00,48.4209,48.4209,1.771059e-04,2.572587e-04,95,30.0000,18.4209
1765,2.543790e+06,left,0.000000e+00,46.6953,46.6953,1.904391e-04,1.162471e-04,93,30.0000,16.6953
1765,2.543790e+06,right,0.000000e+00,46.6953,46.6953,1.904391e-04,2.587529e-04,93,30.0000,16.6953
1936,2.798070e+06,left,0.000000e+00,46.3209,46.3209,1.801757e-04,1.152166e-04,92,30.0000,16.3210
1936,2.798070e+06,right,0.000000e+00,46.3209,46.3209,1.801757e-04,2.597834e-04,92,30.0000,16.3210
2106,3.050860e+06,left,0.000000e+00,44.7030,44.7030,1.951711e-04,1.138151e-04,90,30.0000,14.7031
2106,3.050860e+06,right,0.000000e+00,44.7030,44.7030,1.951711e-04,2.611849e-04,90,30.0000,14.7031
2277,3.305140e+06,left,0.000000e+00,44.4096,44.4096,1.858054e-04,1.128847e-04,89,30.0000,14.4097
2277,3.305140e+06,right,0.000000e+00,44.4096,44.4096,1.858054e-04,2.621153e-04,89,30.0000,14.4097
2448,3.559420e+06,left,0.000000e+00,42.9232,42.9232,2.014966e-04,1.115696e-04,87,30.0000,12.9233
2448,3.559420e+06,right,0.000000e+00,42.9232,42.9232,2.014966e-04,2.634304e-04,87,30.0000,12.9233
2619,3.813690e+06,left,0.000000e+00,42.5397,42.5397,1.956715e-04,1.106693e-04,86,30.0000,12.5398
2619,3.813690e+06,right,0.000000e+00,42.5397,42.5397,1.956715e-04,2.643307e-04,86,30.0000,12.5398
2790,4.067970e+06,left,0.000000e+00,42.2117,42.2117,1.901430e-04,1.098216e-04,85,30.0000,12.2118
2790,4.067970e+06,right,0.000000e+00,42.2117,42.2117,1.901430e-04,2.651784e-04,85,30.0000,12.2118
2961,4.322250e+06,left,0.000000e+00,42.0856,42.0856,1.822707e-04,1.090824e-04,84,30.0000,12.0856
2961,4.322250e+06,right,0.000000e+00,42.0856,42.0856,1.822707e-04,2.659176e-04,84,30.0000,12.0856
3132,4.576520e+06,left,0.000000e+00,40.4193,40.4193,2.047053e-04,1.077745e-04,82,30.0000,10.4193
3132,4.576520e+06,right,0.000000e+00,40.4193,40.4193,2.047053e-04,2.672255e-04,82,30.0000,10.4193
3303,4.830800e+06,left,0.000000e+00,39.9837,39.9837,2.034635e-04,1.069595e-04,81,30.0000,9.9838
3303,4.830800e+06,right,0.000000e+00,39.9837,39.9837,2.034635e-04,2.680405e-04,81,30.0000,9.9838
3474,5.085080e+06,left,0.000000e+00,39.5407,39.5407,2.031120e-04,1.061647e-04,80,30.0000,9.5408
3474,5.085080e+06,right,0.000000e+00,39.5407,39.5407,2.031120e-04,2.688353e-04,80,30.0000,9.5408
3645,5.339350e+06,left,0.000000e+00,39.0937,39.0937,2.034945e-04,1.053899e-04,79,30.0000,9.0938
3645,5.339350e+06,right,0.000000e+00,39.0937,39.0937,2.034945e-04,2.696101e-04,79,30.0000,9.0938
3816,5.593630e+06,left,0.000000e+00,38.6396,38.6396,2.046261e-04,1.046323e-04,78,30.0000,8.6396
3816,5.593630e+06,right,0.000000e+00,38.6396,38.6396,2.046261e-04,2.703677e-04,78,30.0000,8.6396
3987,5.847910e+06,left,0.000000e+00,39.0642,39.0642,1.884940e-04,1.042623e-04,78,30.0000,9.0642
3987,5.847910e+06,right,0.000000e+00,39.0642,39.0642,1.884940e-04,2.707377e-04,78,30.0000,9.0642
4158,6.102190e+06,left,0.000000e+00,38.4489,38.4489,1.933790e-04,1.034767e-04,77,30.0000,8.4489
4158,6.102190e+06,right,0.000000e+00,38.4489,38.4489,1.933790e-04,2.715233e-04,77,30.0000,8.4489
4329,6.356460e+06,left,0.000000e+00,37.9163,37.9163,1.973017e-04,1.027424e-04,76,30.0000,7.9164
4329,6.356460e+06,right,0.000000e+00,37.9163,37.9163,1.973017e-04,2.722576e-04,76,30.0000,7.9164
4500,6.610740e+06,left,0.000000e+00,37.4204,37.4204,2.010329e-04,1.020393e-04,75,30.0000,7.4204
