# gamma_ia,gamma_is,gamma_as = 0.109,0.3,0.3   theta_young = 90.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 89.9988 +/- 0.0000 deg, tau = 3.658702e+06 s, fit_rms = 0.00000, n = 36, error_inf = -0.0012 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,90.0024,90.0024,4.999613e-05,1.375022e-04,109,90.0000,0.0024
0,0.000000e+00,right,0.000000e+00,90.0024,90.0024,4.999613e-05,2.374978e-04,109,90.0000,0.0024
1,1.000000e-04,left,0.000000e+00,90.0024,90.0024,4.999613e-05,1.375022e-04,109,90.0000,0.0024
1,1.000000e-04,right,0.000000e+00,90.0024,90.0024,4.999613e-05,2.374978e-04,109,90.0000,0.0024
226,2.553010e+05,left,0.000000e+00,90.0016,90.0016,5.000254e-05,1.374968e-04,110,90.0000,0.0016
226,2.553010e+05,right,0.000000e+00,90.0016,90.0016,5.000254e-05,2.375032e-04,110,90.0000,0.0016
397,5.095780e+05,left,0.000000e+00,90.0008,90.0008,5.000340e-05,1.374966e-04,110,90.0000,0.0008
397,5.095780e+05,right,0.000000e+00,90.0008,90.0008,5.000340e-05,2.375034e-04,110,90.0000,0.0008
568,7.638550e+05,left,0.000000e+00,90.0003,90.0003,5.000403e-05,1.374964e-04,110,90.0000,0.0003
568,7.638550e+05,right,0.000000e+00,90.0003,90.0003,5.000403e-05,2.375036e-04,110,90.0000,0.0003
739,1.018130e+06,left,0.000000e+00,89.9999,89.9999,5.000448e-05,1.374963e-04,110,90.0000,-0.0001
739,1.018130e+06,right,0.000000e+00,89.9999,89.9999,5.000448e-05,2.375037e-04,110,90.0000,-0.0001
910,1.272410e+06,left,0.000000e+00,89.9996,89.9996,5.000481e-05,1.374963e-04,110,90.0000,-0.0004
910,1.272410e+06,right,0.000000e+00,89.9996,89.9996,5.000481e-05,2.375037e-04,110,90.0000,-0.0004
1081,1.526690e+06,left,0.000000e+00,89.9994,89.9994,5.000505e-05,1.374962e-04,110,90.0000,-0.0006
1081,1.526690e+06,right,0.000000e+00,89.9994,89.9994,5.000505e-05,2.375038e-04,110,90.0000,-0.0006
1252,1.780960e+06,left,0.000000e+00,89.9992,89.9992,5.000522e-05,1.374962e-04,110,90.0000,-0.0008
1252,1.780960e+06,right,0.000000e+00,89.9992,89.9992,5.000522e-05,2.375038e-04,110,90.0000,-0.0008
1423,2.035240e+06,left,0.000000e+00,89.9991,89.9991,5.000534e-05,1.374961e-04,110,90.0000,-0.0009
1423,2.035240e+06,right,0.000000e+00,89.9991,89.9991,5.000534e-05,2.375039e-04,110,90.0000,-0.0009
1594,2.289520e+06,left,0.000000e+00,89.9990,89.9990,5.000543e-05,1.374961e-04,110,90.0000,-0.0010
1594,2.289520e+06,right,0.000000e+00,89.9990,89.9990,5.000543e-05,2.375039e-04,110,90.0000,-0.0010
1765,2.543790e+06,left,0.000000e+00,89.9989,89.9989,5.000550e-05,1.374961e-04,110,90.0000,-0.0011
1765,2.543790e+06,right,0.000000e+00,89.9989,89.9989,5.000550e-05,2.375039e-04,110,90.0000,-0.0011
1936,2.798070e+06,left,0.000000e+00,89.9989,89.9989,5.000555e-05,1.374961e-04,110,90.0000,-0.0011
1936,2.798070e+06,right,0.000000e+00,89.9989,89.9989,5.000555e-05,2.375039e-04,110,90.0000,-0.0011
2106,3.050860e+06,left,0.000000e+00,89.9989,89.9989,5.000558e-05,1.374961e-04,110,90.0000,-0.0011
2106,3.050860e+06,right,0.000000e+00,89.9989,89.9989,5.000558e-05,2.375039e-04,110,90.0000,-0.0011
2277,3.305140e+06,left,0.000000e+00,89.9988,89.9988,5.000561e-05,1.374961e-04,110,90.0000,-0.0012
