# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 60.3622 +/- 0.0432 deg, tau = 1.222207e+06 s, fit_rms = 0.01483, n = 36, error_inf = +0.3622 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8051,131.8051,7.500765e-05,9.410406e-05,210,60.0000,71.8051
0,0.000000e+00,left,1.000000e-04,131.8050,131.8050,7.500765e-05,9.410396e-05,210,60.0000,71.8050
0,0.000000e+00,right,0.000000e+00,131.8051,131.8051,7.500765e-05,2.058959e-04,210,60.0000,71.8051
0,0.000000e+00,right,1.000000e-04,131.8050,131.8050,7.500765e-05,2.058960e-04,210,60.0000,71.8050
1,1.000000e-04,left,0.000000e+00,131.8051,131.8051,7.500765e-05,9.410406e-05,210,60.0000,71.8051
1,1.000000e-04,left,1.000000e-04,131.8050,131.8050,7.500765e-05,9.410396e-05,210,60.0000,71.8050
1,1.000000e-04,right,0.000000e+00,131.8051,131.8051,7.500765e-05,2.058959e-04,210,60.0000,71.8051
1,1.000000e-04,right,1.000000e-04,131.8050,131.8050,7.500765e-05,2.058960e-04,210,60.0000,71.8050
78,4.533180e+04,left,0.000000e+00,132.6804,132.6804,7.375706e-05,9.477773e-05,210,60.0000,72.6804
78,4.533180e+04,left,1.000000e-04,132.6793,132.6793,7.375706e-05,9.477681e-05,210,60.0000,72.6793
78,4.533180e+04,right,0.000000e+00,132.6804,132.6804,7.375706e-05,2.052223e-04,210,60.0000,72.6804
78,4.533180e+04,right,1.000000e-04,132.6793,132.6793,7.375706e-05,2.052232e-04,210,60.0000,72.6793
100,8.933180e+04,left,0.000000e+00,133.4072,133.4072,7.276118e-05,9.534944e-05,210,60.0000,73.4072
100,8.933180e+04,left,1.000000e-04,133.4073,133.4073,7.276118e-05,9.534958e-05,210,60.0000,73.4073
100,8.933180e+04,right,0.000000e+00,133.4072,133.4072,7.276118e-05,2.046506e-04,210,60.0000,73.4072
100,8.933180e+04,right,1.000000e-04,133.4073,133.4073,7.276118e-05,2.046504e-04,210,60.0000,73.4073
122,1.333320e+05,left,0.000000e+00,133.8270,133.8270,7.220032e-05,9.577112e-05,210,60.0000,73.8270
122,1.333320e+05,left,1.000000e-04,133.8325,133.8325,7.220032e-05,9.577588e-05,210,60.0000,73.8325
122,1.333320e+05,right,0.000000e+00,133.8270,133.8270,7.220032e-05,2.042289e-04,210,60.0000,73.8270
122,1.333320e+05,right,1.000000e-04,133.8325,133.8325,7.220032e-05,2.042241e-04,210,60.0000,73.8325
144,1.773320e+05,left,0.000000e+00,133.7852,133.7852,7.225004e-05,9.597167e-05,210,60.0000,73.7852
144,1.773320e+05,left,1.000000e-04,133.7986,133.7986,7.225004e-05,9.598341e-05,210,60.0000,73.7986
144,1.773320e+05,right,0.000000e+00,133.7852,133.7852,7.225004e-05,2.040283e-04,210,60.0000,73.7852
144,1.773320e+05,right,1.000000e-04,133.7986,133.7986,7.225004e-05,2.040166e-04,210,60.0000,73.7986
166,2.213320e+05,left,0.000000e+00,133.2796,133.2796,7.291825e-05,9.595025e-05,210,60.0000,73.2796
166,2.213320e+05,left,1.000000e-04,133.3017,133.3017,7.291825e-05,9.596949e-05,210,60.0000,73.3017
166,2.213320e+05,right,0.000000e+00,133.2796,133.2796,7.291825e-05,2.040497e-04,210,60.0000,73.2796
166,2.213320e+05,right,1.000000e-04,133.3017,133.3017,7.291825e-05,2.040305e-04,210,60.0000,73.3017
188,2.653320e+05,left,0.000000e+00,132.3789,132.3789,7.415944e-05,9.574100e-05,210,60.0000,72.3789
188,2.653320e+05,left,1.000000e-04,132.4088,132.4088,7.415944e-05,9.576709e-05,210,60.0000,72.4088
188,2.653320e+05,right,0.000000e+00,132.3789,132.3789,7.415944e-05,2.042590e-04,210,60.0000,72.3789
188,2.653320e+05,right,1.000000e-04,132.4088,132.4088,7.415944e-05,2.042329e-04,210,60.0000,72.4088
210,3.093320e+05,left,0.000000e+00,131.1625,131.1625,7.593755e-05,9.538440e-05,210,60.0000,71.1625
210,3.093320e+05,left,1.000000e-04,131.1989,131.1989,7.593755e-05,9.541618e-05,210,60.0000,71.1989
210,3.093320e+05,right,0.000000e+00,131.1625,131.1625,7.593755e-05,2.046156e-04,210,60.0000,71.1625
210,3.093320e+05,right,1.000000e-04,131.1989,131.1989,7.593755e-05,2.045838e-04,210,60.0000,71.1989
232,3.533320e+05,left,0.000000e+00,129.7067,129.7067,7.823054e-05,9.491906e-05,210,60.0000,69.7067
232,3.533320e+05,left,1.000000e-04,129.7482,129.7482,7.823054e-05,9.495525e-05,210,60.0000,69.7482
232,3.533320e+05,right,0.000000e+00,129.7067,129.7067,7.823054e-05,2.050809e-04,210,60.0000,69.7067
232,3.533320e+05,right,1.000000e-04,129.7482,129.7482,7.823054e-05,2.050448e-04,210,60.0000,69.7482
254,3.973320e+05,left,0.000000e+00,128.0834,128.0834,8.102180e-05,9.437990e-05,210,60.0000,68.0834
254,3.973320e+05,left,1.000000e-04,128.1286,128.1286,8.102180e-05,9.441931e-05,210,60.0000,68.1286
254,3.973320e+05,right,0.000000e+00,128.0834,128.0834,8.102180e-05,2.056201e-04,210,60.0000,68.0834
254,3.973320e+05,right,1.000000e-04,128.1286,128.1286,8.102180e-05,2.055807e-04,210,60.0000,68.1286
275,4.393320e+05,left,0.000000e+00,126.4245,126.4245,8.416130e-05,9.381925e-05,210,60.0000,66.4245
275,4.393320e+05,left,1.000000e-04,126.4721,126.4721,8.416130e-05,9.386079e-05,210,60.0000,66.4721
275,4.393320e+05,right,0.000000e+00,126.4245,126.4245,8.416130e-05,2.061808e-04,210,60.0000,66.4245
275,4.393320e+05,right,1.000000e-04,126.4721,126.4721,8.416130e-05,2.061392e-04,210,60.0000,66.4721
297,4.833320e+05,left,0.000000e+00,124.6132,124.6132,8.796827e-05,9.320284e-05,210,60.0000,64.6132
297,4.833320e+05,left,1.000000e-04,124.6625,124.6625,8.796827e-05,9.324585e-05,210,60.0000,64.6625
297,4.833320e+05,right,0.000000e+00,124.6132,124.6132,8.796827e-05,2.067972e-04,210,60.0000,64.6132
297,4.833320e+05,right,1.000000e-04,124.6625,124.6625,8.796827e-05,2.067541e-04,210,60.0000,64.6625
319,5.273320e+05,left,0.000000e+00,122.7610,122.7610,9.233526e-05,9.257200e-05,210,60.0000,62.7610
319,5.273320e+05,left,1.000000e-04,122.8113,122.8113,9.233526e-05,9.261590e-05,210,60.0000,62.8113
319,5.273320e+05,right,0.000000e+00,122.7610,122.7610,9.233526e-05,2.074280e-04,210,60.0000,62.7610
319,5.273320e+05,right,1.000000e-04,122.8113,122.8113,9.233526e-05,2.073841e-04,210,60.0000,62.8113
341,5.713320e+05,left,0.000000e+00,120.8902,120.8902,9.731890e-05,9.193652e-05,210,60.0000,60.8902
341,5.713320e+05,left,1.000000e-04,120.9410,120.9410,9.731890e-05,9.198079e-05,210,60.0000,60.9410
341,5.713320e+05,right,0.000000e+00,120.8902,120.8902,9.731890e-05,2.080635e-04,210,60.0000,60.8902
341,5.713320e+05,right,1.000000e-04,120.9410,120.9410,9.731890e-05,2.080192e-04,210,60.0000,60.9410
363,6.153320e+05,left,0.000000e+00,119.0175,119.0175,1.029944e-04,9.130325e-05,210,60.0000,59.0175
363,6.153320e+05,left,1.000000e-04,119.0682,119.0682,1.029944e-04,9.134749e-05,210,60.0000,59.0682
363,6.153320e+05,right,0.000000e+00,119.0175,119.0175,1.029944e-04,2.086967e-04,210,60.0000,59.0175
363,6.153320e+05,right,1.000000e-04,119.0682,119.0682,1.029944e-04,2.086525e-04,210,60.0000,59.0682
385,6.593320e+05,left,0.000000e+00,117.1554,117.1554,1.094580e-04,9.067720e-05,210,60.0000,57.1554
385,6.593320e+05,left,1.000000e-04,117.2057,117.2057,1.094580e-04,9.072111e-05,210,60.0000,57.2057
385,6.593320e+05,right,0.000000e+00,117.1554,117.1554,1.094580e-04,2.093228e-04,210,60.0000,57.1554
385,6.593320e+05,right,1.000000e-04,117.2057,117.2057,1.094580e-04,2.092789e-04,210,60.0000,57.2057
407,7.033320e+05,left,0.000000e+00,115.3077,115.3077,1.168577e-04,9.005985e-05,210,60.0000,55.3077
407,7.033320e+05,left,1.000000e-04,115.3573,115.3573,1.168577e-04,9.010317e-05,210,60.0000,55.3573
407,7.033320e+05,right,0.000000e+00,115.3077,115.3077,1.168577e-04,2.099401e-04,210,60.0000,55.3077
407,7.033320e+05,right,1.000000e-04,115.3573,115.3573,1.168577e-04,2.098968e-04,210,60.0000,55.3573
429,7.473320e+05,left,0.000000e+00,113.4824,113.4824,1.253581e-04,8.945393e-05,210,60.0000,53.4824
429,7.473320e+05,left,1.000000e-04,113.5311,113.5311,1.253581e-04,8.949643e-05,210,60.0000,53.5311
429,7.473320e+05,right,0.000000e+00,113.4824,113.4824,1.253581e-04,2.105461e-04,210,60.0000,53.4824
429,7.473320e+05,right,1.000000e-04,113.5311,113.5311,1.253581e-04,2.105036e-04,210,60.0000,53.5311
451,7.913320e+05,left,0.000000e+00,111.6940,111.6940,1.351221e-04,8.886420e-05,210,60.0000,51.6940
451,7.913320e+05,left,1.000000e-04,111.7416,111.7416,1.351221e-04,8.890575e-05,210,60.0000,51.7416
451,7.913320e+05,right,0.000000e+00,111.6940,111.6940,1.351221e-04,2.111358e-04,210,60.0000,51.6940
451,7.913320e+05,right,1.000000e-04,111.7416,111.7416,1.351221e-04,2.110942e-04,210,60.0000,51.7416
473,8.353320e+05,left,0.000000e+00,109.9464,109.9464,1.464040e-04,8.829150e-05,210,60.0000,49.9464
473,8.353320e+05,left,1.000000e-04,109.9927,109.9927,1.464040e-04,8.833197e-05,210,60.0000,49.9927
473,8.353320e+05,right,0.000000e+00,109.9464,109.9464,1.464040e-04,2.117085e-04,210,60.0000,49.9464
473,8.353320e+05,right,1.000000e-04,109.9927,109.9927,1.464040e-04,2.116680e-04,210,60.0000,49.9927
495,8.793320e+05,left,0.000000e+00,108.2455,108.2455,1.595087e-04,8.773727e-05,210,60.0000,48.2455
495,8.793320e+05,left,1.000000e-04,108.2906,108.2906,1.595087e-04,8.777661e-05,210,60.0000,48.2906
495,8.793320e+05,right,0.000000e+00,108.2455,108.2455,1.595087e-04,2.122627e-04,210,60.0000,48.2455
495,8.793320e+05,right,1.000000e-04,108.2906,108.2906,1.595087e-04,2.122234e-04,210,60.0000,48.2906
517,9.233320e+05,left,0.000000e+00,106.5952,106.5952,1.748411e-04,8.720225e-05,210,60.0000,46.5952
517,9.233320e+05,left,1.000000e-04,106.6390,106.6390,1.748411e-04,8.724045e-05,210,60.0000,46.6390
