# gamma_ia,gamma_is,gamma_as = 0.109,0.394397,0.3   theta_young = 150.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 150.0199 +/- 0.0013 deg, tau = 1.744080e+06 s, fit_rms = 0.00098, n = 36, error_inf = +0.0199 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,131.8101,131.8101,7.500031e-05,9.410032e-05,255,150.0000,-18.1899
0,0.000000e+00,left,1.000000e-04,131.8101,131.8101,7.500031e-05,9.410032e-05,255,150.0000,-18.1899
0,0.000000e+00,right,0.000000e+00,131.8101,131.8101,7.500031e-05,2.058997e-04,255,150.0000,-18.1899
0,0.000000e+00,right,1.000000e-04,131.8101,131.8101,7.500031e-05,2.058997e-04,255,150.0000,-18.1899
1,1.000000e-04,left,0.000000e+00,131.8101,131.8101,7.500031e-05,9.410032e-05,255,150.0000,-18.1899
1,1.000000e-04,left,1.000000e-04,131.8101,131.8101,7.500031e-05,9.410032e-05,255,150.0000,-18.1899
1,1.000000e-04,right,0.000000e+00,131.8101,131.8101,7.500031e-05,2.058997e-04,255,150.0000,-18.1899
1,1.000000e-04,right,1.000000e-04,131.8101,131.8101,7.500031e-05,2.058997e-04,255,150.0000,-18.1899
103,9.533180e+04,left,0.000000e+00,131.5975,131.5975,7.531322e-05,9.389155e-05,255,150.0000,-18.4025
103,9.533180e+04,left,1.000000e-04,131.5975,131.5975,7.531322e-05,9.389155e-05,255,150.0000,-18.4025
103,9.533180e+04,right,0.000000e+00,131.5975,131.5975,7.531322e-05,2.061085e-04,255,150.0000,-18.4025
103,9.533180e+04,right,1.000000e-04,131.5975,131.5975,7.531322e-05,2.061085e-04,255,150.0000,-18.4025
151,1.913320e+05,left,0.000000e+00,131.8679,131.8679,7.491588e-05,9.391877e-05,255,150.0000,-18.1321
151,1.913320e+05,left,1.000000e-04,131.8679,131.8679,7.491588e-05,9.391877e-05,255,150.0000,-18.1321
151,1.913320e+05,right,0.000000e+00,131.8679,131.8679,7.491588e-05,2.060812e-04,255,150.0000,-18.1321
151,1.913320e+05,right,1.000000e-04,131.8679,131.8679,7.491588e-05,2.060812e-04,255,150.0000,-18.1321
199,2.873320e+05,left,0.000000e+00,132.4011,132.4011,7.414911e-05,9.407177e-05,255,150.0000,-17.5989
199,2.873320e+05,left,1.000000e-04,132.4011,132.4011,7.414911e-05,9.407177e-05,255,150.0000,-17.5989
199,2.873320e+05,right,0.000000e+00,132.4011,132.4011,7.414911e-05,2.059282e-04,255,150.0000,-17.5989
199,2.873320e+05,right,1.000000e-04,132.4011,132.4011,7.414911e-05,2.059282e-04,255,150.0000,-17.5989
246,3.813320e+05,left,0.000000e+00,133.0445,133.0445,7.325295e-05,9.428381e-05,255,150.0000,-16.9555
246,3.813320e+05,left,1.000000e-04,133.0445,133.0445,7.325295e-05,9.428381e-05,255,150.0000,-16.9555
246,3.813320e+05,right,0.000000e+00,133.0445,133.0445,7.325295e-05,2.057162e-04,255,150.0000,-16.9555
246,3.813320e+05,right,1.000000e-04,133.0445,133.0445,7.325295e-05,2.057162e-04,255,150.0000,-16.9555
294,4.773320e+05,left,0.000000e+00,133.7579,133.7579,7.229485e-05,9.453343e-05,255,150.0000,-16.2422
294,4.773320e+05,left,1.000000e-04,133.7579,133.7579,7.229485e-05,9.453343e-05,255,150.0000,-16.2422
294,4.773320e+05,right,0.000000e+00,133.7579,133.7579,7.229485e-05,2.054666e-04,255,150.0000,-16.2422
294,4.773320e+05,right,1.000000e-04,133.7579,133.7579,7.229485e-05,2.054666e-04,255,150.0000,-16.2422
341,5.713320e+05,left,0.000000e+00,134.4764,134.4764,7.136582e-05,9.479411e-05,255,150.0000,-15.5236
341,5.713320e+05,left,1.000000e-04,134.4764,134.4764,7.136582e-05,9.479411e-05,255,150.0000,-15.5236
341,5.713320e+05,right,0.000000e+00,134.4764,134.4764,7.136582e-05,2.052059e-04,255,150.0000,-15.5236
341,5.713320e+05,right,1.000000e-04,134.4764,134.4764,7.136582e-05,2.052059e-04,255,150.0000,-15.5236
389,6.673320e+05,left,0.000000e+00,135.2086,135.2086,7.045467e-05,9.506664e-05,255,150.0000,-14.7915
389,6.673320e+05,left,1.000000e-04,135.2086,135.2086,7.045467e-05,9.506664e-05,255,150.0000,-14.7915
389,6.673320e+05,right,0.000000e+00,135.2086,135.2086,7.045467e-05,2.049334e-04,255,150.0000,-14.7915
389,6.673320e+05,right,1.000000e-04,135.2086,135.2086,7.045467e-05,2.049334e-04,255,150.0000,-14.7915
437,7.633320e+05,left,0.000000e+00,135.9273,135.9273,6.959356e-05,9.533967e-05,255,150.0000,-14.0728
437,7.633320e+05,left,1.000000e-04,135.9273,135.9273,6.959356e-05,9.533967e-05,255,150.0000,-14.0728
437,7.633320e+05,right,0.000000e+00,135.9273,135.9273,6.959356e-05,2.046603e-04,255,150.0000,-14.0728
437,7.633320e+05,right,1.000000e-04,135.9273,135.9273,6.959356e-05,2.046603e-04,255,150.0000,-14.0728
484,8.573320e+05,left,0.000000e+00,136.6113,136.6113,6.880321e-05,9.560393e-05,255,150.0000,-13.3887
484,8.573320e+05,left,1.000000e-04,136.6113,136.6113,6.880321e-05,9.560393e-05,255,150.0000,-13.3887
484,8.573320e+05,right,0.000000e+00,136.6113,136.6113,6.880321e-05,2.043961e-04,255,150.0000,-13.3887
484,8.573320e+05,right,1.000000e-04,136.6113,136.6113,6.880321e-05,2.043961e-04,255,150.0000,-13.3887
532,9.533320e+05,left,0.000000e+00,137.2858,137.2858,6.805072e-05,9.586823e-05,255,150.0000,-12.7143
532,9.533320e+05,left,1.000000e-04,137.2858,137.2858,6.805072e-05,9.586823e-05,255,150.0000,-12.7143
532,9.533320e+05,right,0.000000e+00,137.2858,137.2858,6.805072e-05,2.041318e-04,255,150.0000,-12.7143
532,9.533320e+05,right,1.000000e-04,137.2858,137.2858,6.805072e-05,2.041318e-04,255,150.0000,-12.7143
579,1.047330e+06,left,0.000000e+00,137.9210,137.9210,6.736529e-05,9.612038e-05,255,150.0000,-12.0790
579,1.047330e+06,left,1.000000e-04,137.9210,137.9210,6.736529e-05,9.612038e-05,255,150.0000,-12.0790
579,1.047330e+06,right,0.000000e+00,137.9210,137.9210,6.736529e-05,2.038796e-04,255,150.0000,-12.0790
579,1.047330e+06,right,1.000000e-04,137.9210,137.9210,6.736529e-05,2.038796e-04,255,150.0000,-12.0790
627,1.143330e+06,left,0.000000e+00,138.5436,138.5436,6.671474e-05,9.637031e-05,255,150.0000,-11.4564
627,1.143330e+06,left,1.000000e-04,138.5436,138.5436,6.671474e-05,9.637031e-05,255,150.0000,-11.4564
627,1.143330e+06,right,0.000000e+00,138.5436,138.5436,6.671474e-05,2.036297e-04,255,150.0000,-11.4564
627,1.143330e+06,right,1.000000e-04,138.5436,138.5436,6.671474e-05,2.036297e-04,255,150.0000,-11.4564
675,1.239330e+06,left,0.000000e+00,139.1397,139.1397,6.611075e-05,9.661214e-05,255,150.0000,-10.8604
675,1.239330e+06,left,1.000000e-04,139.1397,139.1397,6.611075e-05,9.661214e-05,255,150.0000,-10.8604
675,1.239330e+06,right,0.000000e+00,139.1397,139.1397,6.611075e-05,2.033879e-04,255,150.0000,-10.8604
675,1.239330e+06,right,1.000000e-04,139.1397,139.1397,6.611075e-05,2.033879e-04,255,150.0000,-10.8604
722,1.333330e+06,left,0.000000e+00,139.6966,139.6966,6.556256e-05,9.684026e-05,255,150.0000,-10.3034
722,1.333330e+06,left,1.000000e-04,139.6966,139.6966,6.556256e-05,9.684026e-05,255,150.0000,-10.3034
722,1.333330e+06,right,0.000000e+00,139.6966,139.6966,6.556256e-05,2.031597e-04,255,150.0000,-10.3034
