# gamma_ia,gamma_is,gamma_as = 0.109,0.3545,0.3   theta_young = 120.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 115.5587 +/- 2.0140 deg, tau = 3.881730e+06 s, fit_rms = 0.32906, n = 36, error_inf = -4.4413 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,120.0000,-30.0026
0,0.000000e+00,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,120.0000,-30.0026
1,1.000000e-04,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,120.0000,-30.0026
1,1.000000e-04,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,120.0000,-30.0026
103,9.533180e+04,left,0.000000e+00,90.0535,90.0535,7.495061e-05,7.490251e-05,68,120.0000,-29.9465
103,9.533180e+04,right,0.000000e+00,90.0535,90.0535,7.495061e-05,2.250975e-04,68,120.0000,-29.9465
151,1.913320e+05,left,0.000000e+00,90.6214,90.6214,7.408432e-05,7.509937e-05,68,120.0000,-29.3786
151,1.913320e+05,right,0.000000e+00,90.6214,90.6214,7.408432e-05,2.249006e-04,68,120.0000,-29.3786
199,2.873320e+05,left,0.000000e+00,91.3497,91.3497,7.300475e-05,7.539421e-05,68,120.0000,-28.6503
199,2.873320e+05,right,0.000000e+00,91.3497,91.3497,7.300475e-05,2.246058e-04,68,120.0000,-28.6503
246,3.813320e+05,left,0.000000e+00,92.1239,92.1239,7.189831e-05,7.572620e-05,68,120.0000,-27.8761
246,3.813320e+05,right,0.000000e+00,92.1239,92.1239,7.189831e-05,2.242738e-04,68,120.0000,-27.8761
294,4.773320e+05,left,0.000000e+00,92.9289,92.9289,7.079192e-05,7.608228e-05,68,120.0000,-27.0711
294,4.773320e+05,right,0.000000e+00,92.9289,92.9289,7.079192e-05,2.239177e-04,68,120.0000,-27.0711
341,5.713320e+05,left,0.000000e+00,93.7102,93.7102,6.975915e-05,7.643533e-05,68,120.0000,-26.2898
341,5.713320e+05,right,0.000000e+00,93.7102,93.7102,6.975915e-05,2.235647e-04,68,120.0000,-26.2898
389,6.673320e+05,left,0.000000e+00,94.4925,94.4925,6.876406e-05,7.679506e-05,68,120.0000,-25.5075
389,6.673320e+05,right,0.000000e+00,94.4925,94.4925,6.876406e-05,2.232049e-04,68,120.0000,-25.5075
437,7.633320e+05,left,0.000000e+00,95.2571,95.2571,6.782699e-05,7.715235e-05,68,120.0000,-24.7429
437,7.633320e+05,right,0.000000e+00,95.2571,95.2571,6.782699e-05,2.228477e-04,68,120.0000,-24.7429
484,8.573320e+05,left,0.000000e+00,95.9829,95.9829,6.696933e-05,7.749619e-05,68,120.0000,-24.0171
484,8.573320e+05,right,0.000000e+00,95.9829,95.9829,6.696933e-05,2.225038e-04,68,120.0000,-24.0171
532,9.533320e+05,left,0.000000e+00,96.6995,96.6995,6.615175e-05,7.784000e-05,68,120.0000,-23.3005
532,9.533320e+05,right,0.000000e+00,96.6995,96.6995,6.615175e-05,2.221600e-04,68,120.0000,-23.3005
579,1.047330e+06,left,0.000000e+00,97.3759,97.3759,6.540546e-05,7.816840e-05,68,120.0000,-22.6241
579,1.047330e+06,right,0.000000e+00,97.3759,97.3759,6.540546e-05,2.218316e-04,68,120.0000,-22.6241
627,1.143330e+06,left,0.000000e+00,98.0406,98.0406,6.469585e-05,7.849491e-05,68,120.0000,-21.9594
627,1.143330e+06,right,0.000000e+00,98.0406,98.0406,6.469585e-05,2.215051e-04,68,120.0000,-21.9594
675,1.239330e+06,left,0.000000e+00,98.6816,98.6816,6.403276e-05,7.881349e-05,68,120.0000,-21.3184
675,1.239330e+06,right,0.000000e+00,98.6816,98.6816,6.403276e-05,2.211865e-04,68,120.0000,-21.3184
722,1.333330e+06,left,0.000000e+00,99.2858,99.2858,6.342650e-05,7.911735e-05,68,120.0000,-20.7142
722,1.333330e+06,right,0.000000e+00,99.2858,99.2858,6.342650e-05,2.208827e-04,68,120.0000,-20.7142
770,1.429330e+06,left,0.000000e+00,99.8790,99.8790,6.284872e-05,7.941901e-05,68,120.0000,-20.1210
770,1.429330e+06,right,0.000000e+00,99.8790,99.8790,6.284872e-05,2.205810e-04,68,120.0000,-20.1210
817,1.523330e+06,left,0.000000e+00,100.4383,100.4383,6.231926e-05,7.970664e-05,68,120.0000,-19.5617
817,1.523330e+06,right,0.000000e+00,100.4383,100.4383,6.231926e-05,2.202934e-04,68,120.0000,-19.5617
865,1.619330e+06,left,0.000000e+00,100.9877,100.9877,6.181328e-05,7.999238e-05,68,120.0000,-19.0123
865,1.619330e+06,right,0.000000e+00,100.9877,100.9877,6.181328e-05,2.200076e-04,68,120.0000,-19.0123
913,1.715330e+06,left,0.000000e+00,100.4423,100.4423,6.288929e-05,7.995403e-05,69,120.0000,-19.5577
913,1.715330e+06,right,0.000000e+00,100.4423,100.4423,6.288929e-05,2.200460e-04,69,120.0000,-19.5577
960,1.809330e+06,left,0.000000e+00,100.9940,100.9940,6.235836e-05,8.023591e-05,69,120.0000,-19.0060
960,1.809330e+06,right,0.000000e+00,100.9940,100.9940,6.235836e-05,2.197641e-04,69,120.0000,-19.0060
1008,1.905330e+06,left,0.000000e+00,101.5180,101.5180,6.187487e-05,8.051017e-05,69,120.0000,-18.4820
1008,1.905330e+06,right,0.000000e+00,101.5180,101.5180,6.187487e-05,2.194898e-04,69,120.0000,-18.4820
1055,1.999330e+06,left,0.000000e+00,102.0051,102.0051,6.143972e-05,8.076931e-05,69,120.0000,-17.9949
1055,1.999330e+06,right,0.000000e+00,102.0051,102.0051,6.143972e-05,2.192307e-04,69,120.0000,-17.9949
1103,2.095330e+06,left,0.000000e+00,102.4799,102.4799,6.102760e-05,8.102544e-05,69,120.0000,-17.5201
1103,2.095330e+06,right,0.000000e+00,102.4799,102.4799,6.102760e-05,2.189746e-04,69,120.0000,-17.5201
1150,2.189330e+06,left,0.000000e+00,102.9262,102.9262,6.065011e-05,8.126925e-05,69,120.0000,-17.0738
1150,2.189330e+06,right,0.000000e+00,102.9262,102.9262,6.065011e-05,2.187308e-04,69,120.0000,-17.0738
1198,2.285330e+06,left,0.000000e+00,103.3646,103.3646,6.028857e-05,8.151161e-05,69,120.0000,-16.6354
1198,2.285330e+06,right,0.000000e+00,103.3646,103.3646,6.028857e-05,2.184884e-04,69,120.0000,-16.6354
1246,2.381330e+06,left,0.000000e+00,103.7860,103.7860,5.994926e-05,8.174742e-05,69,120.0000,-16.2140
1246,2.381330e+06,right,0.000000e+00,103.7860,103.7860,5.994926e-05,2.182526e-04,69,120.0000,-16.2140
1293,2.475330e+06,left,0.000000e+00,104.1829,104.1829,5.963732e-05,8.197193e-05,69,120.0000,-15.8171
1293,2.475330e+06,right,0.000000e+00,104.1829,104.1829,5.963732e-05,2.180281e-04,69,120.0000,-15.8171
1341,2.571330e+06,left,0.000000e+00,104.5729,104.5729,5.933755e-05,8.219513e-05,69,120.0000,-15.4271
1341,2.571330e+06,right,0.000000e+00,104.5729,104.5729,5.933755e-05,2.178049e-04,69,120.0000,-15.4271
1388,2.665330e+06,left,0.000000e+00,104.9418,104.9418,5.906023e-05,8.240854e-05,69,120.0000,-15.0582
1388,2.665330e+06,right,0.000000e+00,104.9418,104.9418,5.906023e-05,2.175915e-04,69,120.0000,-15.0582
1436,2.761330e+06,left,0.000000e+00,105.3047,105.3047,5.879361e-05,8.262090e-05,69,120.0000,-14.6953
1436,2.761330e+06,right,0.000000e+00,105.3047,105.3047,5.879361e-05,2.173791e-04,69,120.0000,-14.6953
1484,2.857330e+06,left,0.000000e+00,105.6546,105.6546,5.854194e-05,8.282796e-05,69,120.0000,-14.3454
1484,2.857330e+06,right,0.000000e+00,105.6546,105.6546,5.854194e-05,2.171720e-04,69,120.0000,-14.3454
1531,2.951330e+06,left,0.000000e+00,105.9853,105.9853,5.830936e-05,8.302585e-05,69,120.0000,-14.0147
1531,2.951330e+06,right,0.000000e+00,105.9853,105.9853,5.830936e-05,2.169742e-04,69,120.0000,-14.0147
1579,3.047330e+06,left,0.000000e+00,106.3113,106.3113,5.808509e-05,8.322321e-05,69,120.0000,-13.6887
1579,3.047330e+06,right,0.000000e+00,106.3113,106.3113,5.808509e-05,2.167768e-04,69,120.0000,-13.6887
