# gamma_ia,gamma_is,gamma_as = 0.109,0.205603,0.3   theta_young = 30.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 43.2042 +/- 1.7641 deg, tau = 2.778219e+06 s, fit_rms = 0.55244, n = 36, error_inf = +13.2043 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,30.0000,59.9974
0,0.000000e+00,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,30.0000,59.9974
1,1.000000e-04,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,30.0000,59.9974
1,1.000000e-04,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,30.0000,59.9974
103,9.533180e+04,left,0.000000e+00,89.9021,89.9021,7.513142e-05,7.517764e-05,67,30.0000,59.9021
103,9.533180e+04,right,0.000000e+00,89.9021,89.9021,7.513142e-05,2.248224e-04,67,30.0000,59.9021
151,1.913320e+05,left,0.000000e+00,88.7953,88.7953,7.695724e-05,7.483031e-05,67,30.0000,58.7954
151,1.913320e+05,right,0.000000e+00,88.7953,88.7953,7.695724e-05,2.251697e-04,67,30.0000,58.7954
199,2.873320e+05,left,0.000000e+00,87.3496,87.3496,7.945540e-05,7.426813e-05,67,30.0000,57.3496
199,2.873320e+05,right,0.000000e+00,87.3496,87.3496,7.945540e-05,2.257319e-04,67,30.0000,57.3496
246,3.813320e+05,left,0.000000e+00,85.8486,85.8486,8.218575e-05,7.363103e-05,67,30.0000,55.8486
246,3.813320e+05,right,0.000000e+00,85.8486,85.8486,8.218575e-05,2.263690e-04,67,30.0000,55.8486
294,4.773320e+05,left,0.000000e+00,84.3297,84.3297,8.509212e-05,7.294538e-05,67,30.0000,54.3298
294,4.773320e+05,right,0.000000e+00,84.3297,84.3297,8.509212e-05,2.270546e-04,67,30.0000,54.3298
341,5.713320e+05,left,0.000000e+00,82.9059,82.9059,8.794415e-05,7.226763e-05,67,30.0000,52.9059
341,5.713320e+05,right,0.000000e+00,82.9059,82.9059,8.794415e-05,2.277324e-04,67,30.0000,52.9059
389,6.673320e+05,left,0.000000e+00,81.5509,81.5509,9.075226e-05,7.158713e-05,67,30.0000,51.5510
389,6.673320e+05,right,0.000000e+00,81.5509,81.5509,9.075226e-05,2.284129e-04,67,30.0000,51.5510
437,7.633320e+05,left,0.000000e+00,80.3584,80.3584,9.322170e-05,7.094485e-05,67,30.0000,50.3584
437,7.633320e+05,right,0.000000e+00,80.3584,80.3584,9.322170e-05,2.290551e-04,67,30.0000,50.3584
484,8.573320e+05,left,0.000000e+00,77.7852,77.7852,1.012588e-04,6.986199e-05,66,30.0000,47.7853
