# gamma_ia,gamma_is,gamma_as = 0.109,0.394397,0.3   theta_young = 150.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 142.9576 +/- 1.5012 deg, tau = 7.413848e+06 s, fit_rms = 0.47104, n = 36, error_inf = -7.0425 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,150.0000,-60.0026
0,0.000000e+00,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,150.0000,-60.0026
1,1.000000e-04,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,150.0000,-60.0026
1,1.000000e-04,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,150.0000,-60.0026
113,2.544960e+05,left,0.000000e+00,91.7192,91.7192,7.248298e-05,7.539018e-05,68,150.0000,-58.2808
113,2.544960e+05,right,0.000000e+00,91.7192,91.7192,7.248298e-05,2.246098e-04,68,150.0000,-58.2808
168,5.103010e+05,left,0.000000e+00,95.3585,95.3585,6.761683e-05,7.691442e-05,68,150.0000,-54.6416
168,5.103010e+05,right,0.000000e+00,95.3585,95.3585,6.761683e-05,2.230856e-04,68,150.0000,-54.6416
223,7.661060e+05,left,0.000000e+00,99.0833,99.0833,6.336843e-05,7.856109e-05,68,150.0000,-50.9168
223,7.661060e+05,right,0.000000e+00,99.0833,99.0833,6.336843e-05,2.214389e-04,68,150.0000,-50.9168
277,1.017260e+06,left,0.000000e+00,101.1966,101.1966,6.182969e-05,7.974202e-05,69,150.0000,-48.8035
277,1.017260e+06,right,0.000000e+00,101.1966,101.1966,6.182969e-05,2.202580e-04,69,150.0000,-48.8035
332,1.273060e+06,left,0.000000e+00,104.5112,104.5112,5.880804e-05,8.129202e-05,69,150.0000,-45.4889
332,1.273060e+06,right,0.000000e+00,104.5112,104.5112,5.880804e-05,2.187080e-04,69,150.0000,-45.4889
