# gamma_ia,gamma_is,gamma_as = 0.109,0.205603,0.3   theta_young = 30.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 34.0178 +/- 2.0977 deg, tau = 8.751955e+06 s, fit_rms = 0.47734, n = 36, error_inf = +4.0179 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,30.0000,59.9974
0,0.000000e+00,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,30.0000,59.9974
1,1.000000e-04,left,0.000000e+00,89.9974,89.9974,7.500273e-05,7.500090e-05,68,30.0000,59.9974
1,1.000000e-04,right,0.000000e+00,89.9974,89.9974,7.500273e-05,2.249991e-04,68,30.0000,59.9974
113,2.544960e+05,left,0.000000e+00,88.0238,88.0238,7.826197e-05,7.453032e-05,67,30.0000,58.0238
113,2.544960e+05,right,0.000000e+00,88.0238,88.0238,7.826197e-05,2.254697e-04,67,30.0000,58.0238
168,5.103010e+05,left,0.000000e+00,84.1651,84.1651,8.538351e-05,7.285570e-05,67,30.0000,54.1651
168,5.103010e+05,right,0.000000e+00,84.1651,84.1651,8.538351e-05,2.271443e-04,67,30.0000,54.1651
223,7.661060e+05,left,0.000000e+00,80.7352,80.7352,9.238028e-05,7.113297e-05,67,30.0000,50.7352
223,7.661060e+05,right,0.000000e+00,80.7352,80.7352,9.238028e-05,2.288670e-04,67,30.0000,50.7352
277,1.017260e+06,left,0.000000e+00,76.2756,76.2756,1.053049e-04,6.901316e-05,66,30.0000,46.2756
277,1.017260e+06,right,0.000000e+00,76.2756,76.2756,1.053049e-04,2.309868e-04,66,30.0000,46.2756
332,1.273060e+06,left,0.000000e+00,73.5064,73.5064,1.132666e-04,6.736592e-05,66,30.0000,43.5064
332,1.273060e+06,right,0.000000e+00,73.5064,73.5064,1.132666e-04,2.326341e-04,66,30.0000,43.5064
387,1.528870e+06,left,0.000000e+00,71.4870,71.4870,1.186488e-04,6.594762e-05,66,30.0000,41.4870
387,1.528870e+06,right,0.000000e+00,71.4870,71.4870,1.186488e-04,2.340524e-04,66,30.0000,41.4870
441,1.780020e+06,left,0.000000e+00,67.6075,67.6075,1.377586e-04,6.389291e-05,65,30.0000,37.6075
441,1.780020e+06,right,0.000000e+00,67.6075,67.6075,1.377586e-04,2.361071e-04,65,30.0000,37.6075
496,2.035830e+06,left,0.000000e+00,66.0182,66.0182,1.430820e-04,6.259156e-05,65,30.0000,36.0183
496,2.035830e+06,right,0.000000e+00,66.0182,66.0182,1.430820e-04,2.374084e-04,65,30.0000,36.0183
551,2.291630e+06,left,0.000000e+00,62.8711,62.8711,1.645967e-04,6.073515e-05,64,30.0000,32.8711
