gate,case,quantity,value,tolerance,result
G2,theta=0,rel_err_wall_block,8.987994e-10,1e-6,PASS
G2,theta=30,rel_err_wall_block,8.844704e-10,1e-6,PASS
G2,theta=45,rel_err_wall_block,9.891514e-10,1e-6,PASS
G2,theta=60,rel_err_wall_block,1.068018e-09,1e-6,PASS
G2,theta=90,norm_wall_block_must_be_zero,2.052737e-28,1e-25,PASS
G2,theta=120,rel_err_wall_block,8.055833e-10,1e-6,PASS
G2,theta=150,rel_err_wall_block,8.401736e-10,1e-6,PASS
G2,theta=180,rel_err_wall_block,8.084520e-10,1e-6,PASS
G2,gammas_theta60,rel_err_wall_block,1.025291e-09,1e-6,PASS
G3,mesh_10x6,rel_err_measure,7.485e-15,1e-10,PASS
G3,mesh_20x12,rel_err_measure,9.597e-16,1e-10,PASS
G3,mesh_41x23,rel_err_measure,1.919e-16,1e-10,PASS
G3,one_wall,rel_err_measure,1.152e-15,1e-10,PASS
G3,x_faces,rel_err_measure,2.111e-15,1e-10,PASS
G3,theta60,rel_err_measure,2.687e-15,1e-10,PASS
G3,theta135,rel_err_measure,1.629e-15,1e-10,PASS
G3,all_faces,rel_err_measure,7.677e-16,1e-10,PASS
G4,theta=0,sign_of_wall_residual,-1.052188552189e-12,neg,PASS
G4,theta=60,sign_of_wall_residual,-5.260942760943e-13,neg,PASS
G4,theta=90,sign_of_wall_residual,1.315986859616e-27,zero,PASS
G4,theta=120,sign_of_wall_residual,5.260942760943e-13,pos,PASS
G4,theta=180,sign_of_wall_residual,1.052188552189e-12,pos,PASS
G1,no_wall_faces,ssa_bitwise_identical,identical,exact,PASS
