# gamma_ia,gamma_is,gamma_as = 0.109,0.3545,0.3   theta_young = 120.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 119.9534 +/- 0.0043 deg, tau = 2.940267e+06 s, fit_rms = 0.00557, n = 36, error_inf = -0.0466 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,120.0000,-29.9969
0,0.000000e+00,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,120.0000,-29.9969
0,0.000000e+00,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,120.0000,-30.0016
0,0.000000e+00,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,120.0000,-30.0016
1,1.000000e-04,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,120.0000,-29.9969
1,1.000000e-04,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,120.0000,-29.9969
1,1.000000e-04,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,120.0000,-30.0016
1,1.000000e-04,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,120.0000,-30.0016
203,2.211000e+05,left,5.128799e-05,93.5211,93.5211,2.669211e-04,9.484804e-05,273,120.0000,-26.4789
203,2.211000e+05,left,1.487120e-04,93.5211,93.5211,2.669211e-04,9.484804e-05,273,120.0000,-26.4789
203,2.211000e+05,right,2.734814e-05,91.3681,91.3681,2.735078e-04,1.906075e-04,281,120.0000,-28.6319
203,2.211000e+05,right,1.726519e-04,91.3681,91.3681,2.735078e-04,1.906075e-04,281,120.0000,-28.6319
351,4.411760e+05,left,5.099733e-05,97.6977,97.6977,4.438496e-04,9.601069e-05,273,120.0000,-22.3023
351,4.411760e+05,left,1.490027e-04,97.6977,97.6977,4.438496e-04,9.601069e-05,273,120.0000,-22.3023
351,4.411760e+05,right,2.754570e-05,93.3343,93.3343,2.426872e-04,1.898172e-04,281,120.0000,-26.6657
351,4.411760e+05,right,1.724543e-04,93.3343,93.3343,2.426872e-04,1.898172e-04,281,120.0000,-26.6657
499,6.612520e+05,left,5.074226e-05,101.2581,101.2581,1.016289e-03,9.703095e-05,273,120.0000,-18.7419
499,6.612520e+05,left,1.492577e-04,101.2581,101.2581,1.016289e-03,9.703095e-05,273,120.0000,-18.7419
499,6.612520e+05,right,2.773960e-05,95.2178,95.2178,2.191317e-04,1.890416e-04,281,120.0000,-24.7822
499,6.612520e+05,right,1.722604e-04,95.2178,95.2178,2.191317e-04,1.890416e-04,281,120.0000,-24.7822
648,8.828150e+05,left,5.052289e-05,104.2610,104.2610,1.261027e-02,9.790845e-05,273,120.0000,-15.7390
648,8.828150e+05,left,1.494771e-04,104.2610,104.2610,1.261027e-02,9.790845e-05,273,120.0000,-15.7390
648,8.828150e+05,right,2.792307e-05,96.9802,96.9802,2.009754e-04,1.883077e-04,281,120.0000,-23.0198
648,8.828150e+05,right,1.720769e-04,96.9802,96.9802,2.009754e-04,1.883077e-04,281,120.0000,-23.0198
796,1.102890e+06,left,5.033769e-05,106.7571,106.7571,1.046175e-03,9.864925e-05,273,120.0000,-13.2429
796,1.102890e+06,left,1.496623e-04,106.7571,106.7571,1.046175e-03,9.864925e-05,273,120.0000,-13.2429
796,1.102890e+06,right,2.809253e-05,98.5961,98.5961,1.868620e-04,1.876299e-04,281,120.0000,-21.4039
796,1.102890e+06,right,1.719075e-04,98.5961,98.5961,1.868620e-04,1.876299e-04,281,120.0000,-21.4039
944,1.322970e+06,left,5.018037e-05,108.8502,108.8502,5.936528e-04,9.927854e-05,273,120.0000,-11.1498
944,1.322970e+06,left,1.498196e-04,108.8502,108.8502,5.936528e-04,9.927854e-05,273,120.0000,-11.1498
944,1.322970e+06,right,2.824991e-05,100.0887,100.0887,1.755448e-04,1.870004e-04,281,120.0000,-19.9113
944,1.322970e+06,right,1.717501e-04,100.0887,100.0887,1.755448e-04,1.870004e-04,281,120.0000,-19.9113
1092,1.543040e+06,left,5.004710e-05,110.5990,110.5990,4.370645e-04,9.981160e-05,273,120.0000,-9.4010
1092,1.543040e+06,left,1.499529e-04,110.5990,110.5990,4.370645e-04,9.981160e-05,273,120.0000,-9.4010
1092,1.543040e+06,right,2.839575e-05,101.4649,101.4649,1.663172e-04,1.864170e-04,281,120.0000,-18.5351
1092,1.543040e+06,right,1.716043e-04,101.4649,101.4649,1.663172e-04,1.864170e-04,281,120.0000,-18.5351
1240,1.763120e+06,left,4.993357e-05,112.0749,112.0749,3.580238e-04,1.002657e-04,273,120.0000,-7.9251
1240,1.763120e+06,left,1.500664e-04,112.0749,112.0749,3.580238e-04,1.002657e-04,273,120.0000,-7.9251
1240,1.763120e+06,right,2.853143e-05,102.7404,102.7404,1.586377e-04,1.858743e-04,281,120.0000,-17.2596
1240,1.763120e+06,right,1.714686e-04,102.7404,102.7404,1.586377e-04,1.858743e-04,281,120.0000,-17.2596
1388,1.983200e+06,left,4.983732e-05,113.3143,113.3143,3.111337e-04,1.006507e-04,273,120.0000,-6.6857
1388,1.983200e+06,left,1.501627e-04,113.3143,113.3143,3.111337e-04,1.006507e-04,273,120.0000,-6.6857
1388,1.983200e+06,right,2.865743e-05,103.9195,103.9195,1.521848e-04,1.853703e-04,281,120.0000,-16.0805
1388,1.983200e+06,right,1.713426e-04,103.9195,103.9195,1.521848e-04,1.853703e-04,281,120.0000,-16.0805
1537,2.204760e+06,left,4.975542e-05,114.3587,114.3587,2.804022e-04,1.009783e-04,273,120.0000,-5.6413
1537,2.204760e+06,left,1.502446e-04,114.3587,114.3587,2.804022e-04,1.009783e-04,273,120.0000,-5.6413
1537,2.204760e+06,right,2.877566e-05,105.0226,105.0226,1.466406e-04,1.848974e-04,281,120.0000,-14.9774
1537,2.204760e+06,right,1.712243e-04,105.0226,105.0226,1.466406e-04,1.848974e-04,281,120.0000,-14.9774
1685,2.424830e+06,left,4.968606e-05,115.2383,115.2383,2.589897e-04,1.012558e-04,273,120.0000,-4.7617
1685,2.424830e+06,left,1.503139e-04,115.2383,115.2383,2.589897e-04,1.012558e-04,273,120.0000,-4.7617
1685,2.424830e+06,right,2.888491e-05,106.0375,106.0375,1.419140e-04,1.844604e-04,281,120.0000,-13.9625
1685,2.424830e+06,right,1.711151e-04,106.0375,106.0375,1.419140e-04,1.844604e-04,281,120.0000,-13.9625
1833,2.644910e+06,left,4.962728e-05,115.9790,115.9790,2.434243e-04,1.014909e-04,273,120.0000,-4.0210
1833,2.644910e+06,left,1.503727e-04,115.9790,115.9790,2.434243e-04,1.014909e-04,273,120.0000,-4.0210
1833,2.644910e+06,right,2.898690e-05,106.9825,106.9825,1.378043e-04,1.840524e-04,281,120.0000,-13.0175
1833,2.644910e+06,right,1.710131e-04,106.9825,106.9825,1.378043e-04,1.840524e-04,281,120.0000,-13.0175
1981,2.864990e+06,left,4.957761e-05,116.6008,116.6008,2.317856e-04,1.016896e-04,273,120.0000,-3.3992
1981,2.864990e+06,left,1.504224e-04,116.6008,116.6008,2.317856e-04,1.016896e-04,273,120.0000,-3.3992
1981,2.864990e+06,right,2.908191e-05,107.8592,107.8592,1.342205e-04,1.836723e-04,281,120.0000,-12.1408
1981,2.864990e+06,right,1.709181e-04,107.8592,107.8592,1.342205e-04,1.836723e-04,281,120.0000,-12.1408
2129,3.085060e+06,left,4.953553e-05,117.1249,117.1249,2.228415e-04,1.018579e-04,273,120.0000,-2.8751
2129,3.085060e+06,left,1.504645e-04,117.1249,117.1249,2.228415e-04,1.018579e-04,273,120.0000,-2.8751
2129,3.085060e+06,right,2.917062e-05,108.6755,108.6755,1.310655e-04,1.833175e-04,281,120.0000,-11.3245
2129,3.085060e+06,right,1.708294e-04,108.6755,108.6755,1.310655e-04,1.833175e-04,281,120.0000,-11.3245
2277,3.305140e+06,left,4.949979e-05,117.5684,117.5684,2.158217e-04,1.020008e-04,273,120.0000,-2.4316
2277,3.305140e+06,left,1.505002e-04,117.5684,117.5684,2.158217e-04,1.020008e-04,273,120.0000,-2.4316
2277,3.305140e+06,right,2.925342e-05,109.4349,109.4349,1.282765e-04,1.829863e-04,281,120.0000,-10.5651
2277,3.305140e+06,right,1.707466e-04,109.4349,109.4349,1.282765e-04,1.829863e-04,281,120.0000,-10.5651
2426,3.526700e+06,left,4.946923e-05,117.9465,117.9465,2.101928e-04,1.021231e-04,273,120.0000,-2.0535
2426,3.526700e+06,left,1.505308e-04,117.9465,117.9465,2.101928e-04,1.021231e-04,273,120.0000,-2.0535
2426,3.526700e+06,right,2.933115e-05,110.1452,110.1452,1.257866e-04,1.826754e-04,281,120.0000,-9.8548
2426,3.526700e+06,right,1.706689e-04,110.1452,110.1452,1.257866e-04,1.826754e-04,281,120.0000,-9.8548
2574,3.746780e+06,left,4.944346e-05,118.2647,118.2647,2.056907e-04,1.022261e-04,273,120.0000,-1.7353
