# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 60.0391 +/- 0.0037 deg, tau = 2.835547e+06 s, fit_rms = 0.00501, n = 36, error_inf = +0.0391 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
0,0.000000e+00,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
0,0.000000e+00,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
0,0.000000e+00,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
1,1.000000e-04,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
1,1.000000e-04,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
1,1.000000e-04,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
1,1.000000e-04,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
203,2.211000e+05,left,5.170628e-05,86.3560,86.3560,1.590157e-04,9.317489e-05,273,60.0000,26.3560
203,2.211000e+05,left,1.482937e-04,86.3560,86.3560,1.590157e-04,9.317489e-05,273,60.0000,26.3560
203,2.211000e+05,right,2.712830e-05,88.6053,88.6053,3.329742e-04,1.914868e-04,281,60.0000,28.6053
203,2.211000e+05,right,1.728717e-04,88.6053,88.6053,3.329742e-04,1.914868e-04,281,60.0000,28.6053
351,4.411760e+05,left,5.200310e-05,82.0678,82.0678,1.283009e-04,9.198762e-05,273,60.0000,22.0678
351,4.411760e+05,left,1.479969e-04,82.0678,82.0678,1.283009e-04,9.198762e-05,273,60.0000,22.0678
351,4.411760e+05,right,2.690370e-05,86.4203,86.4203,4.027555e-04,1.923852e-04,283,60.0000,26.4203
351,4.411760e+05,right,1.730963e-04,86.4203,86.4203,4.027555e-04,1.923852e-04,283,60.0000,26.4203
499,6.612520e+05,left,5.225927e-05,78.4438,78.4438,1.105193e-04,9.096291e-05,273,60.0000,18.4438
499,6.612520e+05,left,1.477407e-04,78.4438,78.4438,1.105193e-04,9.096291e-05,273,60.0000,18.4438
499,6.612520e+05,right,2.670188e-05,84.4749,84.4749,4.952541e-04,1.931925e-04,283,60.0000,24.4749
499,6.612520e+05,right,1.732981e-04,84.4749,84.4749,4.952541e-04,1.931925e-04,283,60.0000,24.4749
648,8.828150e+05,left,5.247651e-05,75.4096,75.4096,9.919334e-05,9.009394e-05,273,60.0000,15.4096
648,8.828150e+05,left,1.475235e-04,75.4096,75.4096,9.919334e-05,9.009394e-05,273,60.0000,15.4096
648,8.828150e+05,right,2.651124e-05,82.6604,82.6604,6.301982e-04,1.939550e-04,283,60.0000,22.6604
648,8.828150e+05,right,1.734888e-04,82.6604,82.6604,6.301982e-04,1.939550e-04,283,60.0000,22.6604
796,1.102890e+06,left,5.265786e-05,72.9029,72.9029,9.156538e-05,8.936858e-05,273,60.0000,12.9029
796,1.102890e+06,left,1.473421e-04,72.9029,72.9029,9.156538e-05,8.936858e-05,273,60.0000,12.9029
796,1.102890e+06,right,2.633486e-05,80.9997,80.9997,8.391989e-04,1.946606e-04,283,60.0000,20.9997
796,1.102890e+06,right,1.736651e-04,80.9997,80.9997,8.391989e-04,1.946606e-04,283,60.0000,20.9997
944,1.322970e+06,left,5.281027e-05,70.8153,70.8153,8.613333e-05,8.875890e-05,273,60.0000,10.8153
944,1.322970e+06,left,1.471897e-04,70.8153,70.8153,8.613333e-05,8.875890e-05,273,60.0000,10.8153
944,1.322970e+06,right,2.617114e-05,79.4699,79.4699,1.207229e-03,1.953154e-04,283,60.0000,19.4699
