# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 58.9364 +/- 0.0063 deg, tau = 2.989771e+06 s, fit_rms = 0.00789, n = 36, error_inf = -1.0636 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
0,0.000000e+00,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
0,0.000000e+00,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
0,0.000000e+00,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
0,0.000000e+00,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
1,1.000000e-04,left,5.149273e-05,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
1,1.000000e-04,left,1.485073e-04,90.0031,90.0031,2.000443e-04,9.402909e-05,273,60.0000,30.0031
1,1.000000e-04,right,2.723922e-05,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
1,1.000000e-04,right,1.727608e-04,89.9984,89.9984,3.000329e-04,1.910431e-04,281,60.0000,29.9984
203,2.211000e+05,left,5.178091e-05,86.3162,86.3162,1.584247e-04,9.287638e-05,273,60.0000,26.3162
203,2.211000e+05,left,1.482191e-04,86.3162,86.3162,1.584247e-04,9.287638e-05,273,60.0000,26.3162
203,2.211000e+05,right,2.710540e-05,88.6025,88.6025,3.331512e-04,1.915784e-04,281,60.0000,28.6025
203,2.211000e+05,right,1.728946e-04,88.6025,88.6025,3.331512e-04,1.915784e-04,281,60.0000,28.6025
351,4.411760e+05,left,5.215459e-05,81.9401,81.9401,1.271938e-04,9.138165e-05,273,60.0000,21.9401
351,4.411760e+05,left,1.478454e-04,81.9401,81.9401,1.271938e-04,9.138165e-05,273,60.0000,21.9401
351,4.411760e+05,right,2.685705e-05,86.4099,86.4099,4.034092e-04,1.925718e-04,283,60.0000,26.4099
351,4.411760e+05,right,1.731429e-04,86.4099,86.4099,4.034092e-04,1.925718e-04,283,60.0000,26.4099
499,6.612520e+05,left,5.248909e-05,78.2012,78.2012,1.090247e-04,9.004366e-05,273,60.0000,18.2012
499,6.612520e+05,left,1.475109e-04,78.2012,78.2012,1.090247e-04,9.004366e-05,273,60.0000,18.2012
499,6.612520e+05,right,2.663151e-05,84.4559,84.4559,4.968279e-04,1.934739e-04,283,60.0000,24.4559
499,6.612520e+05,right,1.733685e-04,84.4559,84.4559,4.968279e-04,1.934739e-04,283,60.0000,24.4559
648,8.828150e+05,left,5.278560e-05,75.0417,75.0417,9.740432e-05,8.885761e-05,273,60.0000,15.0417
648,8.828150e+05,left,1.472144e-04,75.0417,75.0417,9.740432e-05,8.885761e-05,273,60.0000,15.0417
648,8.828150e+05,right,2.641681e-05,82.6352,82.6352,6.333816e-04,1.943327e-04,283,60.0000,22.6352
648,8.828150e+05,right,1.735832e-04,82.6352,82.6352,6.333816e-04,1.943327e-04,283,60.0000,22.6352
796,1.102890e+06,left,5.303425e-05,72.5421,72.5421,8.990174e-05,8.786301e-05,271,60.0000,12.5421
796,1.102890e+06,left,1.469658e-04,72.5421,72.5421,8.990174e-05,8.786301e-05,271,60.0000,12.5421
796,1.102890e+06,right,2.621624e-05,80.9650,80.9650,8.463707e-04,1.951351e-04,283,60.0000,20.9650
796,1.102890e+06,right,1.737838e-04,80.9650,80.9650,8.463707e-04,1.951351e-04,283,60.0000,20.9650
944,1.322970e+06,left,5.326656e-05,70.3154,70.3154,8.418214e-05,8.693377e-05,271,60.0000,10.3154
944,1.322970e+06,left,1.467334e-04,70.3154,70.3154,8.418214e-05,8.693377e-05,271,60.0000,10.3154
944,1.322970e+06,right,2.602798e-05,79.4252,79.4252,1.225185e-03,1.958881e-04,283,60.0000,19.4252
